TABLE=045 | AREA=Xã La Ngà | SECTION=agricultural | SEGMENTS=1
--- PAGES=1574-1591 | LINES=1108 | HEADING=45. Xã La Ngà ---
P=1574 | X=0090.020-0155.350 | Y=0693.990-0703.310 | 45. Xã La Ngà
P=1575 | X=0417.980-0452.090 | Y=0078.500-0089.740 | Giá đất
P=1575 | X=0476.810-0510.910 | Y=0078.500-0089.740 | Giá đất
P=1575 | X=0412.460-0515.630 | Y=0091.900-0101.220 | trồng cây rừng sản
P=1575 | X=0116.450-0169.870 | Y=0095.780-0107.020 | Tên đường
P=1575 | X=0191.110-0236.420 | Y=0101.540-0112.780 | Điểm đầu
P=1575 | X=0302.760-0350.680 | Y=0101.540-0112.780 | Điểm cuối
P=1575 | X=0405.740-0514.510 | Y=0101.540-0112.780 | lâu năm, đất xuất, đất
P=1575 | X=0092.180-0104.580 | Y=0103.420-0112.740 | TT
P=1575 | X=0117.650-0168.900 | Y=0109.180-0118.500 | giao thông
P=1575 | X=0412.460-0518.740 | Y=0114.940-0124.260 | trồng cây nuôi trồng
P=1575 | X=0411.260-0514.430 | Y=0124.610-0135.850 | hằng năm thủy sản
P=1575 | X=0179.350-0236.790 | Y=0144.730-0154.050 | Giáp ranh xã
P=1575 | X=0248.740-0334.000 | Y=0148.610-0159.850 | Hết chợ Túc Trưng
P=1575 | X=0095.570-0155.890 | Y=0150.490-0159.810 | 1 Quốc lộ 20
P=1575 | X=0448.250-0464.890 | Y=0150.490-0159.810 | 270
P=1575 | X=0505.390-0522.030 | Y=0150.490-0159.810 | 230
P=1575 | X=0179.350-0231.620 | Y=0156.250-0165.570 | Thống Nhất
P=1575 | X=0107.330-0397.420 | Y=0172.370-0183.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1575 | X=0107.330-0399.820 | Y=0183.650-0194.890 | từ Giáp ranh xã Thống Nhất đến Hết chợ Túc Trưng có hiện trạng
P=1575 | X=0107.330-0253.660 | Y=0195.170-0206.410 | là đường nhựa, bê tông xi măng:
P=1575 | X=0095.570-0101.170 | Y=0203.070-0212.390 | 2
P=1575 | X=0448.250-0464.890 | Y=0203.070-0212.390 | 160
P=1575 | X=0505.390-0522.030 | Y=0203.070-0212.390 | 150
P=1575 | X=0107.330-0338.410 | Y=0212.710-0223.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1575 | X=0107.330-0384.500 | Y=0230.230-0241.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1575 | X=0107.330-0397.420 | Y=0248.230-0259.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1575 | X=0107.330-0399.820 | Y=0259.750-0270.990 | từ Giáp ranh xã Thống Nhất Đến hết chợ Túc Trưng có hiện trạng
P=1575 | X=0107.330-0253.660 | Y=0271.270-0282.510 | là đường nhựa, bê tông xi măng:
P=1575 | X=0095.570-0338.880 | Y=0288.820-0302.900 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1575 | X=0448.250-0464.890 | Y=0293.580-0302.900 | 130
P=1575 | X=0505.390-0522.030 | Y=0293.580-0302.900 | 100
P=1575 | X=0107.330-0394.220 | Y=0306.340-0317.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1575 | X=0107.330-0168.450 | Y=0317.860-0329.100 | đến ≤1.000m.
P=1575 | X=0107.330-0330.500 | Y=0335.380-0346.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1575 | X=0107.330-0397.420 | Y=0353.380-0364.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1575 | X=0107.330-0398.140 | Y=0364.900-0376.140 | từ Giáp ranh xã Thống Nhất đến hết chợ Túc Trưng có hiện trạng
P=1575 | X=0107.330-0253.660 | Y=0376.200-0387.440 | là đường nhựa, bê tông xi măng:
P=1575 | X=0095.570-0101.170 | Y=0384.080-0393.400 | 4
