TABLE=046 | AREA=Xã Phú Hòa | SECTION=agricultural | SEGMENTS=1
--- PAGES=1591-1607 | LINES=991 | HEADING=46. Xã Phú Hòa ---
P=1591 | X=0090.020-0162.540 | Y=0641.910-0651.230 | 46. Xã Phú Hòa
P=1591 | X=0392.540-0520.190 | Y=0658.030-0669.270 | Giá đất trồng Giá đất rừng
P=1591 | X=0107.810-0184.500 | Y=0669.550-0680.790 | Tên đường giao
P=1591 | X=0393.740-0519.550 | Y=0669.550-0680.790 | cây lâu năm, sản xuất đất
P=1591 | X=0213.910-0259.220 | Y=0675.310-0686.550 | Điểm dầu
P=1591 | X=0314.760-0362.700 | Y=0675.310-0686.550 | Điềm cuối
P=1591 | X=0091.940-0104.340 | Y=0677.190-0686.510 | TT
P=1591 | X=0392.300-0515.140 | Y=0681.070-0692.310 | đất trồng cây nuôi trồng
P=1591 | X=0132.290-0160.260 | Y=0682.950-0692.270 | thông
P=1591 | X=0400.220-0447.790 | Y=0692.590-0703.830 | hằng năm
P=1591 | X=0469.610-0510.830 | Y=0694.470-0703.790 | thủy sản
P=1592 | X=0095.330-0172.230 | Y=0078.740-0089.980 | 1 Đường Trà Cổ
P=1592 | X=0185.830-0325.650 | Y=0078.740-0089.980 | Giáp ranh xã Tân Phú Cầu đập
P=1592 | X=0441.050-0457.690 | Y=0080.620-0089.940 | 250
P=1592 | X=0505.150-0521.790 | Y=0080.620-0089.940 | 220
P=1592 | X=0107.090-0389.020 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trà Cổ
P=1592 | X=0107.090-0371.470 | Y=0108.260-0119.500 | đoạn từ Giáp ranh xã Tân Phú đến cầu đập có hiện trạng là
P=1592 | X=0107.090-0242.840 | Y=0119.810-0131.050 | đường nhựa, bê tông xi măng:
P=1592 | X=0095.330-0100.930 | Y=0127.690-0137.010 | 2
P=1592 | X=0441.050-0457.690 | Y=0127.690-0137.010 | 150
P=1592 | X=0505.150-0521.790 | Y=0127.690-0137.010 | 130
P=1592 | X=0107.090-0338.170 | Y=0137.330-0148.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1592 | X=0107.090-0384.260 | Y=0154.850-0166.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1592 | X=0107.090-0389.020 | Y=0172.850-0184.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trà Cổ
