TABLE=049 | AREA=Xã Tà Lài | SECTION=agricultural | SEGMENTS=1
--- PAGES=1688-1701 | LINES=896 | HEADING=49. Xã Tà Lài ---
P=1688 | X=0090.020-0150.630 | Y=0127.930-0137.250 | 49. Xã Tà Lài
P=1688 | X=0430.970-0465.050 | Y=0144.050-0155.290 | Giá đất
P=1688 | X=0481.610-0515.710 | Y=0144.050-0155.290 | Giá đất
P=1688 | X=0425.450-0520.670 | Y=0157.450-0166.770 | trồng cây rừng sản
P=1688 | X=0123.410-0200.130 | Y=0167.090-0178.330 | Tên đường giao
P=1688 | X=0427.610-0519.310 | Y=0167.090-0178.330 | lâu năm, xuất, đất
P=1688 | X=0234.580-0279.860 | Y=0172.850-0184.090 | Điểm đầu
P=1688 | X=0338.760-0386.700 | Y=0172.850-0184.090 | Điểm cuối
P=1688 | X=0095.810-0108.210 | Y=0174.730-0184.050 | TT
P=1688 | X=0426.170-0469.530 | Y=0178.610-0189.850 | đất trồng
P=1688 | X=0147.890-0175.860 | Y=0180.490-0189.810 | thông
P=1688 | X=0488.110-0509.370 | Y=0180.490-0189.810 | nuôi
P=1688 | X=0426.170-0469.750 | Y=0192.010-0201.330 | cây hằng
P=1688 | X=0485.950-0511.550 | Y=0192.010-0201.330 | trồng
P=1688 | X=0437.690-0458.400 | Y=0201.430-0212.670 | năm
P=1688 | X=0478.250-0519.470 | Y=0203.310-0212.630 | thủy sản
P=1688 | X=0114.530-0196.710 | Y=0219.670-0230.910 | Đường Phú Lập đi
P=1688 | X=0209.590-0302.810 | Y=0219.670-0230.910 | Ngã ba Phú lập đi xã
P=1688 | X=0305.160-0368.150 | Y=0225.430-0236.670 | Đường ấp 2-4
P=1688 | X=0099.170-0104.770 | Y=0227.310-0236.630 | 1
P=1688 | X=0458.330-0474.970 | Y=0227.310-0236.630 | 200
P=1688 | X=0505.390-0522.030 | Y=0227.310-0236.630 | 170
P=1688 | X=0209.590-0278.030 | Y=0231.190-0242.430 | Núi Tượng (cũ)
P=1688 | X=0114.530-0189.690 | Y=0233.070-0242.390 | xã Nam Cát Tiên
P=1688 | X=0114.530-0413.500 | Y=0249.190-0260.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập đi
P=1688 | X=0114.530-0413.270 | Y=0260.710-0271.950 | xã Nam Cát Tiên đoạn từ Ngã ba Phú lập đi xã Núi Tượng (cũ) đến
P=1688 | X=0114.530-0386.920 | Y=0272.230-0283.470 | Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1688 | X=0099.170-0104.770 | Y=0280.110-0289.430 | 2
P=1688 | X=0458.330-0474.970 | Y=0280.110-0289.430 | 130
P=1688 | X=0505.390-0522.030 | Y=0280.110-0289.430 | 100
P=1688 | X=0114.530-0345.610 | Y=0289.780-0301.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1688 | X=0114.530-0391.720 | Y=0307.300-0318.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1688 | X=0114.530-0413.500 | Y=0325.300-0336.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập đi
P=1688 | X=0114.530-0413.260 | Y=0336.820-0348.060 | xã Nam Cát Tiên đoạn từ Ngã ba Phú lập đi xã Núi Tượng (cũ) đến
P=1688 | X=0114.530-0386.920 | Y=0348.340-0359.580 | Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1688 | X=0099.170-0346.080 | Y=0365.880-0379.960 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1688 | X=0464.090-0475.210 | Y=0370.640-0379.960 | 90
P=1688 | X=0511.150-0522.270 | Y=0370.640-0379.960 | 70
P=1688 | X=0114.530-0401.420 | Y=0383.400-0394.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1688 | X=0114.530-0175.650 | Y=0394.920-0406.160 | đến ≤1.000m.
P=1688 | X=0114.530-0337.700 | Y=0412.200-0423.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1688 | X=0114.530-0413.500 | Y=0430.200-0441.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập đi
