TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=agricultural | SEGMENTS=1
--- PAGES=1701-1712 | LINES=729 | HEADING=50. Xã Nam Cát Tiên ---
P=1701 | X=0090.020-0185.690 | Y=0645.990-0655.310 | 50. Xã Nam Cát Tiên
P=1701 | X=0421.850-0455.930 | Y=0661.870-0673.110 | Giá đất
P=1701 | X=0478.490-0512.590 | Y=0661.870-0673.110 | Giá đất
P=1701 | X=0416.300-0517.550 | Y=0675.270-0684.590 | trồng cây rừng sản
P=1701 | X=0096.050-0222.400 | Y=0684.910-0696.150 | TT Tên đường giao thông
P=1701 | X=0244.180-0289.460 | Y=0684.910-0696.150 | Điểm đầu
P=1701 | X=0335.640-0383.580 | Y=0684.910-0696.150 | Điểm cuối
P=1701 | X=0409.580-0516.190 | Y=0684.910-0696.150 | lâu năm, đất xuất, đất
P=1701 | X=0416.300-0520.420 | Y=0698.310-0707.630 | trồng cây nuôi trồng
P=1701 | X=0415.340-0516.350 | Y=0707.970-0719.210 | hằng năm thủy sản
P=1702 | X=0310.440-0406.930 | Y=0080.380-0089.700 | Hết ranh Ban Quản lý
P=1702 | X=0099.410-0172.620 | Y=0084.260-0095.500 | 1 Đường 600A
P=1702 | X=0223.510-0272.100 | Y=0086.140-0095.460 | Quốc lộ 20
P=1702 | X=0452.090-0468.730 | Y=0086.140-0095.460 | 200
P=1702 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 170
P=1702 | X=0310.440-0331.640 | Y=0091.900-0101.220 | rừng
P=1702 | X=0114.770-0389.170 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1702 | X=0114.770-0403.670 | Y=0119.330-0130.570 | đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng có hiện trạng
P=1702 | X=0114.770-0261.100 | Y=0130.850-0142.090 | là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0105.010 | Y=0138.730-0148.050 | 2
P=1702 | X=0452.090-0468.730 | Y=0138.730-0148.050 | 130
P=1702 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 100
P=1702 | X=0114.770-0345.850 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1702 | X=0114.770-0391.980 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1702 | X=0114.770-0389.170 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1702 | X=0114.770-0403.670 | Y=0194.930-0206.170 | đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng có hiện trạng
P=1702 | X=0114.770-0261.100 | Y=0206.470-0217.710 | là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0346.320 | Y=0223.990-0238.310 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1702 | X=0457.850-0468.970 | Y=0228.990-0238.310 | 90
P=1702 | X=0511.150-0522.270 | Y=0228.990-0238.310 | 70
P=1702 | X=0114.770-0401.660 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1702 | X=0114.770-0175.890 | Y=0253.030-0264.270 | đến ≤1.000m.
P=1702 | X=0114.770-0337.940 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1702 | X=0114.770-0389.170 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1702 | X=0114.770-0403.670 | Y=0299.860-0311.100 | đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng có hiện trạng
P=1702 | X=0114.770-0261.100 | Y=0311.380-0322.620 | là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0105.010 | Y=0319.260-0328.580 | 4
P=1702 | X=0457.850-0468.970 | Y=0319.260-0328.580 | 55
P=1702 | X=0511.150-0522.270 | Y=0319.260-0328.580 | 50
P=1702 | X=0114.770-0400.580 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1702 | X=0114.770-0338.410 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1702 | X=0114.770-0400.030 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1702 | X=0114.770-0403.430 | Y=0375.480-0386.720 | Đường 600A đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng
P=1702 | X=0114.770-0321.620 | Y=0387.000-0398.240 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1702 | X=0099.410-0105.010 | Y=0394.880-0404.200 | 5
P=1702 | X=0452.090-0468.730 | Y=0394.880-0404.200 | 130
P=1702 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 100
P=1702 | X=0114.770-0345.850 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1702 | X=0114.770-0391.960 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1702 | X=0114.770-0400.030 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1702 | X=0114.770-0403.420 | Y=0451.340-0462.580 | Đường 600A đoạn từ Quốc lộ 20 đến Hết ranh Ban Quản lý rừng
