TABLE=051 | AREA=Xã Phú Lâm | SECTION=agricultural | SEGMENTS=1
--- PAGES=1712-1747 | LINES=2214 | HEADING=51. Xã Phú Lâm ---
P=1712 | X=0090.020-0164.220 | Y=0657.270-0666.590 | 51. Xã Phú Lâm
P=1712 | X=0396.380-0520.670 | Y=0673.150-0684.390 | Giá đất trồng Giá đất rừng
P=1712 | X=0123.890-0200.600 | Y=0684.670-0695.910 | Tên đường giao
P=1712 | X=0397.340-0521.470 | Y=0684.670-0695.910 | cây lâu năm, sản xuất, đất
P=1712 | X=0228.100-0273.380 | Y=0690.430-0701.670 | Điểm đầu
P=1712 | X=0322.680-0370.620 | Y=0690.430-0701.670 | Điểm cuối
P=1712 | X=0098.930-0111.330 | Y=0692.310-0701.630 | TT
P=1712 | X=0396.140-0515.620 | Y=0696.190-0707.430 | đất trồng cây nuôi trồng
P=1712 | X=0148.370-0176.340 | Y=0698.070-0707.390 | thông
P=1712 | X=0403.820-0451.390 | Y=0707.730-0718.970 | hằng năm
P=1712 | X=0470.090-0511.310 | Y=0709.620-0718.940 | thủy sản
P=1713 | X=0120.530-0282.140 | Y=0078.500-0089.740 | Đường Phú Xuân Giáp ranh xã Tân
P=1713 | X=0297.240-0377.900 | Y=0078.500-0089.740 | Đường Phú Lâm -
P=1713 | X=0102.290-0107.890 | Y=0086.140-0095.460 | 1
P=1713 | X=0442.250-0458.890 | Y=0086.140-0095.460 | 270
P=1713 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 220
P=1713 | X=0120.530-0176.770 | Y=0090.020-0101.260 | - Thanh Sơn
P=1713 | X=0297.240-0347.470 | Y=0090.020-0101.260 | Thanh Sơn
P=1713 | X=0204.550-0222.390 | Y=0091.900-0101.220 | Phú
P=1713 | X=0120.530-0389.500 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1713 | X=0120.530-0394.540 | Y=0119.330-0130.570 | Xuân - Thanh Sơn đoạn từ Giáp ranh xã Tân Phú đến Đường
P=1713 | X=0120.530-0388.510 | Y=0130.850-0142.090 | Phú Lâm - Thanh Sơn có hiện trạng là đường nhựa, bê tông
P=1713 | X=0120.530-0158.360 | Y=0142.370-0153.610 | xi măng:
P=1713 | X=0102.290-0107.890 | Y=0150.250-0159.570 | 2
P=1713 | X=0442.250-0458.890 | Y=0150.250-0159.570 | 130
