TABLE=054 | AREA=Xã Tân An | SECTION=agricultural | SEGMENTS=1
--- PAGES=1808-1831 | LINES=1501 | HEADING=54. Xã Tân An ---
P=1808 | X=0090.020-0155.690 | Y=0703.380-0712.700 | 54. Xã Tân An
P=1809 | X=0430.970-0465.050 | Y=0078.260-0089.500 | Giá đất
P=1809 | X=0480.410-0514.510 | Y=0084.020-0095.260 | Giá đất
P=1809 | X=0425.450-0470.640 | Y=0091.660-0100.980 | trồng cây
P=1809 | X=0475.610-0519.230 | Y=0097.420-0106.740 | rừng sản
P=1809 | X=0120.050-0196.760 | Y=0101.300-0112.540 | Tên đường giao
P=1809 | X=0427.610-0468.320 | Y=0101.300-0112.540 | lâu năm,
P=1809 | X=0231.220-0276.500 | Y=0107.060-0118.300 | Điểm đầu
P=1809 | X=0342.600-0390.540 | Y=0107.060-0118.300 | Điểm cuối
P=1809 | X=0476.810-0518.110 | Y=0107.060-0118.300 | xuất, đất
P=1809 | X=0098.210-0110.610 | Y=0108.940-0118.260 | TT
P=1809 | X=0426.410-0469.770 | Y=0112.820-0124.060 | đất trồng
P=1809 | X=0144.530-0172.500 | Y=0114.700-0124.020 | thông
P=1809 | X=0472.730-0522.340 | Y=0120.490-0129.810 | nuôi trồng
P=1809 | X=0426.410-0469.990 | Y=0126.250-0135.570 | cây hằng
P=1809 | X=0476.810-0518.030 | Y=0132.010-0141.330 | thủy sản
P=1809 | X=0437.690-0458.400 | Y=0135.890-0147.130 | năm
P=1809 | X=0198.070-0309.330 | Y=0153.650-0164.890 | Giáp ranh phường Trảng
P=1809 | X=0119.090-0189.260 | Y=0159.410-0170.650 | Đường tỉnh 768
P=1809 | X=0101.570-0107.170 | Y=0161.290-0170.610 | 1
P=1809 | X=0309.960-0371.240 | Y=0161.290-0170.610 | Cầu Thủ Biên
P=1809 | X=0455.690-0472.330 | Y=0161.290-0170.610 | 730
P=1809 | X=0505.390-0522.030 | Y=0161.290-0170.610 | 530
P=1809 | X=0198.070-0213.030 | Y=0167.050-0176.370 | Dài
P=1809 | X=0119.090-0405.830 | Y=0182.930-0194.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1809 | X=0119.090-0403.910 | Y=0194.450-0205.690 | đoạn từ Giáp ranh phường Trảng Dài đến Cầu Thủ Biên có hiện
P=1809 | X=0119.090-0290.870 | Y=0205.990-0217.230 | trạng là đường nhựa, bê tông xi măng:
P=1809 | X=0101.570-0107.170 | Y=0213.870-0223.190 | 2
P=1809 | X=0455.690-0472.330 | Y=0213.870-0223.190 | 500
P=1809 | X=0505.390-0522.030 | Y=0213.870-0223.190 | 330
P=1809 | X=0119.090-0350.170 | Y=0223.510-0234.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1809 | X=0119.090-0396.280 | Y=0241.030-0252.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1809 | X=0119.090-0405.830 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1809 | X=0119.090-0403.910 | Y=0270.310-0281.550 | đoạn từ Giáp ranh phường Trảng Dài đến Cầu Thủ Biên có hiện
P=1809 | X=0119.090-0290.870 | Y=0281.860-0293.100 | trạng là đường nhựa, bê tông xi măng:
P=1809 | X=0119.090-0350.640 | Y=0299.380-0310.620 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1809 | X=0101.570-0107.170 | Y=0304.140-0313.460 | 3
P=1809 | X=0455.690-0472.330 | Y=0304.140-0313.460 | 400
P=1809 | X=0505.390-0522.030 | Y=0304.140-0313.460 | 260
P=1809 | X=0119.090-0405.980 | Y=0316.900-0328.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1809 | X=0119.090-0180.210 | Y=0328.420-0339.660 | đến ≤1.000m.
P=1809 | X=0119.090-0342.260 | Y=0345.700-0356.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1809 | X=0119.090-0405.830 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
