TABLE=055 | AREA=Xã Phú Lý | SECTION=agricultural | SEGMENTS=1
--- PAGES=1831-1850 | LINES=1238 | HEADING=55. Xã Phú Lý ---
P=1831 | X=0090.020-0155.340 | Y=0563.650-0572.970 | 55. Xã Phú Lý
P=1831 | X=0422.570-0456.650 | Y=0579.530-0590.770 | Giá đất
P=1831 | X=0478.010-0512.110 | Y=0585.290-0596.530 | Giá đất
P=1831 | X=0417.020-0462.240 | Y=0592.930-0602.250 | trồng cây
P=1831 | X=0473.210-0516.830 | Y=0598.690-0608.010 | rừng sản
P=1831 | X=0133.250-0209.960 | Y=0602.570-0613.810 | Tên đường giao
P=1831 | X=0419.210-0459.920 | Y=0602.570-0613.810 | lâu năm,
P=1831 | X=0251.380-0296.680 | Y=0608.330-0619.570 | Điểm đầu
P=1831 | X=0344.040-0391.980 | Y=0608.330-0619.570 | Điểm cuối
P=1831 | X=0474.410-0515.710 | Y=0608.330-0619.570 | xuất, đất
P=1831 | X=0098.690-0111.090 | Y=0610.210-0619.530 | TT
P=1831 | X=0417.980-0461.370 | Y=0614.090-0625.330 | đất trồng
P=1831 | X=0157.730-0185.700 | Y=0615.970-0625.290 | thông
P=1831 | X=0470.330-0519.940 | Y=0621.750-0631.070 | nuôi trồng
P=1831 | X=0417.980-0461.600 | Y=0627.510-0636.830 | cây hằng
P=1831 | X=0474.410-0515.630 | Y=0633.270-0642.590 | thủy sản
P=1831 | X=0429.290-0450.000 | Y=0637.150-0648.390 | năm
P=1831 | X=0120.050-0190.220 | Y=0655.150-0666.390 | Đường tỉnh 761
P=1831 | X=0102.050-0107.650 | Y=0657.030-0666.350 | 1
P=1831 | X=0223.750-0310.760 | Y=0657.030-0666.350 | Giáp ranh xã Trị An
P=1831 | X=0324.360-0384.440 | Y=0657.030-0666.350 | Cầu suối Kóp
P=1831 | X=0450.890-0467.530 | Y=0657.030-0666.350 | 230
P=1831 | X=0505.390-0522.030 | Y=0657.030-0666.350 | 200
P=1831 | X=0120.050-0406.790 | Y=0672.910-0684.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1831 | X=0120.050-0398.800 | Y=0684.430-0695.670 | đoạn từ Giáp ranh xã Trị An đến Cầu suối Kóp đã được đầu tư
P=1831 | X=0102.050-0107.650 | Y=0686.310-0695.630 | 2
P=1831 | X=0450.890-0467.530 | Y=0686.310-0695.630 | 150
P=1831 | X=0505.390-0522.030 | Y=0686.310-0695.630 | 130
P=1831 | X=0120.050-0275.260 | Y=0695.950-0707.190 | mặt đường nhựa, bê tông xi măng:
P=1832 | X=0120.050-0351.130 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1832 | X=0120.050-0397.240 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1832 | X=0120.050-0406.790 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1832 | X=0120.050-0398.800 | Y=0125.330-0136.570 | đoạn từ Giáp ranh xã Trị An đến Cầu suối Kóp đã được đầu tư
P=1832 | X=0120.050-0275.260 | Y=0136.850-0148.090 | mặt đường nhựa, bê tông xi măng:
P=1832 | X=0120.050-0351.600 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1832 | X=0102.050-0107.650 | Y=0159.130-0168.450 | 3
P=1832 | X=0450.890-0467.530 | Y=0159.130-0168.450 | 120
P=1832 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 100
P=1832 | X=0120.050-0406.940 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1832 | X=0120.050-0181.170 | Y=0183.170-0194.410 | đến ≤1.000m.
P=1832 | X=0120.050-0343.220 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1832 | X=0120.050-0406.790 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1832 | X=0120.050-0398.800 | Y=0229.990-0241.230 | đoạn từ Giáp ranh xã Trị An đến Cầu suối Kóp đã được đầu tư
P=1832 | X=0120.050-0275.260 | Y=0241.510-0252.750 | mặt đường nhựa, bê tông xi măng:
P=1832 | X=0102.050-0107.650 | Y=0249.390-0258.710 | 4
P=1832 | X=0456.650-0467.770 | Y=0249.390-0258.710 | 80
P=1832 | X=0511.150-0522.270 | Y=0249.390-0258.710 | 60
P=1832 | X=0120.050-0405.860 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1832 | X=0120.050-0343.690 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1832 | X=0120.050-0405.310 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1832 | X=0120.050-0399.320 | Y=0305.860-0317.100 | Đường tỉnh 761 đoạn từ Giáp ranh xã Trị An đến Cầu suối Kóp
P=1832 | X=0120.050-0347.530 | Y=0317.380-0328.620 | đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1832 | X=0102.050-0107.650 | Y=0325.260-0334.580 | 5
P=1832 | X=0450.890-0467.530 | Y=0325.260-0334.580 | 150
P=1832 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 130
P=1832 | X=0120.050-0351.130 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1832 | X=0120.050-0397.240 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1832 | X=0120.050-0405.310 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1832 | X=0120.050-0399.320 | Y=0381.480-0392.720 | Đường tỉnh 761 đoạn từ Giáp ranh xã Trị An đến Cầu suối Kóp
P=1832 | X=0120.050-0347.530 | Y=0393.000-0404.240 | đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1832 | X=0120.050-0351.600 | Y=0410.520-0421.760 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1832 | X=0102.050-0107.650 | Y=0415.520-0424.840 | 6
P=1832 | X=0450.890-0467.530 | Y=0415.520-0424.840 | 120
P=1832 | X=0505.390-0522.030 | Y=0415.520-0424.840 | 100
P=1832 | X=0120.050-0406.940 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1832 | X=0120.050-0181.170 | Y=0439.560-0450.800 | đến ≤1.000m.
P=1832 | X=0120.050-0343.220 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1832 | X=0120.050-0405.310 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1832 | X=0120.050-0399.320 | Y=0486.380-0497.620 | Đường tỉnh 761 đoạn từ Giáp ranh xã Trị An đến Cầu suối Kóp
P=1832 | X=0120.050-0347.530 | Y=0497.900-0509.140 | đã được đầu tư mặt đường nhựa, bê tông xi măng:
