TABLE=056 | AREA=Phường Bình Phước | SECTION=agricultural | SEGMENTS=1
--- PAGES=1850-1939 | LINES=9036 | HEADING=56. Phường Bình Phước ---
P=1850 | X=0090.020-0206.800 | Y=0624.910-0636.150 | 56. Phường Bình Phước
P=1850 | X=0291.000-0351.640 | Y=0642.670-0653.910 | Đoạn đường
P=1850 | X=0394.940-0516.430 | Y=0642.670-0653.910 | Giá đất Giá đất Giá đất
P=1850 | X=0399.020-0424.620 | Y=0656.070-0665.390 | trồng
P=1850 | X=0441.290-0466.890 | Y=0656.070-0665.390 | trồng
P=1850 | X=0488.830-0510.090 | Y=0656.070-0665.390 | nuôi
P=1850 | X=0132.530-0239.700 | Y=0659.950-0671.190 | Tên đường giao thông
P=1850 | X=0099.650-0112.050 | Y=0661.830-0671.150 | TT
P=1850 | X=0394.940-0512.030 | Y=0667.590-0676.910 | cây lâu cây hằng trồng
P=1850 | X=0263.140-0308.440 | Y=0668.830-0680.070 | Điểm đầu
P=1850 | X=0332.280-0380.220 | Y=0668.830-0680.070 | Điểm cuối
P=1850 | X=0401.660-0422.370 | Y=0677.230-0688.470 | năm
P=1850 | X=0443.690-0519.950 | Y=0677.230-0688.470 | năm thủy sản
P=1850 | X=0250.900-0308.370 | Y=0695.230-0706.470 | Ngã tư Đồng
P=1850 | X=0320.760-0379.180 | Y=0695.230-0706.470 | Đường Đồng
P=1850 | X=0121.730-0204.630 | Y=0700.770-0712.010 | Đường Quốc lộ 14
P=1850 | X=0103.010-0108.610 | Y=0702.660-0711.980 | 1
P=1850 | X=0414.860-0431.500 | Y=0702.660-0711.980 | 800
P=1850 | X=0459.530-0476.170 | Y=0702.660-0711.980 | 640
P=1850 | X=0505.390-0522.030 | Y=0702.660-0711.980 | 380
P=1850 | X=0250.900-0270.670 | Y=0708.420-0717.740 | Xoài
P=1850 | X=0320.760-0341.960 | Y=0708.420-0717.740 | Khởi
P=1851 | X=0250.900-0309.320 | Y=0078.500-0089.740 | Đường Đồng
P=1851 | X=0320.760-0366.450 | Y=0078.500-0089.740 | Đường Lê
P=1851 | X=0121.730-0204.630 | Y=0084.260-0095.500 | Đường Quốc lộ 14
P=1851 | X=0103.010-0108.610 | Y=0086.140-0095.460 | 2
P=1851 | X=0414.860-0431.500 | Y=0086.140-0095.460 | 800
P=1851 | X=0459.530-0476.170 | Y=0086.140-0095.460 | 640
P=1851 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 380
P=1851 | X=0250.900-0272.100 | Y=0091.900-0101.220 | Khởi
P=1851 | X=0320.760-0344.600 | Y=0091.900-0101.220 | Duẩn
P=1851 | X=0250.900-0296.590 | Y=0107.780-0119.020 | Đường Lê
P=1851 | X=0320.760-0389.740 | Y=0107.780-0119.020 | Đường Nguyễn
P=1851 | X=0121.730-0204.630 | Y=0113.540-0124.780 | Đường Quốc lộ 14
P=1851 | X=0103.010-0108.610 | Y=0115.420-0124.740 | 3
P=1851 | X=0414.860-0431.500 | Y=0115.420-0124.740 | 800
P=1851 | X=0459.530-0476.170 | Y=0115.420-0124.740 | 640
P=1851 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 380
P=1851 | X=0320.760-0360.430 | Y=0119.330-0130.570 | Văn Linh
P=1851 | X=0250.900-0274.740 | Y=0121.210-0130.530 | Duẩn
P=1851 | X=0320.760-0364.760 | Y=0138.970-0148.290 | Giáp ranh
P=1851 | X=0250.900-0319.880 | Y=0142.850-0154.090 | Đường Nguyễn
P=1851 | X=0121.730-0204.630 | Y=0148.610-0159.850 | Đường Quốc lộ 14
P=1851 | X=0320.760-0383.020 | Y=0148.610-0159.850 | phường Đồng
P=1851 | X=0103.010-0108.610 | Y=0150.490-0159.810 | 4
P=1851 | X=0414.860-0431.500 | Y=0150.490-0159.810 | 800
P=1851 | X=0459.530-0476.170 | Y=0150.490-0159.810 | 640
P=1851 | X=0505.390-0522.030 | Y=0150.490-0159.810 | 380
P=1851 | X=0250.900-0290.570 | Y=0154.370-0165.610 | Văn Linh
P=1851 | X=0320.760-0340.530 | Y=0162.010-0171.330 | Xoài
P=1851 | X=0320.760-0378.230 | Y=0177.650-0188.890 | Ngã tư Đồng
P=1851 | X=0320.760-0387.110 | Y=0189.170-0200.410 | Xoài hướng về
P=1851 | X=0320.760-0380.390 | Y=0200.710-0211.950 | xã Đồng Tiến
P=1851 | X=0250.900-0308.370 | Y=0206.470-0217.710 | Ngã tư Đồng
P=1851 | X=0121.730-0204.630 | Y=0212.230-0223.470 | Đường Quốc lộ 14
P=1851 | X=0320.760-0389.170 | Y=0212.230-0223.470 | (cũ) (tính từ tim
P=1851 | X=0103.010-0108.610 | Y=0214.110-0223.430 | 5
P=1851 | X=0414.860-0431.500 | Y=0214.110-0223.430 | 800
P=1851 | X=0459.530-0476.170 | Y=0214.110-0223.430 | 640
P=1851 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 380
P=1851 | X=0250.900-0270.670 | Y=0219.870-0229.190 | Xoài
P=1851 | X=0320.760-0371.480 | Y=0223.750-0234.990 | đường Phú
P=1851 | X=0320.760-0371.310 | Y=0235.270-0246.510 | Riềng Đỏ +
P=1851 | X=0320.760-0343.790 | Y=0248.670-0257.990 | 65m)
P=1851 | X=0250.900-0308.370 | Y=0264.550-0275.790 | Ngã tư Đồng
P=1851 | X=0250.900-0317.250 | Y=0276.070-0287.310 | Xoài hướng về
P=1851 | X=0250.900-0310.530 | Y=0287.620-0298.860 | xã Đồng Tiến
P=1851 | X=0320.760-0389.740 | Y=0293.380-0304.620 | Đường Nguyễn
P=1851 | X=0121.730-0204.630 | Y=0299.140-0310.380 | Đường Quốc lộ 14
P=1851 | X=0250.900-0319.310 | Y=0299.140-0310.380 | (cũ) (tính từ tim
P=1851 | X=0103.010-0108.610 | Y=0301.020-0310.340 | 6
P=1851 | X=0414.860-0431.500 | Y=0301.020-0310.340 | 800
P=1851 | X=0459.530-0476.170 | Y=0301.020-0310.340 | 640
P=1851 | X=0505.390-0522.030 | Y=0301.020-0310.340 | 380
P=1851 | X=0320.760-0339.080 | Y=0306.780-0316.100 | Huệ
P=1851 | X=0250.900-0301.620 | Y=0310.660-0321.900 | đường Phú
P=1851 | X=0250.900-0301.450 | Y=0321.940-0333.180 | Riềng Đỏ +
P=1851 | X=0250.900-0273.930 | Y=0335.340-0344.660 | 65m)
P=1851 | X=0320.760-0378.120 | Y=0353.100-0362.420 | Hết ranh quy
P=1851 | X=0250.900-0319.880 | Y=0356.980-0368.220 | Đường Nguyễn
P=1851 | X=0121.730-0204.630 | Y=0362.740-0373.980 | Đường Quốc lộ 14
P=1851 | X=0320.760-0380.870 | Y=0362.740-0373.980 | hoạch đường
P=1851 | X=0103.010-0108.610 | Y=0364.620-0373.940 | 7
P=1851 | X=0414.860-0431.500 | Y=0364.620-0373.940 | 800
P=1851 | X=0459.530-0476.170 | Y=0364.620-0373.940 | 640
P=1851 | X=0505.390-0522.030 | Y=0364.620-0373.940 | 380
P=1851 | X=0250.900-0269.220 | Y=0370.400-0379.720 | Huệ
P=1851 | X=0320.760-0339.560 | Y=0376.160-0385.480 | số 2
P=1851 | X=0250.900-0382.540 | Y=0393.920-0403.240 | Hết ranh quy Cầu số 2 giáp
P=1851 | X=0121.730-0204.630 | Y=0403.560-0414.800 | Đường Quốc lộ 14
P=1851 | X=0250.900-0370.780 | Y=0403.560-0414.800 | hoạch đường ranh huyện
P=1851 | X=0103.010-0108.610 | Y=0405.440-0414.760 | 8
P=1851 | X=0414.860-0431.500 | Y=0405.440-0414.760 | 800
P=1851 | X=0459.530-0476.170 | Y=0405.440-0414.760 | 640
P=1851 | X=0505.390-0522.030 | Y=0405.440-0414.760 | 380
P=1851 | X=0320.760-0385.310 | Y=0415.080-0426.320 | Đồng Phú (cũ)
P=1851 | X=0250.900-0269.700 | Y=0416.960-0426.280 | số 2
P=1851 | X=0250.900-0308.370 | Y=0432.840-0444.080 | Ngã tư Đồng
P=1851 | X=0320.760-0365.880 | Y=0432.840-0444.080 | Đường Lý
