TABLE=058 | AREA=Phường Minh Hưng | SECTION=agricultural | SEGMENTS=1
--- PAGES=1952-1963 | LINES=1728 | HEADING=58. Phường Minh Hưng ---
P=1952 | X=0090.020-0201.750 | Y=0124.610-0135.850 | 58. Phường Minh Hưng
P=1952 | X=0268.900-0329.560 | Y=0142.610-0153.850 | Đoạn đường
P=1952 | X=0393.260-0516.910 | Y=0142.610-0153.850 | Giá đất Giá đất Giá đất
P=1952 | X=0127.490-0204.200 | Y=0154.130-0165.370 | Tên đường giao
P=1952 | X=0397.340-0422.940 | Y=0156.010-0165.330 | trồng
P=1952 | X=0442.010-0467.610 | Y=0156.010-0165.330 | trồng
P=1952 | X=0489.310-0510.570 | Y=0156.010-0165.330 | nuôi
P=1952 | X=0099.410-0111.810 | Y=0161.770-0171.090 | TT
P=1952 | X=0151.970-0179.940 | Y=0167.290-0176.610 | thông
P=1952 | X=0393.260-0512.510 | Y=0167.290-0176.610 | cây lâu cây hằng trồng
P=1952 | X=0232.180-0277.460 | Y=0168.770-0180.010 | Điểm đầu
P=1952 | X=0319.560-0367.500 | Y=0168.770-0180.010 | Điểm cuối
P=1952 | X=0399.980-0420.690 | Y=0176.930-0188.170 | năm
P=1952 | X=0444.650-0520.430 | Y=0176.930-0188.170 | năm thủy sản
P=1952 | X=0299.400-0383.980 | Y=0197.050-0206.370 | Phía Bắc: Hết ranh
P=1952 | X=0299.400-0385.990 | Y=0206.710-0217.950 | giới thửa đất số 69,
P=1952 | X=0210.550-0289.140 | Y=0214.350-0223.670 | Phía Bắc: Ngã ba
P=1952 | X=0299.400-0377.590 | Y=0218.230-0229.470 | tờ bản đồ số 140;
P=1952 | X=0210.550-0298.520 | Y=0223.990-0235.230 | đường Ngô Đức Kế
P=1952 | X=0121.730-0189.010 | Y=0229.750-0240.990 | Đường ĐT 751
P=1952 | X=0102.770-0108.370 | Y=0231.630-0240.950 | 1
P=1952 | X=0299.400-0381.780 | Y=0231.630-0240.950 | Phía Nam: Ngã ba
P=1952 | X=0415.580-0432.220 | Y=0231.630-0240.950 | 700
P=1952 | X=0460.250-0476.890 | Y=0231.630-0240.950 | 560
P=1952 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 336
P=1952 | X=0210.550-0295.620 | Y=0235.510-0246.750 | (Ranh giới phường
P=1952 | X=0299.400-0365.720 | Y=0241.270-0252.510 | đường bê tông
P=1952 | X=0210.550-0270.060 | Y=0247.030-0258.270 | Chơn Thành)
P=1952 | X=0299.400-0377.260 | Y=0252.790-0264.030 | ranh giới phường
P=1952 | X=0299.400-0355.640 | Y=0264.310-0275.550 | Chơn Thành
P=1952 | X=0210.550-0295.140 | Y=0284.220-0293.540 | Phía Bắc: Hết ranh
P=1952 | X=0210.550-0297.150 | Y=0293.860-0305.100 | giới thửa đất số 69,
P=1952 | X=0299.400-0384.460 | Y=0299.620-0310.860 | Ngã tư đường số 4
P=1952 | X=0210.550-0288.750 | Y=0305.380-0316.620 | tờ bản đồ số 140;
P=1952 | X=0299.400-0370.700 | Y=0311.140-0322.380 | và đường số 9 -
P=1952 | X=0121.730-0189.010 | Y=0316.900-0328.140 | Đường ĐT 751
P=1952 | X=0102.770-0108.370 | Y=0318.780-0328.100 | 2
P=1952 | X=0210.550-0292.930 | Y=0318.780-0328.100 | Phía Nam: Ngã ba
P=1952 | X=0415.580-0432.220 | Y=0318.780-0328.100 | 700
P=1952 | X=0460.250-0476.890 | Y=0318.780-0328.100 | 560
P=1952 | X=0505.390-0522.030 | Y=0318.780-0328.100 | 336
P=1952 | X=0299.400-0386.370 | Y=0324.540-0333.860 | Khu phố Minh Long
P=1952 | X=0210.550-0276.900 | Y=0328.180-0339.420 | đường bê tông
P=1952 | X=0299.400-0305.000 | Y=0335.820-0345.140 | 1
P=1952 | X=0210.550-0288.420 | Y=0339.700-0350.940 | ranh giới phường
P=1952 | X=0210.550-0280.220 | Y=0351.220-0362.460 | Chơn Thành cũ
P=1952 | X=0299.400-0376.060 | Y=0369.240-0380.480 | Ngã tư đường số
P=1952 | X=0210.550-0295.640 | Y=0375.000-0386.240 | Ngã tư đường số 4
P=1952 | X=0299.400-0383.980 | Y=0380.760-0392.000 | 14 và đường số 19
P=1952 | X=0210.550-0281.860 | Y=0386.520-0397.760 | và đường số 9 -
P=1952 | X=0121.730-0189.010 | Y=0392.280-0403.520 | Đường ĐT 751
P=1952 | X=0299.400-0382.460 | Y=0392.280-0403.520 | (Ngã tư Ngọc Lầu)
P=1952 | X=0102.770-0108.370 | Y=0394.160-0403.480 | 3
P=1952 | X=0415.580-0432.220 | Y=0394.160-0403.480 | 700
P=1952 | X=0460.250-0476.890 | Y=0394.160-0403.480 | 560
P=1952 | X=0505.390-0522.030 | Y=0394.160-0403.480 | 336
P=1952 | X=0210.550-0297.550 | Y=0399.920-0409.240 | Khu phố Minh Long
P=1952 | X=0299.400-0367.400 | Y=0405.680-0415.000 | - Khu phố Minh
P=1952 | X=0210.550-0216.150 | Y=0411.440-0420.760 | 1
