TABLE=059 | AREA=Phường Chơn Thành | SECTION=agricultural | SEGMENTS=1
--- PAGES=1963-1981 | LINES=2285 | HEADING=59. Phường Chơn Thành ---
P=1963 | X=0090.020-0208.230 | Y=0694.030-0705.270 | 59. Phường Chơn Thành
P=1964 | X=0266.740-0327.400 | Y=0078.500-0089.740 | Đoạn đường
P=1964 | X=0391.100-0515.950 | Y=0078.500-0089.740 | Giá đất Giá đất Giá đất
P=1964 | X=0126.050-0202.760 | Y=0090.020-0101.260 | Tên đường giao
P=1964 | X=0395.180-0420.780 | Y=0091.900-0101.220 | trồng
P=1964 | X=0440.090-0465.690 | Y=0091.900-0101.220 | trồng
P=1964 | X=0488.350-0509.610 | Y=0091.900-0101.220 | nuôi
P=1964 | X=0098.930-0111.330 | Y=0097.660-0106.980 | TT
P=1964 | X=0150.530-0178.500 | Y=0103.420-0112.740 | thông
P=1964 | X=0391.100-0511.790 | Y=0103.420-0112.740 | cây lâu cây hằng trồng
P=1964 | X=0229.780-0275.060 | Y=0104.660-0115.900 | Điểm đầu
P=1964 | X=0317.400-0365.340 | Y=0104.660-0115.900 | Điểm cuối
P=1964 | X=0397.820-0418.530 | Y=0113.060-0124.300 | năm
P=1964 | X=0442.730-0519.710 | Y=0113.060-0124.300 | năm thủy sản
P=1964 | X=0296.760-0370.990 | Y=0131.330-0142.570 | Phía Đông: Giáp
P=1964 | X=0296.760-0366.440 | Y=0142.850-0154.090 | đường bê Tông
P=1964 | X=0296.760-0377.110 | Y=0154.370-0165.610 | (hết ranh thửa đất
P=1964 | X=0120.770-0202.690 | Y=0165.650-0176.890 | Đường 02 tháng 4
P=1964 | X=0296.760-0383.020 | Y=0165.650-0176.890 | số 42, tờ bản đồ số
P=1964 | X=0208.630-0267.250 | Y=0171.410-0182.650 | Ngã tư Chơn
P=1964 | X=0120.770-0193.110 | Y=0177.170-0188.410 | (Đường Quốc lộ
P=1964 | X=0102.290-0107.890 | Y=0179.050-0188.370 | 1
P=1964 | X=0296.760-0380.810 | Y=0179.050-0188.370 | 84) Phía Tây: Giáp
P=1964 | X=0413.420-0430.060 | Y=0179.050-0188.370 | 700
P=1964 | X=0458.330-0474.970 | Y=0179.050-0188.370 | 560
P=1964 | X=0505.630-0522.270 | Y=0179.050-0188.370 | 336
P=1964 | X=0208.630-0237.040 | Y=0184.810-0194.130 | Thành
P=1964 | X=0296.760-0363.080 | Y=0188.690-0199.930 | đường bê tông
P=1964 | X=0120.770-0135.170 | Y=0190.570-0199.890 | 13)
P=1964 | X=0296.760-0380.230 | Y=0200.230-0211.470 | ((hết ranh thửa đất
P=1964 | X=0296.760-0383.020 | Y=0211.750-0222.990 | số 40, tờ bản đồ số
P=1964 | X=0296.760-0311.160 | Y=0225.150-0234.470 | 84)
P=1964 | X=0208.630-0282.850 | Y=0241.270-0252.510 | Phía Đông; Giáp
P=1964 | X=0208.630-0274.980 | Y=0252.790-0264.030 | đường bê tông
P=1964 | X=0208.630-0281.220 | Y=0264.310-0275.550 | (Hết ranh đất bà
P=1964 | X=0120.770-0202.690 | Y=0270.070-0281.310 | Đường 02 tháng 4
P=1964 | X=0296.760-0381.330 | Y=0270.070-0281.310 | Ngã tư đường Ngô
P=1964 | X=0208.630-0292.170 | Y=0277.710-0287.030 | Nguyễn Thị Riêng)
P=1964 | X=0120.770-0193.110 | Y=0281.620-0292.860 | (Đường Quốc lộ
P=1964 | X=0296.760-0378.940 | Y=0281.620-0292.860 | Gia Tự (Đường số
P=1964 | X=0102.290-0107.890 | Y=0283.500-0292.820 | 2
P=1964 | X=0413.420-0430.060 | Y=0283.500-0292.820 | 700
P=1964 | X=0458.330-0474.970 | Y=0283.500-0292.820 | 560
P=1964 | X=0505.630-0522.270 | Y=0283.500-0292.820 | 336
P=1964 | X=0208.630-0275.680 | Y=0289.260-0298.580 | Phía Tây: Giáp
P=1964 | X=0120.770-0135.170 | Y=0295.020-0304.340 | 13)
P=1964 | X=0296.760-0305.640 | Y=0295.020-0304.340 | 3)
P=1964 | X=0208.630-0295.000 | Y=0298.900-0310.140 | đường bê Tông hết
P=1964 | X=0208.630-0259.380 | Y=0310.420-0321.660 | ranh đất bà
P=1964 | X=0208.630-0278.820 | Y=0323.580-0332.900 | Nguyễn Thị Mòi
P=1964 | X=0120.770-0202.690 | Y=0339.700-0350.940 | Đường 02 tháng 4
P=1964 | X=0208.630-0372.450 | Y=0345.460-0356.700 | Đường Ngô Gia Tự Đường Lạc Long
P=1964 | X=0120.770-0193.110 | Y=0351.220-0362.460 | (Đường Quốc lộ
P=1964 | X=0102.290-0107.890 | Y=0353.100-0362.420 | 3
P=1964 | X=0413.420-0430.060 | Y=0353.100-0362.420 | 700
P=1964 | X=0458.330-0474.970 | Y=0353.100-0362.420 | 560
P=1964 | X=0505.630-0522.270 | Y=0353.100-0362.420 | 336
P=1964 | X=0208.630-0268.660 | Y=0356.980-0368.220 | (Đường số 3)
P=1964 | X=0296.760-0384.140 | Y=0356.980-0368.220 | Quân (Đường số 7)
P=1964 | X=0120.770-0135.170 | Y=0364.620-0373.940 | 13)
P=1964 | X=0120.770-0202.690 | Y=0380.760-0392.000 | Đường 02 tháng 4
P=1964 | X=0208.630-0365.740 | Y=0386.520-0397.760 | Đường Lạc Long Đường Nguyễn
P=1964 | X=0120.770-0193.110 | Y=0392.280-0403.520 | (Đường Quốc lộ
P=1964 | X=0102.290-0107.890 | Y=0394.160-0403.480 | 4
P=1964 | X=0413.420-0430.060 | Y=0394.160-0403.480 | 700
P=1964 | X=0458.330-0474.970 | Y=0394.160-0403.480 | 560
P=1964 | X=0505.630-0522.270 | Y=0394.160-0403.480 | 336
P=1964 | X=0208.630-0347.250 | Y=0398.040-0409.280 | Quân (Đường số 7) Công Hoan
P=1964 | X=0120.770-0135.170 | Y=0405.680-0415.000 | 13)
P=1964 | X=0120.770-0202.690 | Y=0421.800-0433.040 | Đường 02 tháng 4
P=1964 | X=0296.760-0360.210 | Y=0421.800-0433.040 | Đường Phùng
P=1964 | X=0208.630-0277.620 | Y=0427.560-0438.800 | Đường Nguyễn
P=1964 | X=0120.770-0193.110 | Y=0433.320-0444.560 | (Đường Quốc lộ
P=1964 | X=0296.760-0383.180 | Y=0433.320-0444.560 | Hưng (Ngã ba tổ 9-
P=1964 | X=0102.290-0107.890 | Y=0435.200-0444.520 | 5
P=1964 | X=0413.420-0430.060 | Y=0435.200-0444.520 | 700
P=1964 | X=0458.330-0474.970 | Y=0435.200-0444.520 | 560
P=1964 | X=0505.630-0522.270 | Y=0435.200-0444.520 | 336
P=1964 | X=0208.630-0259.120 | Y=0440.960-0450.280 | Công Hoan
P=1964 | X=0120.770-0135.170 | Y=0446.720-0456.040 | 13)
P=1964 | X=0296.760-0366.360 | Y=0446.720-0456.040 | 10, khu phố 10)
P=1964 | X=0120.770-0272.110 | Y=0462.860-0474.100 | Đường 02 tháng 4 Đường Phùng
P=1964 | X=0296.760-0378.460 | Y=0468.620-0479.860 | Ranh giới phường
P=1964 | X=0120.770-0193.110 | Y=0474.380-0485.620 | (Đường Quốc lộ
P=1964 | X=0208.630-0295.080 | Y=0474.380-0485.620 | Hưng (Ngã ba tổ 9-
P=1964 | X=0102.290-0107.890 | Y=0476.260-0485.580 | 6
P=1964 | X=0413.420-0430.060 | Y=0476.260-0485.580 | 700
P=1964 | X=0458.330-0474.970 | Y=0476.260-0485.580 | 560
P=1964 | X=0505.630-0522.270 | Y=0476.260-0485.580 | 336
P=1964 | X=0296.760-0346.510 | Y=0480.140-0491.380 | Minh Hưng
P=1964 | X=0120.770-0135.170 | Y=0487.780-0497.100 | 13)
P=1964 | X=0208.630-0278.260 | Y=0487.780-0497.100 | 10, khu phố 10)
P=1964 | X=0120.770-0202.690 | Y=0503.900-0515.140 | Đường 02 tháng 4
P=1964 | X=0208.630-0267.250 | Y=0509.660-0520.900 | Ngã tư Chơn
P=1964 | X=0120.770-0193.110 | Y=0515.420-0526.660 | (Đường Quốc lộ
P=1964 | X=0296.760-0359.720 | Y=0515.420-0526.660 | Cầu Bến Đình
P=1964 | X=0102.290-0107.890 | Y=0517.300-0526.620 | 7
P=1964 | X=0413.420-0430.060 | Y=0517.300-0526.620 | 700
P=1964 | X=0458.330-0474.970 | Y=0517.300-0526.620 | 560
P=1964 | X=0505.630-0522.270 | Y=0517.300-0526.620 | 336
P=1964 | X=0208.630-0237.040 | Y=0523.060-0532.380 | Thành
P=1964 | X=0120.770-0135.170 | Y=0528.820-0538.140 | 13)
P=1964 | X=0120.770-0202.690 | Y=0544.970-0556.210 | Đường 02 tháng 4
P=1964 | X=0296.760-0382.520 | Y=0550.490-0561.730 | Ngã ba đường Phú
P=1964 | X=0120.770-0193.110 | Y=0556.250-0567.490 | (Đường Quốc lộ
P=1964 | X=0208.630-0271.620 | Y=0556.250-0567.490 | Cầu Bến Đình
P=1964 | X=0102.290-0107.890 | Y=0558.130-0567.450 | 8
P=1964 | X=0413.420-0430.060 | Y=0558.130-0567.450 | 700
P=1964 | X=0458.330-0474.970 | Y=0558.130-0567.450 | 560
P=1964 | X=0505.630-0522.270 | Y=0558.130-0567.450 | 336
P=1964 | X=0296.760-0338.600 | Y=0562.010-0573.250 | Riềng Đỏ
P=1964 | X=0120.770-0135.170 | Y=0569.650-0578.970 | 13)
P=1964 | X=0296.760-0374.140 | Y=0585.770-0597.010 | Phía Tây: Đường
P=1964 | X=0296.760-0374.840 | Y=0599.170-0608.490 | bê tông giáp ranh
P=1964 | X=0120.770-0202.690 | Y=0603.050-0614.290 | Đường 02 tháng 4
P=1964 | X=0208.630-0384.820 | Y=0608.810-0620.050 | Ngã ba đường Phú công ty Medivice 3s
P=1964 | X=0120.770-0193.110 | Y=0614.570-0625.810 | (Đường Quốc lộ
P=1964 | X=0102.290-0107.890 | Y=0616.450-0625.770 | 9
P=1964 | X=0413.420-0430.060 | Y=0616.450-0625.770 | 700
P=1964 | X=0458.330-0474.970 | Y=0616.450-0625.770 | 560
P=1964 | X=0505.630-0522.270 | Y=0616.450-0625.770 | 336
P=1964 | X=0208.630-0250.500 | Y=0620.350-0631.590 | Riềng Đỏ
P=1964 | X=0296.760-0381.340 | Y=0620.350-0631.590 | Phía Đông: Đường
P=1964 | X=0120.770-0135.170 | Y=0627.990-0637.310 | 13)
P=1964 | X=0296.760-0368.130 | Y=0631.870-0643.110 | bê tông vào văn
P=1964 | X=0296.760-0372.940 | Y=0645.270-0654.590 | phòng Khu phố 7
P=1964 | X=0208.630-0375.430 | Y=0661.390-0672.630 | Phía Tây: Đường Hết ranh thửa đất
P=1964 | X=0120.770-0383.020 | Y=0672.910-0684.150 | Đường 02 tháng 4 bê tông giáp ranh số 50, tờ bản đồ số
