TABLE=061 | AREA=Phường Bình Long | SECTION=agricultural | SEGMENTS=1
--- PAGES=1985-1995 | LINES=1413 | HEADING=61. Phường Bình Long ---
P=1985 | X=0090.020-0198.390 | Y=0606.650-0617.890 | 61. Phường Bình Long
P=1985 | X=0288.340-0349.000 | Y=0624.670-0635.910 | Đoạn đường
P=1985 | X=0448.730-0520.510 | Y=0624.670-0635.910 | Giá đất Giá đất
P=1985 | X=0411.260-0445.370 | Y=0630.430-0641.670 | Giá đất
P=1985 | X=0452.810-0514.170 | Y=0638.070-0647.390 | trồng nuôi
P=1985 | X=0415.340-0440.970 | Y=0643.830-0653.150 | trồng
P=1985 | X=0093.620-0222.210 | Y=0647.710-0658.950 | TT Tên đường giao thông
P=1985 | X=0457.370-0474.010 | Y=0649.590-0658.910 | cây
P=1985 | X=0490.750-0516.350 | Y=0649.590-0658.910 | trồng
P=1985 | X=0411.260-0445.260 | Y=0655.350-0664.670 | cây lâu
P=1985 | X=0249.700-0294.980 | Y=0656.590-0667.830 | Điểm đầu
P=1985 | X=0339.480-0387.420 | Y=0656.590-0667.830 | Điểm cuối
P=1985 | X=0453.770-0514.350 | Y=0661.110-0670.430 | hằng thủy
P=1985 | X=0417.980-0438.690 | Y=0664.990-0676.230 | năm
P=1985 | X=0455.450-0476.160 | Y=0670.510-0681.750 | năm
P=1985 | X=0494.830-0512.030 | Y=0672.390-0681.710 | sản
P=1985 | X=0097.010-0199.590 | Y=0688.750-0699.990 | 1 Đường Lý Tự Trọng
P=1985 | X=0227.620-0290.340 | Y=0688.750-0699.990 | Đường Lê Lợi
P=1985 | X=0317.400-0409.650 | Y=0688.750-0699.990 | Đường Hùng Vương
P=1985 | X=0429.770-0446.410 | Y=0690.630-0699.950 | 308
P=1985 | X=0467.690-0484.330 | Y=0690.630-0699.950 | 246
P=1985 | X=0505.390-0522.030 | Y=0690.630-0699.950 | 172
P=1985 | X=0097.010-0214.000 | Y=0706.770-0718.010 | 2 Đường Trần Hưng Đạo
P=1985 | X=0227.620-0296.600 | Y=0706.770-0718.010 | Đường Nguyễn
P=1985 | X=0317.400-0393.090 | Y=0706.770-0718.010 | Đường Trần Phú
P=1985 | X=0429.770-0446.410 | Y=0708.660-0717.980 | 308
P=1985 | X=0467.690-0484.330 | Y=0708.660-0717.980 | 246
P=1985 | X=0505.390-0522.030 | Y=0708.660-0717.980 | 172
P=1986 | X=0227.620-0245.940 | Y=0074.620-0083.940 | Huệ
P=1986 | X=0227.620-0296.600 | Y=0090.740-0101.980 | Đường Nguyễn
P=1986 | X=0317.400-0401.510 | Y=0090.740-0101.980 | Đường Lý Thường
P=1986 | X=0097.010-0214.000 | Y=0096.500-0107.740 | 3 Đường Trần Hưng Đạo
P=1986 | X=0429.770-0446.410 | Y=0098.380-0107.700 | 280
P=1986 | X=0467.690-0484.330 | Y=0098.380-0107.700 | 224
P=1986 | X=0505.390-0522.030 | Y=0098.380-0107.700 | 157
P=1986 | X=0227.620-0245.940 | Y=0104.140-0113.460 | Huệ
P=1986 | X=0317.400-0334.840 | Y=0104.140-0113.460 | Kiệt
P=1986 | X=0227.620-0400.350 | Y=0120.290-0131.530 | Đường Lý Thường Thửa đất số 34, tờ
P=1986 | X=0097.010-0214.000 | Y=0126.050-0137.290 | 4 Đường Trần Hưng Đạo
P=1986 | X=0429.770-0446.410 | Y=0127.930-0137.250 | 280
P=1986 | X=0467.690-0484.330 | Y=0127.930-0137.250 | 224
P=1986 | X=0505.390-0522.030 | Y=0127.930-0137.250 | 157
P=1986 | X=0317.400-0375.100 | Y=0131.810-0143.050 | bản đồ số 82
P=1986 | X=0227.620-0245.060 | Y=0133.690-0143.010 | Kiệt
P=1986 | X=0227.620-0304.960 | Y=0149.810-0161.050 | Đường Đinh Tiên
P=1986 | X=0097.010-0172.710 | Y=0155.570-0166.810 | 5 Đường Lê Lợi
P=1986 | X=0317.400-0402.710 | Y=0155.570-0166.810 | Đường Ngô Quyền
P=1986 | X=0429.770-0446.410 | Y=0157.450-0166.770 | 308
P=1986 | X=0467.690-0484.330 | Y=0157.450-0166.770 | 246
P=1986 | X=0505.390-0522.030 | Y=0157.450-0166.770 | 172
P=1986 | X=0227.620-0257.000 | Y=0163.210-0172.530 | Hoàng
P=1986 | X=0109.970-0196.870 | Y=0179.330-0190.570 | Đường Phạm Ngọc
P=1986 | X=0317.400-0400.290 | Y=0179.330-0190.570 | Đường Trần Hưng
P=1986 | X=0227.620-0290.340 | Y=0185.090-0196.330 | Đường Lê Lợi
P=1986 | X=0097.010-0102.610 | Y=0186.970-0196.290 | 6
P=1986 | X=0429.770-0446.410 | Y=0186.970-0196.290 | 308
P=1986 | X=0467.690-0484.330 | Y=0186.970-0196.290 | 246
