TABLE=063 | AREA=Phường Phước Bình | SECTION=agricultural | SEGMENTS=1
--- PAGES=2003-2016 | LINES=1803 | HEADING=63. Phường Phước Bình ---
P=2003 | X=0090.020-0206.610 | Y=0126.050-0137.290 | 63. Phường Phước Bình
P=2003 | X=0279.220-0339.880 | Y=0144.050-0155.290 | Đoạn đường
P=2003 | X=0430.010-0446.400 | Y=0145.930-0155.250 | Giá
P=2003 | X=0463.370-0479.760 | Y=0145.930-0155.250 | Giá
P=2003 | X=0497.230-0513.620 | Y=0145.930-0155.250 | Giá
P=2003 | X=0430.490-0445.610 | Y=0155.570-0166.810 | đất
P=2003 | X=0464.090-0479.210 | Y=0155.570-0166.810 | đất
P=2003 | X=0497.950-0513.070 | Y=0155.570-0166.810 | đất
P=2003 | X=0114.290-0190.980 | Y=0167.090-0178.330 | Tên đường giao
P=2003 | X=0425.210-0516.090 | Y=0168.970-0178.290 | trồng trồng nuôi
P=2003 | X=0092.660-0105.060 | Y=0174.730-0184.050 | TT
P=2003 | X=0138.770-0166.740 | Y=0180.490-0189.810 | thông
P=2003 | X=0429.770-0446.410 | Y=0180.490-0189.810 | cây
P=2003 | X=0463.370-0518.270 | Y=0180.490-0189.810 | cây trồng
P=2003 | X=0230.740-0276.020 | Y=0181.730-0192.970 | Điểm đầu
P=2003 | X=0341.160-0389.100 | Y=0181.730-0192.970 | Điểm cuối
P=2003 | X=0430.730-0516.270 | Y=0192.010-0201.330 | lâu hằng thủy
P=2003 | X=0427.850-0513.950 | Y=0201.430-0212.670 | năm năm sản
P=2003 | X=0309.240-0406.540 | Y=0219.670-0230.910 | Đường Trường Chinh
P=2003 | X=0197.830-0280.260 | Y=0225.430-0236.670 | Giáp ranh phường
P=2003 | X=0108.290-0194.640 | Y=0231.190-0242.430 | Đường Nguyễn Tất
P=2003 | X=0309.240-0402.700 | Y=0231.190-0242.430 | (hết ranh thửa đất số
P=2003 | X=0197.830-0301.880 | Y=0236.950-0248.190 | Phước Long, tỉnh Đồng
P=2003 | X=0096.050-0101.650 | Y=0238.830-0248.150 | 1
P=2003 | X=0437.690-0454.330 | Y=0238.830-0248.150 | 420
P=2003 | X=0471.530-0488.170 | Y=0238.830-0248.150 | 336
P=2003 | X=0505.390-0522.030 | Y=0238.830-0248.150 | 269
P=2003 | X=0309.240-0415.190 | Y=0242.710-0253.950 | 364, tờ bản đồ số 31 và
P=2003 | X=0108.290-0136.700 | Y=0244.590-0253.910 | Thành
P=2003 | X=0197.830-0233.090 | Y=0248.470-0259.710 | Đai (cũ)
P=2003 | X=0309.240-0396.620 | Y=0254.230-0265.470 | Quảng Trường 6-1)
P=2003 | X=0309.240-0411.580 | Y=0272.230-0283.470 | Ngã ba đường Nguyễn
P=2003 | X=0197.830-0295.140 | Y=0277.990-0289.230 | Đường Trường Chinh
P=2003 | X=0309.240-0403.900 | Y=0283.780-0295.020 | Tất Thành - Đường 3
P=2003 | X=0108.290-0298.130 | Y=0289.540-0300.780 | Đường Nguyễn Tất (từ ranh thửa đất số 3,
P=2003 | X=0096.050-0101.650 | Y=0297.180-0306.500 | 2
P=2003 | X=0309.240-0412.300 | Y=0297.180-0306.500 | Tháng 2 (hết ranh thửa
P=2003 | X=0437.690-0454.330 | Y=0297.180-0306.500 | 420
P=2003 | X=0471.530-0488.170 | Y=0297.180-0306.500 | 336
P=2003 | X=0505.390-0522.030 | Y=0297.180-0306.500 | 269
P=2003 | X=0197.830-0281.470 | Y=0301.060-0312.300 | tờ bản đồ số 36 và
P=2003 | X=0108.290-0136.700 | Y=0302.940-0312.260 | Thành
P=2003 | X=0309.240-0417.580 | Y=0306.820-0318.060 | đất số 166, tờ bản đồ số
P=2003 | X=0197.830-0285.220 | Y=0312.580-0323.820 | Quảng Trường 6-1)
P=2003 | X=0309.240-0323.640 | Y=0320.220-0329.540 | 41)
P=2003 | X=0309.240-0411.580 | Y=0336.340-0347.580 | Ngã ba đường Nguyễn
P=2003 | X=0197.830-0300.200 | Y=0347.860-0359.100 | Ngã ba đường Nguyễn
P=2003 | X=0309.240-0395.500 | Y=0347.860-0359.100 | Tất Thành - Đường
P=2003 | X=0197.830-0292.500 | Y=0359.380-0370.620 | Tất Thành - Đường 3
P=2003 | X=0309.240-0400.060 | Y=0361.260-0370.580 | Thống Nhất (Ngã ba
P=2003 | X=0108.290-0293.220 | Y=0370.920-0382.160 | Đường Nguyễn Tất tháng 2 (từ ranh thửa
P=2003 | X=0309.240-0413.250 | Y=0370.920-0382.160 | Vòng xoay Phước Bình
P=2003 | X=0096.050-0101.650 | Y=0378.560-0387.880 | 3
P=2003 | X=0437.690-0454.330 | Y=0378.560-0387.880 | 420
P=2003 | X=0471.530-0488.170 | Y=0378.560-0387.880 | 336
P=2003 | X=0505.390-0522.030 | Y=0378.560-0387.880 | 269
P=2003 | X=0197.830-0300.680 | Y=0382.200-0393.440 | đất số 18, tờ bản đồ số
P=2003 | X=0309.240-0402.700 | Y=0382.200-0393.440 | (hết ranh thửa đất số
P=2003 | X=0108.290-0136.700 | Y=0384.080-0393.400 | Thành
P=2003 | X=0197.830-0297.870 | Y=0393.720-0404.960 | 14 và thửa đất số 168,
P=2003 | X=0309.240-0415.190 | Y=0393.720-0404.960 | 189, tờ bản đồ số 14 và
P=2003 | X=0197.830-0271.060 | Y=0405.240-0416.480 | tờ bản đồ số 41)
P=2003 | X=0309.240-0408.220 | Y=0405.240-0416.480 | thửa đất số 12, tờ bản
P=2003 | X=0309.240-0359.640 | Y=0416.760-0428.000 | đồ số 141))
P=2003 | X=0197.830-0300.200 | Y=0434.760-0446.000 | Ngã ba đường Nguyễn
P=2003 | X=0309.240-0411.580 | Y=0440.520-0451.760 | Ngã ba đường Nguyễn
P=2003 | X=0197.830-0284.100 | Y=0446.280-0457.520 | Tất Thành - Đường
P=2003 | X=0309.240-0395.500 | Y=0452.060-0463.300 | Tất Thành - Đường
P=2003 | X=0197.830-0288.660 | Y=0459.700-0469.020 | Thống Nhất (Ngã ba
P=2003 | X=0309.240-0409.020 | Y=0463.580-0474.820 | Thích Quảng Đức (hết
P=2003 | X=0108.290-0300.170 | Y=0469.340-0480.580 | Đường Nguyễn Tất vòng xoay Phước Bình
P=2003 | X=0309.240-0417.160 | Y=0475.100-0486.340 | ranh thửa đất số 243, tờ
P=2003 | X=0096.050-0101.650 | Y=0476.980-0486.300 | 4
P=2003 | X=0437.690-0454.330 | Y=0476.980-0486.300 | 420
P=2003 | X=0471.530-0488.170 | Y=0476.980-0486.300 | 336
P=2003 | X=0505.390-0522.030 | Y=0476.980-0486.300 | 269
P=2003 | X=0197.830-0286.980 | Y=0480.860-0492.100 | (từ ranh thửa đất số
P=2003 | X=0108.290-0136.700 | Y=0482.740-0492.060 | Thành
