TABLE=064 | AREA=Phường Phước Long | SECTION=agricultural | SEGMENTS=1
--- PAGES=2016-2024 | LINES=1203 | HEADING=64. Phường Phước Long ---
P=2016 | X=0090.020-0209.010 | Y=0235.990-0247.230 | 64. Phường Phước Long
P=2016 | X=0250.420-0311.080 | Y=0253.990-0265.230 | Đoạn đường
P=2016 | X=0414.380-0514.100 | Y=0253.990-0265.230 | Giá đất Giá đất Giá
P=2016 | X=0375.980-0410.060 | Y=0259.750-0270.990 | Giá đất
P=2016 | X=0498.430-0513.550 | Y=0265.510-0276.750 | đất
P=2016 | X=0418.460-0444.090 | Y=0267.390-0276.710 | trồng
P=2016 | X=0459.530-0480.790 | Y=0267.390-0276.710 | nuôi
P=2016 | X=0109.970-0186.660 | Y=0271.270-0282.510 | Tên đường giao
P=2016 | X=0380.060-0405.660 | Y=0273.150-0282.470 | trồng
P=2016 | X=0093.380-0105.780 | Y=0278.910-0288.230 | TT
P=2016 | X=0423.050-0439.690 | Y=0278.910-0288.230 | cây
P=2016 | X=0457.370-0517.550 | Y=0278.910-0288.230 | trồng rừng
P=2016 | X=0134.450-0162.420 | Y=0284.700-0294.020 | thông
P=2016 | X=0375.980-0409.980 | Y=0284.700-0294.020 | cây lâu
P=2016 | X=0218.710-0264.020 | Y=0286.180-0297.420 | Điểm đầu
P=2016 | X=0310.440-0358.380 | Y=0286.180-0297.420 | Điểm cuối
P=2016 | X=0419.450-0443.600 | Y=0290.460-0299.780 | hằng
P=2016 | X=0459.530-0480.970 | Y=0290.460-0299.780 | thủy
P=2016 | X=0497.230-0514.430 | Y=0290.460-0299.780 | sản
P=2016 | X=0382.700-0403.410 | Y=0294.340-0305.580 | năm
P=2016 | X=0421.130-0441.840 | Y=0300.100-0311.340 | năm
P=2016 | X=0461.450-0478.650 | Y=0301.980-0311.300 | sản
P=2016 | X=0495.550-0516.190 | Y=0301.980-0311.300 | xuất
P=2016 | X=0109.490-0186.830 | Y=0318.340-0329.580 | Đường Đinh Tiên
P=2016 | X=0295.320-0363.330 | Y=0318.340-0329.580 | Giáp đường Lê
P=2016 | X=0187.750-0258.660 | Y=0324.100-0335.340 | Giáp đường 6/1
P=2016 | X=0096.770-0102.370 | Y=0325.980-0335.300 | 1
P=2016 | X=0394.940-0411.580 | Y=0325.980-0335.300 | 420
P=2016 | X=0433.850-0450.490 | Y=0325.980-0335.300 | 336
P=2016 | X=0472.490-0489.130 | Y=0325.980-0335.300 | 269
P=2016 | X=0295.320-0342.040 | Y=0329.860-0341.100 | Văn Duyệt
P=2016 | X=0109.490-0138.870 | Y=0331.740-0341.060 | Hoàng
P=2016 | X=0295.320-0347.700 | Y=0347.860-0359.100 | Ngã tư giao
P=2016 | X=0109.490-0288.670 | Y=0353.620-0364.860 | Đường Đinh Tiên Ngã ba giao đường Lê
P=2016 | X=0295.320-0348.920 | Y=0359.380-0370.620 | đường Trần
P=2016 | X=0096.770-0102.370 | Y=0361.260-0370.580 | 2
P=2016 | X=0394.940-0411.580 | Y=0361.260-0370.580 | 420
P=2016 | X=0433.850-0450.490 | Y=0361.260-0370.580 | 336
P=2016 | X=0472.490-0489.130 | Y=0361.260-0370.580 | 269
P=2016 | X=0187.750-0234.500 | Y=0365.160-0376.400 | Văn Duyệt
P=2016 | X=0109.490-0138.870 | Y=0367.040-0376.360 | Hoàng
P=2016 | X=0295.320-0348.200 | Y=0372.800-0382.120 | Quang Khải
P=2016 | X=0109.490-0273.070 | Y=0388.920-0400.160 | Đường Đinh Tiên Ngã tư giao đường
P=2016 | X=0295.320-0356.120 | Y=0390.800-0400.120 | Trụ sở UBND
P=2016 | X=0096.770-0102.370 | Y=0396.560-0405.880 | 3
P=2016 | X=0394.940-0411.580 | Y=0396.560-0405.880 | 420
P=2016 | X=0433.850-0450.490 | Y=0396.560-0405.880 | 336
P=2016 | X=0472.490-0489.130 | Y=0396.560-0405.880 | 269
P=2016 | X=0295.320-0351.000 | Y=0400.200-0411.440 | phường (cũ)
P=2016 | X=0109.490-0138.870 | Y=0402.080-0411.400 | Hoàng
P=2016 | X=0187.750-0263.940 | Y=0402.080-0411.400 | Trần Quang Khải
P=2016 | X=0109.490-0279.060 | Y=0418.200-0429.440 | Đường Đinh Tiên Giáp đường Nguyễn
P=2016 | X=0295.320-0366.200 | Y=0423.960-0435.200 | Giáp dường 6/1
P=2016 | X=0096.770-0102.370 | Y=0425.840-0435.160 | 4
P=2016 | X=0394.940-0411.580 | Y=0425.840-0435.160 | 420
P=2016 | X=0433.850-0450.490 | Y=0425.840-0435.160 | 336
P=2016 | X=0472.490-0489.130 | Y=0425.840-0435.160 | 269
P=2016 | X=0109.490-0138.870 | Y=0431.600-0440.920 | Hoàng
P=2016 | X=0187.750-0233.430 | Y=0431.600-0440.920 | Tất Thành
P=2016 | X=0295.320-0372.660 | Y=0447.720-0458.960 | Đường Đinh Tiên
P=2016 | X=0187.750-0274.590 | Y=0449.600-0458.920 | Ngã ba Nguyễn Tất
P=2016 | X=0096.770-0158.050 | Y=0453.500-0464.740 | 5 Đường 6/1
P=2016 | X=0394.940-0411.580 | Y=0455.380-0464.700 | 420
P=2016 | X=0433.850-0450.490 | Y=0455.380-0464.700 | 336
P=2016 | X=0472.490-0489.130 | Y=0455.380-0464.700 | 269
P=2016 | X=0187.750-0324.700 | Y=0459.260-0470.500 | Thành (giao đường 6/1) Hoàng
P=2016 | X=0187.750-0371.030 | Y=0477.260-0488.500 | Ngã ba giáp Đinh Tiên Tượng đài Chiến
P=2016 | X=0096.770-0158.050 | Y=0483.020-0494.260 | 6 Đường 6/1
P=2016 | X=0394.940-0411.580 | Y=0484.900-0494.220 | 294
P=2016 | X=0433.850-0450.490 | Y=0484.900-0494.220 | 235
P=2016 | X=0472.490-0489.130 | Y=0484.900-0494.220 | 188
P=2016 | X=0187.750-0217.130 | Y=0490.660-0499.980 | Hoàng
P=2016 | X=0295.320-0320.360 | Y=0490.660-0499.980 | thắng
P=2016 | X=0096.770-0158.050 | Y=0506.780-0518.020 | 7 Đường 6/1
P=2016 | X=0187.750-0338.370 | Y=0506.780-0518.020 | Tượng đài chiến thắng Hết tuyến
P=2016 | X=0394.940-0411.580 | Y=0508.660-0517.980 | 294
P=2016 | X=0433.850-0450.490 | Y=0508.660-0517.980 | 235
P=2016 | X=0472.490-0489.130 | Y=0508.660-0517.980 | 188
P=2016 | X=0109.490-0164.770 | Y=0524.780-0536.020 | Đường Trần
P=2016 | X=0187.750-0279.060 | Y=0524.780-0536.020 | Giao đường Nguyễn
P=2016 | X=0295.320-0365.980 | Y=0524.780-0536.020 | Giao với đường
P=2016 | X=0096.770-0102.370 | Y=0532.420-0541.740 | 8
P=2016 | X=0394.940-0411.580 | Y=0532.420-0541.740 | 294
P=2016 | X=0433.850-0450.490 | Y=0532.420-0541.740 | 235
P=2016 | X=0472.490-0489.130 | Y=0532.420-0541.740 | 188
P=2016 | X=0109.490-0155.650 | Y=0536.330-0547.570 | Hưng Đạo
P=2016 | X=0187.750-0233.430 | Y=0538.210-0547.530 | Tất Thành
P=2016 | X=0295.320-0309.320 | Y=0538.210-0547.530 | 6/1
P=2016 | X=0109.490-0164.770 | Y=0554.330-0565.570 | Đường Trần
P=2016 | X=0295.320-0365.980 | Y=0554.330-0565.570 | Giao với đường
P=2016 | X=0187.750-0258.660 | Y=0560.090-0571.330 | Giao đường 6/1
P=2016 | X=0096.770-0102.370 | Y=0561.970-0571.290 | 9
P=2016 | X=0394.940-0411.580 | Y=0561.970-0571.290 | 294
P=2016 | X=0433.850-0450.490 | Y=0561.970-0571.290 | 235
P=2016 | X=0472.490-0489.130 | Y=0561.970-0571.290 | 188
P=2016 | X=0109.490-0155.650 | Y=0565.850-0577.090 | Hưng Đạo
P=2016 | X=0295.320-0336.590 | Y=0565.850-0577.090 | Lê Văn A
P=2016 | X=0295.320-0371.030 | Y=0583.850-0595.090 | Hết tuyến đường
P=2016 | X=0109.490-0164.770 | Y=0589.610-0600.850 | Đường Trần
P=2016 | X=0187.750-0262.260 | Y=0589.610-0600.850 | Ngã Tư Giao với
P=2016 | X=0093.860-0104.980 | Y=0597.250-0606.570 | 10
P=2016 | X=0295.320-0358.760 | Y=0597.250-0606.570 | nhựa Khu phố
P=2016 | X=0394.940-0411.580 | Y=0597.250-0606.570 | 294
P=2016 | X=0433.850-0450.490 | Y=0597.250-0606.570 | 235
P=2016 | X=0472.490-0489.130 | Y=0597.250-0606.570 | 188
P=2016 | X=0109.490-0155.650 | Y=0601.130-0612.370 | Hưng Đạo
P=2016 | X=0187.750-0261.900 | Y=0601.130-0612.370 | đường Lê Văn A
P=2016 | X=0295.320-0351.070 | Y=0608.770-0618.090 | Long Thủy 4
P=2016 | X=0109.490-0181.830 | Y=0624.910-0636.150 | Đường Lê Hồng
P=2016 | X=0295.320-0362.600 | Y=0624.910-0636.150 | Đường Lý Thái
P=2016 | X=0187.750-0280.000 | Y=0630.670-0641.910 | Đường Hùng Vương
P=2016 | X=0093.860-0104.980 | Y=0632.550-0641.870 | 11
P=2016 | X=0394.940-0411.580 | Y=0632.550-0641.870 | 294
P=2016 | X=0433.850-0450.490 | Y=0632.550-0641.870 | 235
P=2016 | X=0472.490-0489.130 | Y=0632.550-0641.870 | 188
P=2016 | X=0109.490-0138.370 | Y=0638.310-0647.630 | Phong
P=2016 | X=0295.320-0307.160 | Y=0638.310-0647.630 | Tổ
P=2016 | X=0109.490-0181.830 | Y=0654.430-0665.670 | Đường Lê Hồng
P=2016 | X=0295.320-0371.570 | Y=0654.430-0665.670 | Thửa đất số 184,
P=2016 | X=0187.750-0269.700 | Y=0660.190-0671.430 | Đường Lý Thái Tổ
P=2016 | X=0093.860-0104.980 | Y=0662.070-0671.390 | 12
P=2016 | X=0394.940-0411.580 | Y=0662.070-0671.390 | 294
P=2016 | X=0433.850-0450.490 | Y=0662.070-0671.390 | 235
P=2016 | X=0472.490-0489.130 | Y=0662.070-0671.390 | 188
P=2016 | X=0295.320-0365.240 | Y=0665.950-0677.190 | tờ bản đồ số 03
P=2016 | X=0109.490-0177.620 | Y=0667.830-0677.150 | Phong (nối dài)
P=2016 | X=0109.490-0274.110 | Y=0683.950-0695.190 | Đường Lê Hồng Đường Nguyễn Tất
P=2016 | X=0295.320-0349.400 | Y=0685.830-0695.150 | Ngã ba giao
P=2016 | X=0093.860-0104.980 | Y=0691.590-0700.910 | 13
P=2016 | X=0394.940-0411.580 | Y=0691.590-0700.910 | 294
P=2016 | X=0433.850-0450.490 | Y=0691.590-0700.910 | 235
P=2016 | X=0472.490-0489.130 | Y=0691.590-0700.910 | 188
P=2016 | X=0187.750-0355.960 | Y=0695.470-0706.710 | Thành (Đường ĐT 741) đường Tàu Ô
P=2016 | X=0109.490-0138.380 | Y=0697.350-0706.670 | Phong
P=2017 | X=0109.490-0294.670 | Y=0078.740-0089.980 | Đường Lê Hồng Ngã ba giao đường Tàu
P=2017 | X=0093.860-0104.980 | Y=0086.380-0095.700 | 14
P=2017 | X=0295.320-0335.240 | Y=0086.380-0095.700 | Cầu số 3
P=2017 | X=0394.940-0411.580 | Y=0086.380-0095.700 | 294
P=2017 | X=0433.850-0450.490 | Y=0086.380-0095.700 | 235
P=2017 | X=0472.490-0489.130 | Y=0086.380-0095.700 | 188
P=2017 | X=0109.490-0138.380 | Y=0092.140-0101.460 | Phong
P=2017 | X=0187.750-0193.350 | Y=0092.140-0101.460 | ô
P=2017 | X=0295.320-0349.400 | Y=0110.140-0119.460 | Ngã ba giao
P=2017 | X=0109.490-0181.830 | Y=0114.050-0125.290 | Đường Lê Hồng
P=2017 | X=0295.320-0362.620 | Y=0119.810-0131.050 | đường Nguyễn
P=2017 | X=0093.860-0104.980 | Y=0121.690-0131.010 | 15
P=2017 | X=0187.750-0227.670 | Y=0121.690-0131.010 | Cầu số 3
P=2017 | X=0394.940-0411.580 | Y=0121.690-0131.010 | 294
P=2017 | X=0433.850-0450.490 | Y=0121.690-0131.010 | 235
P=2017 | X=0472.490-0489.130 | Y=0121.690-0131.010 | 188
P=2017 | X=0109.490-0138.380 | Y=0127.450-0136.770 | Phong
P=2017 | X=0295.320-0341.000 | Y=0133.210-0142.530 | Tất Thành
P=2017 | X=0109.490-0178.470 | Y=0149.330-0160.570 | Đường Nguyễn
P=2017 | X=0295.320-0363.330 | Y=0149.330-0160.570 | Giáp đường Lê
P=2017 | X=0187.750-0288.900 | Y=0155.090-0166.330 | Tượng đài chiến thắng
P=2017 | X=0093.860-0104.980 | Y=0156.970-0166.290 | 16
P=2017 | X=0394.940-0411.580 | Y=0156.970-0166.290 | 294
P=2017 | X=0433.850-0450.490 | Y=0156.970-0166.290 | 235
P=2017 | X=0472.490-0489.130 | Y=0156.970-0166.290 | 188
P=2017 | X=0295.320-0342.040 | Y=0160.850-0172.090 | Văn Duyệt
P=2017 | X=0109.490-0127.810 | Y=0162.730-0172.050 | Huệ
P=2017 | X=0109.490-0276.430 | Y=0178.850-0190.090 | Đường Nguyễn Giao đường Lê Văn
P=2017 | X=0295.320-0363.330 | Y=0178.850-0190.090 | Giao đường Lê
P=2017 | X=0093.860-0104.980 | Y=0186.490-0195.810 | 17
P=2017 | X=0394.940-0411.580 | Y=0186.490-0195.810 | 294
P=2017 | X=0433.850-0450.490 | Y=0186.490-0195.810 | 235
P=2017 | X=0472.490-0489.130 | Y=0186.490-0195.810 | 188
P=2017 | X=0109.490-0127.810 | Y=0192.250-0201.570 | Huệ
P=2017 | X=0187.750-0213.830 | Y=0192.250-0201.570 | Duyệt
P=2017 | X=0295.320-0350.850 | Y=0192.250-0201.570 | Hồng Phong
P=2017 | X=0093.860-0230.830 | Y=0208.390-0219.630 | 18 Đường Lê Văn A Hết tuyến
P=2017 | X=0394.940-0411.580 | Y=0210.270-0219.590 | 294
P=2017 | X=0433.850-0450.490 | Y=0210.270-0219.590 | 235
P=2017 | X=0472.490-0489.130 | Y=0210.270-0219.590 | 188
P=2017 | X=0109.490-0164.770 | Y=0226.390-0237.630 | Đường Trần
P=2017 | X=0295.320-0361.640 | Y=0226.390-0237.630 | Đường Lê Văn
P=2017 | X=0187.750-0269.700 | Y=0231.910-0243.150 | Ngã ba đường 6/1
P=2017 | X=0093.860-0104.980 | Y=0233.790-0243.110 | 19
P=2017 | X=0394.940-0411.580 | Y=0233.790-0243.110 | 294
P=2017 | X=0433.850-0450.490 | Y=0233.790-0243.110 | 235
P=2017 | X=0472.490-0489.130 | Y=0233.790-0243.110 | 188
P=2017 | X=0109.490-0162.390 | Y=0239.550-0248.870 | Quang Khải
P=2017 | X=0295.320-0321.400 | Y=0239.550-0248.870 | Duyệt
P=2017 | X=0109.490-0164.770 | Y=0255.670-0266.910 | Đường Trần
P=2017 | X=0187.750-0360.450 | Y=0255.670-0266.910 | Ngã tư giáp đường Lê Ngã ba đường
P=2017 | X=0093.860-0104.980 | Y=0263.310-0272.630 | 20
P=2017 | X=0394.940-0411.580 | Y=0263.310-0272.630 | 294
P=2017 | X=0433.850-0450.490 | Y=0263.310-0272.630 | 235
P=2017 | X=0472.490-0489.130 | Y=0263.310-0272.630 | 188
P=2017 | X=0187.750-0234.500 | Y=0267.190-0278.430 | Văn Duyệt
P=2017 | X=0109.490-0162.390 | Y=0269.070-0278.390 | Quang Khải
P=2017 | X=0295.320-0358.200 | Y=0269.070-0278.390 | Hồ Long Thủy
P=2017 | X=0295.320-0349.400 | Y=0287.100-0296.420 | Ngã ba giáp
P=2017 | X=0109.490-0167.420 | Y=0290.980-0302.220 | Đường Cách
P=2017 | X=0187.750-0362.150 | Y=0296.740-0307.980 | Tượng đài chiến thắng đường Sư Vạn
P=2017 | X=0093.860-0104.980 | Y=0298.620-0307.940 | 21
P=2017 | X=0394.940-0411.580 | Y=0298.620-0307.940 | 294
P=2017 | X=0433.850-0450.490 | Y=0298.620-0307.940 | 235
P=2017 | X=0472.490-0489.130 | Y=0298.620-0307.940 | 188
P=2017 | X=0109.490-0170.780 | Y=0304.380-0313.700 | mạng tháng 8
P=2017 | X=0295.320-0319.160 | Y=0310.140-0319.460 | Hạnh
P=2017 | X=0109.490-0167.420 | Y=0326.260-0337.500 | Đường Cách
P=2017 | X=0187.750-0290.780 | Y=0326.260-0337.500 | Ngã ba giáp đường Sư
P=2017 | X=0093.860-0104.980 | Y=0333.900-0343.220 | 22
P=2017 | X=0295.320-0338.370 | Y=0333.900-0343.220 | Hết tuyến
P=2017 | X=0394.940-0411.580 | Y=0333.900-0343.220 | 294
P=2017 | X=0433.850-0450.490 | Y=0333.900-0343.220 | 235
P=2017 | X=0472.490-0489.130 | Y=0333.900-0343.220 | 188
P=2017 | X=0109.490-0170.780 | Y=0339.660-0348.980 | mạng tháng 8
P=2017 | X=0187.750-0232.240 | Y=0339.660-0348.980 | Vạn Hạnh
P=2017 | X=0109.490-0174.130 | Y=0355.780-0367.020 | Đường Hai Bà
P=2017 | X=0093.860-0104.980 | Y=0363.420-0372.740 | 23
P=2017 | X=0187.750-0238.020 | Y=0363.420-0372.740 | Toàn tuyến
P=2017 | X=0394.940-0411.580 | Y=0363.420-0372.740 | 294
P=2017 | X=0433.850-0450.490 | Y=0363.420-0372.740 | 235
P=2017 | X=0472.490-0489.130 | Y=0363.420-0372.740 | 188
P=2017 | X=0109.490-0136.930 | Y=0367.320-0378.560 | Trưng
P=2017 | X=0093.860-0172.450 | Y=0385.320-0396.560 | 24 Đường Tự Do
P=2017 | X=0187.750-0238.020 | Y=0387.200-0396.520 | Toàn tuyến
P=2017 | X=0394.940-0411.580 | Y=0387.200-0396.520 | 294
P=2017 | X=0433.850-0450.490 | Y=0387.200-0396.520 | 235
P=2017 | X=0472.490-0489.130 | Y=0387.200-0396.520 | 188
P=2017 | X=0109.490-0181.810 | Y=0403.320-0414.560 | Đường Hồ Long
P=2017 | X=0295.320-0353.730 | Y=0403.320-0414.560 | Đường Hùng
P=2017 | X=0187.750-0289.620 | Y=0409.080-0420.320 | Ngã tư giáp đường 6/1
P=2017 | X=0093.860-0104.980 | Y=0410.960-0420.280 | 25
P=2017 | X=0394.940-0411.580 | Y=0410.960-0420.280 | 294
P=2017 | X=0433.850-0450.490 | Y=0410.960-0420.280 | 235
P=2017 | X=0472.490-0489.130 | Y=0410.960-0420.280 | 188
P=2017 | X=0295.320-0326.600 | Y=0414.840-0426.080 | Vương
P=2017 | X=0109.490-0131.810 | Y=0416.720-0426.040 | Thủy
P=2017 | X=0295.320-0349.400 | Y=0434.720-0444.040 | Ngã ba giáp
P=2017 | X=0109.490-0181.810 | Y=0438.600-0449.840 | Đường Hồ Long
P=2017 | X=0187.750-0280.000 | Y=0444.360-0455.600 | Đường Hùng Vương
P=2017 | X=0295.320-0360.920 | Y=0444.360-0455.600 | đường Lý Thái
P=2017 | X=0093.860-0104.980 | Y=0446.240-0455.560 | 26
P=2017 | X=0394.940-0411.580 | Y=0446.240-0455.560 | 294
P=2017 | X=0433.850-0450.490 | Y=0446.240-0455.560 | 235
P=2017 | X=0472.490-0489.130 | Y=0446.240-0455.560 | 188
P=2017 | X=0109.490-0131.810 | Y=0452.020-0461.340 | Thủy
P=2017 | X=0295.320-0307.160 | Y=0457.780-0467.100 | Tổ
P=2017 | X=0295.320-0347.700 | Y=0473.900-0485.140 | Ngã tư giáp
P=2017 | X=0109.490-0164.770 | Y=0479.660-0490.900 | Đường Trần
P=2017 | X=0187.750-0273.070 | Y=0479.660-0490.900 | Ngã tư giáp đường
P=2017 | X=0295.320-0360.920 | Y=0485.420-0496.660 | đường Lý Thái
P=2017 | X=0093.860-0104.980 | Y=0487.300-0496.620 | 27
P=2017 | X=0394.940-0411.580 | Y=0487.300-0496.620 | 294
P=2017 | X=0433.850-0450.490 | Y=0487.300-0496.620 | 235
P=2017 | X=0472.490-0489.130 | Y=0487.300-0496.620 | 188
P=2017 | X=0109.490-0159.250 | Y=0493.060-0502.380 | Quốc Toản
P=2017 | X=0187.750-0263.940 | Y=0493.060-0502.380 | Trần Quang Khải
P=2017 | X=0295.320-0307.160 | Y=0498.820-0508.140 | Tổ
P=2017 | X=0109.490-0164.770 | Y=0514.940-0526.180 | Đường Trần
P=2017 | X=0187.750-0359.960 | Y=0514.940-0526.180 | Giao lộ đường Lê Văn Giao lộ đường
P=2017 | X=0093.860-0104.980 | Y=0522.340-0531.660 | 28
P=2017 | X=0394.940-0411.580 | Y=0522.340-0531.660 | 294
P=2017 | X=0433.850-0450.490 | Y=0522.340-0531.660 | 235
P=2017 | X=0472.490-0489.130 | Y=0522.340-0531.660 | 188
P=2017 | X=0109.490-0159.250 | Y=0528.100-0537.420 | Quốc Toản
P=2017 | X=0187.750-0213.830 | Y=0528.100-0537.420 | Duyệt
P=2017 | X=0295.320-0371.500 | Y=0528.100-0537.420 | Trần Quang Khải
P=2017 | X=0109.490-0178.000 | Y=0544.250-0555.490 | Đường Sư Vạn
P=2017 | X=0093.860-0104.980 | Y=0551.890-0561.210 | 29
P=2017 | X=0187.750-0238.020 | Y=0551.890-0561.210 | Toàn tuyến
P=2017 | X=0394.940-0411.580 | Y=0551.890-0561.210 | 294
P=2017 | X=0433.850-0450.490 | Y=0551.890-0561.210 | 235
P=2017 | X=0472.490-0489.130 | Y=0551.890-0561.210 | 188
P=2017 | X=0109.490-0133.330 | Y=0557.650-0566.970 | Hạnh
P=2017 | X=0109.490-0176.770 | Y=0573.770-0585.010 | Đường Lý Thái
P=2017 | X=0187.750-0265.090 | Y=0573.770-0585.010 | Đường Đinh Tiên
P=2017 | X=0295.320-0367.660 | Y=0573.770-0585.010 | Đường Lê Hồng
P=2017 | X=0093.860-0104.980 | Y=0581.410-0590.730 | 30
P=2017 | X=0394.940-0411.580 | Y=0581.410-0590.730 | 294
P=2017 | X=0433.850-0450.490 | Y=0581.410-0590.730 | 235
