TABLE=067 | AREA=Xã Đồng Tâm | SECTION=agricultural | SEGMENTS=1
--- PAGES=2028-2046 | LINES=2343 | HEADING=67. Xã Đồng Tâm ---
P=2028 | X=0090.020-0171.000 | Y=0154.610-0165.850 | 67. Xã Đồng Tâm
P=2028 | X=0256.660-0317.320 | Y=0172.610-0183.850 | Đoạn đường
P=2028 | X=0410.540-0482.090 | Y=0172.610-0183.850 | Giá đất Giá đất
P=2028 | X=0374.540-0408.620 | Y=0178.370-0189.610 | Giá đất
P=2028 | X=0486.190-0520.270 | Y=0178.370-0189.610 | Giá đất
P=2028 | X=0414.860-0475.750 | Y=0186.010-0195.330 | trồng nuôi
P=2028 | X=0117.650-0194.340 | Y=0189.890-0201.130 | Tên đường giao
P=2028 | X=0378.620-0404.220 | Y=0191.770-0201.090 | trồng
P=2028 | X=0491.470-0514.910 | Y=0191.770-0201.090 | rừng
P=2028 | X=0094.820-0107.220 | Y=0197.290-0206.610 | TT
P=2028 | X=0419.450-0436.090 | Y=0197.290-0206.610 | cây
P=2028 | X=0452.330-0477.930 | Y=0197.290-0206.610 | trồng
P=2028 | X=0142.130-0170.100 | Y=0203.070-0212.390 | thông
P=2028 | X=0374.540-0408.540 | Y=0203.070-0212.390 | cây lâu
P=2028 | X=0494.590-0511.790 | Y=0203.070-0212.390 | sản
P=2028 | X=0220.630-0265.940 | Y=0204.550-0215.790 | Điểm đầu
P=2028 | X=0306.360-0354.280 | Y=0204.550-0215.790 | Điểm cuối
P=2028 | X=0415.580-0475.930 | Y=0208.830-0218.150 | hằng thủy
P=2028 | X=0381.260-0401.970 | Y=0212.710-0223.950 | năm
P=2028 | X=0492.910-0513.550 | Y=0214.590-0223.910 | xuất
P=2028 | X=0417.260-0437.970 | Y=0218.470-0229.710 | năm
P=2028 | X=0456.410-0473.610 | Y=0220.350-0229.670 | sản
P=2028 | X=0287.140-0355.150 | Y=0236.710-0247.950 | Hết ranh Nghĩa
P=2028 | X=0287.140-0355.170 | Y=0248.230-0259.470 | trang liệt sĩ tỉnh
P=2028 | X=0287.140-0356.360 | Y=0259.750-0270.990 | hướng đi xã Bù
P=2028 | X=0287.140-0350.600 | Y=0271.270-0282.510 | Đăng (bên trải
P=2028 | X=0199.990-0283.620 | Y=0277.030-0288.270 | Giáp ranh Phường
P=2028 | X=0287.140-0371.660 | Y=0282.820-0294.060 | đường Quốc lộ 14)
P=2028 | X=0098.210-0276.420 | Y=0288.580-0299.820 | 1 Đường Quốc lộ 14 Bình Phước (cầu
P=2028 | X=0392.060-0408.700 | Y=0290.460-0299.780 | 252
P=2028 | X=0429.290-0445.930 | Y=0290.460-0299.780 | 202
P=2028 | X=0466.970-0483.610 | Y=0290.460-0299.780 | 161
P=2028 | X=0511.150-0522.270 | Y=0290.460-0299.780 | 64
