TABLE=071 | AREA=Xã Lộc Hưng | SECTION=agricultural | SEGMENTS=1
--- PAGES=2048-2050 | LINES=332 | HEADING=71. Xã Lộc Hưng ---
P=2048 | X=0090.020-0169.150 | Y=0190.610-0201.850 | 71. Xã Lộc Hưng
P=2048 | X=0263.380-0324.040 | Y=0208.630-0219.870 | Đoạn đường
P=2048 | X=0408.620-0512.900 | Y=0208.630-0219.870 | Giá đất Giá đất Giá
P=2048 | X=0368.300-0402.380 | Y=0214.390-0225.630 | Giá đất
P=2048 | X=0496.750-0512.830 | Y=0220.150-0231.390 | Đất
P=2048 | X=0412.940-0438.570 | Y=0222.030-0231.350 | trồng
P=2048 | X=0456.170-0477.430 | Y=0222.030-0231.350 | nuôi
P=2048 | X=0372.620-0398.220 | Y=0227.550-0236.870 | trồng
P=2048 | X=0090.020-0215.920 | Y=0231.430-0242.670 | TT Tên đường giao thông
P=2048 | X=0417.500-0434.140 | Y=0233.310-0242.630 | cây
P=2048 | X=0453.770-0516.350 | Y=0233.310-0242.630 | trồng rừng
P=2048 | X=0368.300-0402.300 | Y=0239.070-0248.390 | cây lâu
P=2048 | X=0232.420-0277.700 | Y=0240.550-0251.790 | Điểm đầu
P=2048 | X=0303.000-0350.920 | Y=0240.550-0251.790 | Điểm cuối
P=2048 | X=0413.660-0437.840 | Y=0244.830-0254.150 | hằng
P=2048 | X=0455.930-0477.370 | Y=0244.830-0254.150 | thủy
P=2048 | X=0496.030-0513.230 | Y=0244.830-0254.150 | sản
P=2048 | X=0375.020-0395.730 | Y=0248.710-0259.950 | năm
P=2048 | X=0415.340-0436.050 | Y=0254.470-0265.710 | năm
P=2048 | X=0458.090-0475.290 | Y=0256.350-0265.670 | sản
P=2048 | X=0494.350-0514.990 | Y=0256.350-0265.670 | xuất
P=2048 | X=0222.310-0279.750 | Y=0274.590-0283.910 | Giáp ranh xã
P=2048 | X=0102.770-0281.460 | Y=0284.260-0295.500 | Đường liên xã Lộc Điền - Lộc Điền - xã
P=2048 | X=0093.380-0098.980 | Y=0291.900-0301.220 | 1
P=2048 | X=0288.580-0347.730 | Y=0291.900-0301.220 | Cầu Sóc Lớn
P=2048 | X=0388.220-0404.860 | Y=0291.900-0301.220 | 112
P=2048 | X=0435.050-0446.170 | Y=0291.900-0301.220 | 90
P=2048 | X=0475.850-0486.970 | Y=0291.900-0301.220 | 72
P=2048 | X=0511.150-0522.270 | Y=0291.900-0301.220 | 44
P=2048 | X=0102.770-0170.680 | Y=0295.780-0307.020 | Lộc Khánh (cũ)
P=2048 | X=0222.310-0270.180 | Y=0297.660-0306.980 | Lộc Khánh
P=2048 | X=0222.310-0239.590 | Y=0307.300-0318.540 | (cũ)
P=2048 | X=0288.580-0343.730 | Y=0325.300-0336.540 | Hết ranh đất
P=2048 | X=0102.770-0214.630 | Y=0331.060-0342.300 | Đường liên xã Lộc Điền -
P=2048 | X=0222.310-0344.850 | Y=0336.820-0348.060 | Cầu Sóc Lớn Trường mẫu
P=2048 | X=0093.380-0098.980 | Y=0338.700-0348.020 | 2
P=2048 | X=0388.220-0404.860 | Y=0338.700-0348.020 | 112
P=2048 | X=0435.050-0446.170 | Y=0338.700-0348.020 | 90
P=2048 | X=0475.850-0486.970 | Y=0338.700-0348.020 | 72
P=2048 | X=0511.150-0522.270 | Y=0338.700-0348.020 | 44
P=2048 | X=0102.770-0170.680 | Y=0342.580-0353.820 | Lộc Khánh (cũ)
P=2048 | X=0288.580-0350.880 | Y=0348.340-0359.580 | giáo Tuổi Thơ
P=2048 | X=0288.580-0343.730 | Y=0366.360-0377.600 | Hết ranh đất
P=2048 | X=0222.310-0266.310 | Y=0374.000-0383.320 | Giáp ranh
P=2048 | X=0102.770-0216.870 | Y=0377.880-0389.120 | Đường liên xã Lộc Khánh
P=2048 | X=0288.580-0363.740 | Y=0377.880-0389.120 | Trường Tiểu học
P=2048 | X=0222.310-0278.590 | Y=0383.640-0394.880 | Trường mẫu
P=2048 | X=0093.380-0098.980 | Y=0385.520-0394.840 | 3
P=2048 | X=0388.220-0404.860 | Y=0385.520-0394.840 | 112
P=2048 | X=0435.050-0446.170 | Y=0385.520-0394.840 | 90
P=2048 | X=0475.850-0486.970 | Y=0385.520-0394.840 | 72
P=2048 | X=0511.150-0522.270 | Y=0385.520-0394.840 | 44
P=2048 | X=0102.770-0173.090 | Y=0389.400-0400.640 | - Lộc Thịnh (cũ)
P=2048 | X=0288.580-0361.440 | Y=0389.400-0400.640 | và Trung học cơ
P=2048 | X=0222.310-0284.620 | Y=0395.160-0406.400 | giáo Tuổi Thơ
P=2048 | X=0288.580-0350.840 | Y=0402.800-0412.120 | sở Lộc Khánh
P=2048 | X=0222.310-0266.310 | Y=0420.800-0430.120 | Giáp ranh
P=2048 | X=0222.310-0275.230 | Y=0430.200-0441.440 | trường Tiểu
P=2048 | X=0102.770-0216.870 | Y=0435.960-0447.200 | Đường liên xã Lộc Khánh
P=2048 | X=0288.580-0364.940 | Y=0437.840-0447.160 | Giúp ranh xã Lộc
P=2048 | X=0093.380-0098.980 | Y=0443.600-0452.920 | 4
P=2048 | X=0222.310-0280.970 | Y=0443.600-0452.920 | học và Trung
P=2048 | X=0388.220-0404.860 | Y=0443.600-0452.920 | 112
P=2048 | X=0435.050-0446.170 | Y=0443.600-0452.920 | 90
P=2048 | X=0475.850-0486.970 | Y=0443.600-0452.920 | 72
P=2048 | X=0511.150-0522.270 | Y=0443.600-0452.920 | 44
P=2048 | X=0102.770-0173.090 | Y=0447.480-0458.720 | - Lộc Thịnh (cũ)
P=2048 | X=0288.580-0333.730 | Y=0447.480-0458.720 | Thịnh (cũ)
P=2048 | X=0222.310-0286.180 | Y=0453.260-0464.500 | học cơ sở Lộc
P=2048 | X=0222.310-0251.200 | Y=0466.660-0475.980 | Khánh
P=2048 | X=0222.310-0279.750 | Y=0484.660-0493.980 | Giáp ranh xã
P=2048 | X=0288.580-0358.270 | Y=0488.540-0499.780 | Ngã ba ỦY Ban
P=2048 | X=0102.770-0276.340 | Y=0494.300-0505.540 | Đường liên xã Lộc Khánh Lộc Khánh -
P=2048 | X=0093.380-0098.980 | Y=0501.940-0511.260 | 5
P=2048 | X=0288.580-0362.780 | Y=0501.940-0511.260 | nhân dân xã Lộc
P=2048 | X=0388.220-0404.860 | Y=0501.940-0511.260 | 112
P=2048 | X=0435.050-0446.170 | Y=0501.940-0511.260 | 90
P=2048 | X=0475.850-0486.970 | Y=0501.940-0511.260 | 72
P=2048 | X=0511.150-0522.270 | Y=0501.940-0511.260 | 44
P=2048 | X=0102.770-0167.540 | Y=0505.820-0517.060 | - Lộc Thái (cũ)
P=2048 | X=0222.310-0274.000 | Y=0507.700-0517.020 | xã Lộc Thái
P=2048 | X=0288.580-0337.540 | Y=0511.580-0522.820 | Khánh (cũ)
P=2048 | X=0222.310-0239.590 | Y=0517.340-0528.580 | (cũ)
P=2048 | X=0102.770-0209.160 | Y=0535.370-0546.610 | Đường Lộc Khánh đi xã
P=2048 | X=0222.310-0268.500 | Y=0535.370-0546.610 | Ngã ba ấp
P=2048 | X=0093.380-0207.490 | Y=0546.890-0558.130 | 6 An Khương, thị xã Bình
P=2048 | X=0222.310-0342.670 | Y=0548.770-0558.090 | Sóc Lớn - Ba Cầu Ba Ven
P=2048 | X=0388.220-0404.860 | Y=0548.770-0558.090 | 112
P=2048 | X=0435.050-0446.170 | Y=0548.770-0558.090 | 90
P=2048 | X=0475.850-0486.970 | Y=0548.770-0558.090 | 72
P=2048 | X=0511.150-0522.270 | Y=0548.770-0558.090 | 44
P=2048 | X=0102.770-0145.020 | Y=0558.410-0569.650 | Long (cũ)
P=2048 | X=0222.310-0240.150 | Y=0560.290-0569.610 | Ven
P=2048 | X=0102.770-0209.160 | Y=0576.410-0587.650 | Đường Lộc Khánh đi xã
P=2048 | X=0288.580-0361.140 | Y=0578.290-0587.610 | Giáp ranh xã An
P=2048 | X=0093.380-0207.490 | Y=0587.930-0599.170 | 7 An Khương, thị xã Bình
P=2048 | X=0288.580-0354.920 | Y=0587.930-0599.170 | Khương, thị xã
P=2048 | X=0222.310-0276.410 | Y=0589.810-0599.130 | Cầu Ba Ven
P=2048 | X=0388.220-0404.860 | Y=0589.810-0599.130 | 112
P=2048 | X=0435.050-0446.170 | Y=0589.810-0599.130 | 90
P=2048 | X=0475.850-0486.970 | Y=0589.810-0599.130 | 72
P=2048 | X=0511.150-0522.270 | Y=0589.810-0599.130 | 44
P=2048 | X=0102.770-0145.020 | Y=0599.450-0610.690 | Long (cũ)
P=2048 | X=0288.580-0354.330 | Y=0599.450-0610.690 | Bình Long (cũ)
P=2048 | X=0222.310-0279.750 | Y=0619.350-0628.670 | Giáp ranh xã
P=2048 | X=0102.770-0213.430 | Y=0623.230-0634.470 | Đường liên xã Lộc Thái -
P=2048 | X=0222.310-0344.350 | Y=0628.750-0639.990 | Lộc Thái - xã Cầu Ông Đô
P=2048 | X=0093.380-0098.980 | Y=0630.630-0639.950 | 8
P=2048 | X=0388.220-0404.860 | Y=0630.630-0639.950 | 112
P=2048 | X=0435.050-0446.170 | Y=0630.630-0639.950 | 90
P=2048 | X=0475.850-0486.970 | Y=0630.630-0639.950 | 72
P=2048 | X=0511.150-0522.270 | Y=0630.630-0639.950 | 44
P=2048 | X=0102.770-0162.530 | Y=0634.510-0645.750 | Lộc Điền (cũ)
P=2048 | X=0222.310-0262.020 | Y=0640.270-0651.510 | Lộc Điền
P=2048 | X=0288.580-0357.570 | Y=0658.270-0669.510 | Ngã ba Trường
P=2048 | X=0102.770-0213.430 | Y=0664.030-0675.270 | Đường liên xã Lộc Thái -
P=2048 | X=0222.310-0278.090 | Y=0669.790-0681.030 | Cầu Ông Đô
P=2048 | X=0288.580-0362.860 | Y=0669.790-0681.030 | tiểu học A (Đi ấp
P=2048 | X=0093.380-0098.980 | Y=0671.670-0680.990 | 9
P=2048 | X=0388.220-0404.860 | Y=0671.670-0680.990 | 112
P=2048 | X=0435.050-0446.170 | Y=0671.670-0680.990 | 90
P=2048 | X=0475.850-0486.970 | Y=0671.670-0680.990 | 72
P=2048 | X=0511.150-0522.270 | Y=0671.670-0680.990 | 44
P=2048 | X=0102.770-0162.530 | Y=0675.550-0686.790 | Lộc Điền (cũ)
P=2048 | X=0288.580-0297.460 | Y=0683.190-0692.510 | 8)
P=2048 | X=0090.500-0343.800 | Y=0699.310-0710.550 | 10 Đường liên xã Lộc Thái - Nhà máy hạt Nhà thờ Lộc
P=2048 | X=0388.220-0404.860 | Y=0701.190-0710.510 | 112
P=2048 | X=0435.050-0446.170 | Y=0701.190-0710.510 | 90
P=2048 | X=0475.850-0486.970 | Y=0701.190-0710.510 | 72
P=2048 | X=0511.150-0522.270 | Y=0701.190-0710.510 | 44
P=2049 | X=0102.770-0162.530 | Y=0072.740-0083.980 | Lộc Điền (cũ)
P=2049 | X=0222.310-0309.320 | Y=0072.740-0083.980 | điều Lộc Thái Điền
P=2049 | X=0222.310-0282.400 | Y=0090.740-0101.980 | Ngã ba nghĩa
P=2049 | X=0102.770-0214.630 | Y=0096.500-0107.740 | Đường liên xã Lộc Điền -
P=2049 | X=0288.580-0364.940 | Y=0098.380-0107.700 | Giáp ranh xã Lộc
P=2049 | X=0222.310-0277.060 | Y=0102.260-0113.500 | địa ấp 2 Lộc
P=2049 | X=0090.500-0101.620 | Y=0104.140-0113.460 | 11
P=2049 | X=0388.220-0404.860 | Y=0104.140-0113.460 | 112
P=2049 | X=0435.050-0446.170 | Y=0104.140-0113.460 | 90
P=2049 | X=0475.850-0486.970 | Y=0104.140-0113.460 | 72
P=2049 | X=0511.150-0522.270 | Y=0104.140-0113.460 | 44
P=2049 | X=0102.770-0170.210 | Y=0108.020-0119.260 | Lộc Thuận (cũ)
P=2049 | X=0288.580-0337.080 | Y=0108.020-0119.260 | Thuận (cũ)
P=2049 | X=0222.310-0243.060 | Y=0113.780-0125.020 | Điền
P=2049 | X=0102.770-0362.100 | Y=0131.810-0143.050 | Đường liên xã Lộc Điền - Giáp Trường Giáp ranh lô cao
P=2049 | X=0090.500-0101.620 | Y=0139.450-0148.770 | 12
P=2049 | X=0388.220-0404.860 | Y=0139.450-0148.770 | 112
P=2049 | X=0435.050-0446.170 | Y=0139.450-0148.770 | 90
P=2049 | X=0475.850-0486.970 | Y=0139.450-0148.770 | 72
P=2049 | X=0511.150-0522.270 | Y=0139.450-0148.770 | 44
P=2049 | X=0102.770-0171.880 | Y=0143.330-0154.570 | Lộc Quang (cũ)
P=2049 | X=0222.310-0266.970 | Y=0145.210-0154.530 | tiểu học A
P=2049 | X=0288.580-0298.980 | Y=0145.210-0154.530 | su
P=2049 | X=0102.770-0277.090 | Y=0161.330-0172.570 | Đường liên xã Lộc Điền - Giáp ranh lô
P=2049 | X=0288.580-0342.120 | Y=0163.210-0172.530 | Giáp xã Lộc
P=2049 | X=0090.500-0101.620 | Y=0168.970-0178.290 | 13
P=2049 | X=0388.220-0404.860 | Y=0168.970-0178.290 | 112
P=2049 | X=0435.050-0446.170 | Y=0168.970-0178.290 | 90
P=2049 | X=0475.850-0486.970 | Y=0168.970-0178.290 | 72
P=2049 | X=0511.150-0522.270 | Y=0168.970-0178.290 | 44
P=2049 | X=0102.770-0171.880 | Y=0172.850-0184.090 | Lộc Quang (cũ)
P=2049 | X=0288.580-0338.740 | Y=0172.850-0184.090 | Quang (cũ)
P=2049 | X=0222.310-0251.670 | Y=0174.730-0184.050 | cao su
P=2049 | X=0222.310-0254.560 | Y=0192.730-0202.050 | Ngã ba
P=2049 | X=0288.580-0364.940 | Y=0198.490-0207.810 | Giáp ranh xã Lộc
P=2049 | X=0102.770-0275.230 | Y=0202.390-0213.630 | Đường liên xã Lộc Điền - Trường tiểu
P=2049 | X=0288.580-0347.640 | Y=0207.910-0219.150 | Điền - xã Lộc
P=2049 | X=0090.500-0101.620 | Y=0209.790-0219.110 | 14
P=2049 | X=0388.220-0404.860 | Y=0209.790-0219.110 | 112
P=2049 | X=0435.050-0446.170 | Y=0209.790-0219.110 | 90
P=2049 | X=0475.850-0486.970 | Y=0209.790-0219.110 | 72
P=2049 | X=0511.150-0522.270 | Y=0209.790-0219.110 | 44
P=2049 | X=0102.770-0170.680 | Y=0213.670-0224.910 | Lộc Khánh (cũ)
P=2049 | X=0222.310-0280.980 | Y=0213.670-0224.910 | học Lộc Điền
P=2049 | X=0288.580-0337.540 | Y=0219.430-0230.670 | Khánh (cũ)
P=2049 | X=0222.310-0229.030 | Y=0227.070-0236.390 | A
P=2049 | X=0288.580-0349.240 | Y=0243.190-0254.430 | Giáp ranh đất
P=2049 | X=0288.580-0347.640 | Y=0254.710-0265.950 | cây xăng Lộc
P=2049 | X=0222.310-0279.790 | Y=0260.470-0271.710 | Ngã tư Đồng
P=2049 | X=0090.500-0185.670 | Y=0266.230-0277.470 | 15 Đường Quốc lộ 13
P=2049 | X=0288.580-0355.960 | Y=0266.230-0277.470 | Phát (Thửa đất
P=2049 | X=0388.220-0404.860 | Y=0268.110-0277.430 | 168
P=2049 | X=0429.290-0445.930 | Y=0268.110-0277.430 | 134
P=2049 | X=0470.090-0486.730 | Y=0268.110-0277.430 | 108
P=2049 | X=0511.150-0522.270 | Y=0268.110-0277.430 | 44
P=2049 | X=0222.310-0242.220 | Y=0273.870-0283.190 | Tâm
P=2049 | X=0288.580-0353.240 | Y=0279.630-0288.950 | số 388, tờ bản
P=2049 | X=0288.580-0330.120 | Y=0289.300-0300.540 | đồ số 20)
P=2049 | X=0222.310-0364.940 | Y=0307.300-0318.540 | Cây xăng Lộc Giáp ranh xã Lộc
P=2049 | X=0090.500-0189.030 | Y=0313.060-0324.300 | 16 Đường Quốc 1ộ 13
P=2049 | X=0388.220-0404.860 | Y=0314.940-0324.260 | 168
P=2049 | X=0429.290-0445.930 | Y=0314.940-0324.260 | 134
P=2049 | X=0470.090-0486.730 | Y=0314.940-0324.260 | 108
P=2049 | X=0511.150-0522.270 | Y=0314.940-0324.260 | 44
P=2049 | X=0288.580-0328.170 | Y=0318.820-0330.060 | Thái (cũ)
P=2049 | X=0222.310-0242.870 | Y=0320.700-0330.020 | Phát
P=2049 | X=0222.310-0279.790 | Y=0336.820-0348.060 | Ngã tư Đồng
P=2049 | X=0090.500-0170.050 | Y=0342.580-0353.820 | 17 Đường ĐT 754
P=2049 | X=0288.580-0328.520 | Y=0344.460-0353.780 | Cầu số 1
P=2049 | X=0388.220-0404.860 | Y=0344.460-0353.780 | 168
P=2049 | X=0429.290-0445.930 | Y=0344.460-0353.780 | 134
P=2049 | X=0470.090-0486.730 | Y=0344.460-0353.780 | 108
P=2049 | X=0511.150-0522.270 | Y=0344.460-0353.780 | 44
P=2049 | X=0222.310-0242.220 | Y=0350.220-0359.540 | Tâm
P=2049 | X=0288.580-0364.940 | Y=0368.240-0377.560 | Giáp ranh xã Lộc
P=2049 | X=0090.500-0170.050 | Y=0372.120-0383.360 | 18 Đường ĐT 754
P=2049 | X=0222.310-0262.260 | Y=0374.000-0383.320 | Cầu số 1
P=2049 | X=0388.220-0404.860 | Y=0374.000-0383.320 | 168
P=2049 | X=0429.290-0445.930 | Y=0374.000-0383.320 | 134
P=2049 | X=0470.090-0486.730 | Y=0374.000-0383.320 | 108
P=2049 | X=0511.150-0522.270 | Y=0374.000-0383.320 | 44
P=2049 | X=0288.580-0333.730 | Y=0377.880-0389.120 | Thịnh (cũ)
P=2049 | X=0102.770-0284.300 | Y=0395.880-0407.120 | Đường liên xã Lộc Hưng - Ngã ba Giáng
P=2049 | X=0090.500-0101.620 | Y=0403.520-0412.840 | 19
P=2049 | X=0288.580-0364.280 | Y=0403.520-0412.840 | Cống Bảy Phụng
P=2049 | X=0388.220-0404.860 | Y=0403.520-0412.840 | 112
P=2049 | X=0435.050-0446.170 | Y=0403.520-0412.840 | 90
P=2049 | X=0475.850-0486.970 | Y=0403.520-0412.840 | 72
P=2049 | X=0511.150-0522.270 | Y=0403.520-0412.840 | 44
P=2049 | X=0222.310-0254.060 | Y=0407.400-0418.640 | Hương
P=2049 | X=0102.770-0150.130 | Y=0409.280-0418.600 | Lộc Thành
P=2049 | X=0102.770-0266.260 | Y=0425.400-0436.640 | Đường liên xã Lộc Hưng - Cống Bảy
P=2049 | X=0288.580-0364.940 | Y=0427.280-0436.600 | Giáp ranh xã Lộc
P=2049 | X=0090.500-0101.620 | Y=0433.040-0442.360 | 20
P=2049 | X=0388.220-0404.860 | Y=0433.040-0442.360 | 112
P=2049 | X=0435.050-0446.170 | Y=0433.040-0442.360 | 90
P=2049 | X=0475.850-0486.970 | Y=0433.040-0442.360 | 72
P=2049 | X=0511.150-0522.270 | Y=0433.040-0442.360 | 44
P=2049 | X=0102.770-0150.130 | Y=0438.800-0448.120 | Lộc Thành
P=2049 | X=0222.310-0251.220 | Y=0438.800-0448.120 | Phụng
P=2049 | X=0288.580-0316.990 | Y=0438.800-0448.120 | Thành
P=2049 | X=0288.580-0355.410 | Y=0454.940-0466.180 | Ngã ba Đường
P=2049 | X=0102.770-0348.760 | Y=0466.220-0477.460 | Đường liên xã Lộc Hưng - Đường Quốc vào ấp 7 (Hết
P=2049 | X=0090.500-0101.620 | Y=0473.860-0483.180 | 21
P=2049 | X=0388.220-0404.860 | Y=0473.860-0483.180 | 112
P=2049 | X=0435.050-0446.170 | Y=0473.860-0483.180 | 90
P=2049 | X=0475.850-0486.970 | Y=0473.860-0483.180 | 72
P=2049 | X=0511.150-0522.270 | Y=0473.860-0483.180 | 44
P=2049 | X=0102.770-0161.310 | Y=0477.740-0488.980 | Lộc Thái (cũ)
P=2049 | X=0288.580-0357.570 | Y=0477.740-0488.980 | ranh nhà bà Đỗ
P=2049 | X=0222.310-0244.260 | Y=0479.620-0488.940 | lộ 13
P=2049 | X=0288.580-0332.540 | Y=0491.140-0500.460 | Thị Dung)
P=2049 | X=0222.310-0254.560 | Y=0509.140-0518.460 | Ngã ba
P=2049 | X=0222.310-0286.980 | Y=0518.780-0530.020 | Đường vào ấp
P=2049 | X=0102.770-0219.190 | Y=0524.540-0535.780 | Đường liên xã Lộc Hưng -
P=2049 | X=0288.580-0364.940 | Y=0526.420-0535.740 | Giáp ranh xã Lộc
P=2049 | X=0090.500-0101.620 | Y=0532.180-0541.500 | 22
P=2049 | X=0222.310-0275.950 | Y=0532.180-0541.500 | 7 (giáp ranh
P=2049 | X=0388.220-0404.860 | Y=0532.180-0541.500 | 112
P=2049 | X=0435.050-0446.170 | Y=0532.180-0541.500 | 90
P=2049 | X=0475.850-0486.970 | Y=0532.180-0541.500 | 72
P=2049 | X=0511.150-0522.270 | Y=0532.180-0541.500 | 44
P=2049 | X=0102.770-0163.470 | Y=0536.090-0547.330 | Lộc Thái (Cũ)
P=2049 | X=0288.580-0328.170 | Y=0536.090-0547.330 | Thái (cũ)
P=2049 | X=0222.310-0285.300 | Y=0541.850-0553.090 | nhà bà Đỗ Thị
P=2049 | X=0222.310-0249.450 | Y=0555.250-0564.570 | Dung)
P=2049 | X=0102.770-0279.790 | Y=0571.370-0582.610 | Đường liên xã Lộc Hưng - Ngã tư Đồng
P=2049 | X=0090.500-0101.620 | Y=0579.010-0588.330 | 23
P=2049 | X=0288.580-0338.340 | Y=0579.010-0588.330 | Cầu Suối 1
P=2049 | X=0388.220-0404.860 | Y=0579.010-0588.330 | 112
P=2049 | X=0435.050-0446.170 | Y=0579.010-0588.330 | 90
P=2049 | X=0475.850-0486.970 | Y=0579.010-0588.330 | 72
P=2049 | X=0511.150-0522.270 | Y=0579.010-0588.330 | 44
P=2049 | X=0102.770-0170.680 | Y=0582.890-0594.130 | Lộc Khánh (cũ)
P=2049 | X=0222.310-0242.220 | Y=0584.770-0594.090 | Tám
P=2049 | X=0102.770-0219.190 | Y=0600.890-0612.130 | Đường liên xã Lộc Hưng -
P=2049 | X=0288.580-0364.940 | Y=0602.770-0612.090 | Giáp ranh xã Lộc
P=2049 | X=0090.500-0101.620 | Y=0608.530-0617.850 | 24
P=2049 | X=0222.310-0272.080 | Y=0608.530-0617.850 | Cầu Suối 1
P=2049 | X=0388.220-0404.860 | Y=0608.530-0617.850 | 112
P=2049 | X=0435.050-0446.170 | Y=0608.530-0617.850 | 90
P=2049 | X=0475.850-0486.970 | Y=0608.530-0617.850 | 72
