TABLE=081 | AREA=Xã Bù Đăng | SECTION=agricultural | SEGMENTS=1
--- PAGES=2081-2089 | LINES=1098 | HEADING=81. Xã Bù Đăng ---
P=2081 | X=0090.020-0162.870 | Y=0325.060-0336.300 | 81. Xã Bù Đăng
P=2081 | X=0279.940-0340.600 | Y=0343.060-0354.300 | Đoạn đường
P=2081 | X=0411.980-0490.080 | Y=0344.940-0354.260 | Giá Giá Giá
P=2081 | X=0501.310-0517.700 | Y=0350.700-0360.020 | Giá
P=2081 | X=0412.700-0427.850 | Y=0354.580-0365.820 | đất
P=2081 | X=0443.450-0458.570 | Y=0354.580-0365.820 | đất
P=2081 | X=0474.170-0489.310 | Y=0354.580-0365.820 | đất
P=2081 | X=0502.030-0517.150 | Y=0360.340-0371.580 | đất
P=2081 | X=0407.420-0492.550 | Y=0368.000-0377.320 | trồng trồng nuôi
P=2081 | X=0092.180-0214.480 | Y=0371.880-0383.120 | TT Tên đường giao thông
P=2081 | X=0497.710-0521.150 | Y=0373.760-0383.080 | rừng
P=2081 | X=0411.980-0494.490 | Y=0379.520-0388.840 | cây cây trồng
P=2081 | X=0243.460-0288.740 | Y=0380.760-0392.000 | Điểm đầu
P=2081 | X=0336.840-0384.780 | Y=0380.760-0392.000 | Điểm cuối
P=2081 | X=0500.830-0518.030 | Y=0385.280-0394.600 | sản
P=2081 | X=0412.940-0492.510 | Y=0391.040-0400.360 | lâu hàng thủy
P=2081 | X=0499.150-0519.790 | Y=0396.800-0406.120 | xuất
P=2081 | X=0409.820-0490.430 | Y=0400.680-0411.920 | năm năm sản
P=2081 | X=0316.920-0404.140 | Y=0418.920-0430.160 | Ngã ba Vườn chuối
P=2081 | X=0095.570-0190.230 | Y=0424.680-0435.920 | 1 Đường Quốc lộ 14
P=2081 | X=0215.350-0294.420 | Y=0424.680-0435.920 | Ranh xã Thọ Sơn
P=2081 | X=0418.460-0435.100 | Y=0426.560-0435.880 | 182
P=2081 | X=0449.690-0466.330 | Y=0426.560-0435.880 | 146
P=2081 | X=0479.690-0496.330 | Y=0426.560-0435.880 | 116
P=2081 | X=0511.150-0522.270 | Y=0426.560-0435.880 | 32
P=2081 | X=0316.920-0369.320 | Y=0430.200-0441.440 | đi Đồng Nai
P=2081 | X=0215.350-0389.480 | Y=0448.200-0459.440 | Ngã ba Vườn chuối đi Ngã ba Nhà văn
P=2081 | X=0095.570-0190.230 | Y=0453.980-0465.220 | 2 Đường Quốc lộ 14
P=2081 | X=0418.460-0435.100 | Y=0455.860-0465.180 | 182
P=2081 | X=0449.690-0466.330 | Y=0455.860-0465.180 | 146
P=2081 | X=0479.690-0496.330 | Y=0455.860-0465.180 | 116
P=2081 | X=0511.150-0522.270 | Y=0455.860-0465.180 | 32
P=2081 | X=0215.350-0256.980 | Y=0459.740-0470.980 | Đồng Nai
P=2081 | X=0316.920-0364.280 | Y=0461.620-0470.940 | hóa thôn 2
P=2081 | X=0215.350-0391.580 | Y=0477.740-0488.980 | Ngã ba Nhà văn hóa Ranh Đoàn Kết -
P=2081 | X=0095.570-0190.230 | Y=0483.500-0494.740 | 3 Đường Quốc lộ 14
P=2081 | X=0418.460-0435.100 | Y=0485.380-0494.700 | 182
P=2081 | X=0449.690-0466.330 | Y=0485.380-0494.700 | 146
P=2081 | X=0479.690-0496.330 | Y=0485.380-0494.700 | 116
P=2081 | X=0511.150-0522.270 | Y=0485.380-0494.700 | 32
P=2081 | X=0316.920-0387.710 | Y=0489.260-0500.500 | Đức Phong (cũ)
P=2081 | X=0215.350-0243.270 | Y=0491.140-0500.460 | thôn 2
P=2081 | X=0316.920-0402.220 | Y=0509.140-0518.460 | Phía Bắc: Hết thửa
P=2081 | X=0316.920-0392.620 | Y=0518.780-0530.020 | đất số 90, tờ bản
P=2081 | X=0215.350-0349.640 | Y=0530.300-0544.690 | Ranh Đoàn Kết - Đức đồ số 3
