TABLE=083 | AREA=Xã Đắk Nhau | SECTION=agricultural | SEGMENTS=1
--- PAGES=2092-2095 | LINES=399 | HEADING=83. Xã Đắk Nhau ---
P=2092 | X=0090.020-0167.960 | Y=0530.060-0541.300 | 83. Xã Đắk Nhau
P=2092 | X=0249.700-0310.360 | Y=0548.090-0559.330 | Đoạn đường
P=2092 | X=0403.100-0437.210 | Y=0548.090-0559.330 | Giá đất
P=2092 | X=0360.380-0394.460 | Y=0553.850-0565.090 | Giá đất
P=2092 | X=0446.570-0521.460 | Y=0553.850-0565.090 | Giá đất Giá Đất
P=2092 | X=0407.420-0433.050 | Y=0561.490-0570.810 | trồng
P=2092 | X=0114.530-0191.220 | Y=0565.370-0576.610 | Tên đường giao
P=2092 | X=0364.700-0390.300 | Y=0567.250-0576.570 | trồng
P=2092 | X=0453.050-0474.310 | Y=0567.250-0576.570 | nuôi
P=2092 | X=0491.950-0515.390 | Y=0567.250-0576.570 | rừng
P=2092 | X=0090.020-0102.420 | Y=0573.010-0582.330 | TT
P=2092 | X=0411.980-0428.620 | Y=0573.010-0582.330 | cây
P=2092 | X=0139.010-0166.980 | Y=0578.770-0588.090 | thông
P=2092 | X=0360.380-0394.380 | Y=0578.770-0588.090 | cây lâu
P=2092 | X=0450.650-0476.250 | Y=0578.770-0588.090 | trồng
P=2092 | X=0495.070-0512.270 | Y=0578.770-0588.090 | sản
P=2092 | X=0223.030-0268.340 | Y=0580.010-0591.250 | Điểm đầu
P=2092 | X=0298.200-0346.120 | Y=0580.010-0591.250 | Điểm cuối
P=2092 | X=0408.140-0432.320 | Y=0584.530-0593.850 | hằng
P=2092 | X=0367.100-0387.810 | Y=0588.410-0599.650 | năm
P=2092 | X=0442.970-0514.030 | Y=0590.290-0599.610 | thủy sản xuất
P=2092 | X=0409.820-0430.530 | Y=0594.170-0605.410 | năm
P=2092 | X=0287.860-0355.400 | Y=0614.290-0623.610 | Giáp ranh thửa
P=2092 | X=0203.830-0284.450 | Y=0620.070-0629.390 | Giáp ranh xã Bom
P=2092 | X=0093.380-0170.050 | Y=0623.950-0635.190 | 1 Đường ĐT 760
P=2092 | X=0287.860-0353.010 | Y=0623.950-0635.190 | 204, tờ bản đồ
P=2092 | X=0381.500-0398.140 | Y=0625.830-0635.150 | 156
P=2092 | X=0424.970-0441.610 | Y=0625.830-0635.150 | 125
P=2092 | X=0468.170-0484.810 | Y=0625.830-0635.150 | 100
P=2092 | X=0511.150-0522.270 | Y=0625.830-0635.150 | 32
P=2092 | X=0203.830-0216.150 | Y=0631.590-0640.910 | Bo
P=2092 | X=0287.860-0312.200 | Y=0637.350-0646.670 | số 79
P=2092 | X=0203.830-0271.380 | Y=0655.350-0664.670 | Giáp ranh thửa
P=2092 | X=0287.860-0346.530 | Y=0655.350-0664.670 | Hết ranh cửa
P=2092 | X=0093.380-0170.050 | Y=0664.750-0675.990 | 2 Đường ĐT 760
P=2092 | X=0203.830-0356.360 | Y=0664.750-0675.990 | 204, tờ bản đồ số hàng điện thoại
P=2092 | X=0381.500-0398.140 | Y=0666.630-0675.950 | 156
P=2092 | X=0424.970-0441.610 | Y=0666.630-0675.950 | 125
P=2092 | X=0468.170-0484.810 | Y=0666.630-0675.950 | 100
P=2092 | X=0511.150-0522.270 | Y=0666.630-0675.950 | 32
P=2092 | X=0287.860-0333.060 | Y=0676.270-0687.510 | Ngọc Sơn
P=2092 | X=0203.830-0214.950 | Y=0678.150-0687.470 | 79
P=2092 | X=0203.830-0350.820 | Y=0696.150-0705.470 | Hết ranh cửa hàng Ngã ba thôn 2
P=2092 | X=0093.380-0170.050 | Y=0700.050-0711.290 | 3 Đường ĐT 760
P=2092 | X=0381.500-0398.140 | Y=0701.940-0711.260 | 156
P=2092 | X=0424.970-0441.610 | Y=0701.940-0711.260 | 125
P=2092 | X=0468.170-0484.810 | Y=0701.940-0711.260 | 100
P=2092 | X=0511.150-0522.270 | Y=0701.940-0711.260 | 32
P=2092 | X=0203.830-0326.560 | Y=0705.810-0717.050 | điện thoại Ngọc đi thôn 5
P=2093 | X=0203.830-0222.860 | Y=0072.740-0083.980 | Sơn
P=2093 | X=0203.830-0271.630 | Y=0092.620-0101.940 | Ngã ba chuồng
P=2093 | X=0093.380-0176.690 | Y=0096.500-0107.740 | 4 Đường ĐT 760B
P=2093 | X=0287.860-0346.750 | Y=0098.380-0107.700 | Ngã ba Nùng
P=2093 | X=0387.260-0398.380 | Y=0098.380-0107.700 | 98
P=2093 | X=0430.730-0441.850 | Y=0098.380-0107.700 | 78
P=2093 | X=0473.930-0485.050 | Y=0098.380-0107.700 | 62
P=2093 | X=0511.150-0522.270 | Y=0098.380-0107.700 | 32
P=2093 | X=0203.830-0221.190 | Y=0104.140-0113.460 | trâu
P=2093 | X=0102.770-0176.690 | Y=0120.290-0131.530 | Đường ĐT 760B
P=2093 | X=0203.830-0346.510 | Y=0120.290-0131.530 | Thửa đất số 20, tờ Hết cây xăng
P=2093 | X=0093.380-0098.980 | Y=0127.930-0137.250 | 5
P=2093 | X=0387.260-0398.380 | Y=0127.930-0137.250 | 98
P=2093 | X=0430.730-0441.850 | Y=0127.930-0137.250 | 78
P=2093 | X=0473.930-0485.050 | Y=0127.930-0137.250 | 62
P=2093 | X=0511.150-0522.270 | Y=0127.930-0137.250 | 32
P=2093 | X=0203.830-0261.540 | Y=0131.810-0143.050 | bản đồ số 25
P=2093 | X=0102.770-0127.810 | Y=0133.690-0143.010 | Nhựa
P=2093 | X=0287.860-0346.290 | Y=0133.690-0143.010 | Chung Chiều
P=2093 | X=0287.860-0343.730 | Y=0149.810-0161.050 | Hết thửa đất
P=2093 | X=0102.770-0150.690 | Y=0152.450-0163.690 | Đường ĐT
P=2093 | X=0203.830-0262.460 | Y=0155.570-0166.810 | Hết cây xăng
P=2093 | X=0093.380-0098.980 | Y=0163.210-0172.530 | 6
P=2093 | X=0287.860-0347.000 | Y=0163.210-0172.530 | số 14, tờ bản
P=2093 | X=0387.260-0398.380 | Y=0163.210-0172.530 | 98
P=2093 | X=0430.730-0441.850 | Y=0163.210-0172.530 | 78
P=2093 | X=0473.930-0485.050 | Y=0163.210-0172.530 | 62
P=2093 | X=0511.150-0522.270 | Y=0163.210-0172.530 | 32
P=2093 | X=0203.830-0262.270 | Y=0168.970-0178.290 | Chung Chiều
P=2093 | X=0102.770-0153.980 | Y=0171.850-0181.170 | 760B Nhựa
P=2093 | X=0287.860-0320.600 | Y=0172.850-0184.090 | đồ số 9
P=2093 | X=0102.770-0189.380 | Y=0190.850-0202.090 | Đường liên xã Bom
P=2093 | X=0203.830-0284.450 | Y=0192.730-0202.050 | Giáp ranh xã Bom
P=2093 | X=0093.380-0098.980 | Y=0198.490-0207.810 | 7
