TABLE=088 | AREA=Xã Đắk Ơ | SECTION=agricultural | SEGMENTS=1
--- PAGES=2113-2115 | LINES=255 | HEADING=88. Xã Đắk Ơ ---
P=2113 | X=0090.020-0151.690 | Y=0489.020-0500.260 | 88. Xã Đắk Ơ
P=2113 | X=0243.940-0304.600 | Y=0507.020-0518.260 | Đoạn đường
P=2113 | X=0411.500-0513.380 | Y=0507.020-0518.260 | Giá đất Giá đất Giá
P=2113 | X=0372.620-0406.700 | Y=0512.780-0524.020 | Giá đất
P=2113 | X=0497.230-0513.310 | Y=0518.540-0529.780 | Đất
P=2113 | X=0415.820-0441.450 | Y=0520.420-0529.740 | trồng
P=2113 | X=0457.850-0479.110 | Y=0520.420-0529.740 | nuôi
P=2113 | X=0113.570-0166.990 | Y=0524.300-0535.540 | Tên đường
P=2113 | X=0376.700-0402.300 | Y=0526.180-0535.500 | trồng
P=2113 | X=0090.020-0102.420 | Y=0531.940-0541.260 | TT
P=2113 | X=0420.410-0437.050 | Y=0531.940-0541.260 | cây
P=2113 | X=0455.690-0516.830 | Y=0531.940-0541.260 | trồng rừng
P=2113 | X=0114.770-0166.020 | Y=0537.730-0547.050 | giao thông
P=2113 | X=0372.620-0406.620 | Y=0537.730-0547.050 | cây lâu
P=2113 | X=0213.910-0259.220 | Y=0539.210-0550.450 | Điểm đầu
P=2113 | X=0308.760-0356.680 | Y=0539.210-0550.450 | Điểm cuối
P=2113 | X=0416.540-0440.720 | Y=0543.490-0552.810 | hằng
P=2113 | X=0457.850-0479.290 | Y=0543.490-0552.810 | thủy
P=2113 | X=0496.510-0513.710 | Y=0543.490-0552.810 | sản
P=2113 | X=0379.340-0400.050 | Y=0547.370-0558.610 | năm
P=2113 | X=0418.220-0438.930 | Y=0553.130-0564.370 | năm
P=2113 | X=0459.770-0476.970 | Y=0555.010-0564.330 | sản
P=2113 | X=0494.830-0515.470 | Y=0555.010-0564.330 | xuất
P=2113 | X=0295.080-0357.090 | Y=0573.250-0582.570 | Hết ranh thửa
P=2113 | X=0178.390-0362.620 | Y=0582.890-0594.130 | Giáp ranh xã Phú Nghĩa - đất số 72, thửa
P=2113 | X=0093.380-0170.050 | Y=0588.650-0599.890 | 1 Đường ĐT 741
P=2113 | X=0391.820-0408.460 | Y=0590.530-0599.850 | 252
P=2113 | X=0431.450-0448.090 | Y=0590.530-0599.850 | 202
P=2113 | X=0471.290-0487.930 | Y=0590.530-0599.850 | 161
P=2113 | X=0511.150-0522.270 | Y=0590.530-0599.850 | 49
P=2113 | X=0178.390-0221.100 | Y=0594.410-0605.650 | xã Đắk Ơ
P=2113 | X=0295.080-0363.500 | Y=0594.410-0605.650 | đất số 55 thuộc
P=2113 | X=0295.080-0365.000 | Y=0605.930-0617.170 | tờ bản đồ số 47
P=2113 | X=0295.080-0357.090 | Y=0625.830-0635.150 | Hết ranh thửa
P=2113 | X=0295.080-0356.900 | Y=0635.470-0646.710 | đất số 137, tờ
P=2113 | X=0178.390-0286.830 | Y=0641.230-0652.470 | Hết ranh thửa đất số 72,
P=2113 | X=0295.080-0352.760 | Y=0646.750-0657.990 | bản đồ số 44
P=2113 | X=0093.380-0282.470 | Y=0652.510-0663.750 | 2 Đường ĐT 741 thửa đất số 55 thuộc tờ
P=2113 | X=0391.820-0408.460 | Y=0654.390-0663.710 | 252
P=2113 | X=0431.450-0448.090 | Y=0654.390-0663.710 | 202
P=2113 | X=0471.290-0487.930 | Y=0654.390-0663.710 | 161
P=2113 | X=0511.150-0522.270 | Y=0654.390-0663.710 | 49
P=2113 | X=0295.080-0365.260 | Y=0658.270-0669.510 | đến thửa đất số
P=2113 | X=0178.390-0236.100 | Y=0664.030-0675.270 | bản đồ số 47
P=2113 | X=0295.080-0360.230 | Y=0669.790-0681.030 | 477, tờ bản đồ
P=2113 | X=0295.080-0319.400 | Y=0683.190-0692.510 | số 48
P=2113 | X=0093.380-0357.090 | Y=0699.310-0710.550 | 3 Đường ĐT 741 Hết ranh thửa đất số 137, Hết ranh thửa
P=2113 | X=0391.820-0408.460 | Y=0701.190-0710.510 | 252
P=2113 | X=0431.450-0448.090 | Y=0701.190-0710.510 | 202
P=2113 | X=0471.290-0487.930 | Y=0701.190-0710.510 | 161
P=2113 | X=0511.150-0522.270 | Y=0701.190-0710.510 | 49
P=2114 | X=0178.390-0362.620 | Y=0072.740-0083.980 | tờ bản đồ số 44 đến thửa đất số 57, thửa
P=2114 | X=0178.390-0363.500 | Y=0084.260-0095.500 | đất số 477, tờ bản đồ số đất số 51 thuộc
P=2114 | X=0295.080-0365.000 | Y=0095.780-0107.020 | tờ bản đồ số 62
P=2114 | X=0178.390-0189.510 | Y=0097.660-0106.980 | 48
P=2114 | X=0178.390-0286.830 | Y=0113.780-0125.020 | Hết ranh thửa đất số 57,
P=2114 | X=0295.080-0350.680 | Y=0119.570-0130.810 | Trường học,
