TABLE=091 | AREA=Xã Bù Gia Mập | SECTION=agricultural | SEGMENTS=1
--- PAGES=2127-2128 | LINES=188 | HEADING=91. Xã Bù Gia Mập ---
P=2127 | X=0090.020-0176.870 | Y=0367.520-0376.840 | 91. Xã Bù Gia Mập
P=2127 | X=0226.180-0286.820 | Y=0383.640-0394.880 | Đoạn đường
P=2127 | X=0352.200-0520.500 | Y=0383.640-0394.880 | Giá đất Giá đất Giá đất Giá Đất
P=2127 | X=0107.330-0160.750 | Y=0395.160-0406.400 | Tên đường
P=2127 | X=0356.540-0470.950 | Y=0397.040-0406.360 | trồng trồng cây nuôi
P=2127 | X=0490.990-0514.430 | Y=0397.040-0406.360 | rừng
P=2127 | X=0090.020-0102.420 | Y=0402.800-0412.120 | TT
P=2127 | X=0108.530-0159.780 | Y=0408.560-0417.880 | giao thông
P=2127 | X=0352.200-0386.220 | Y=0408.560-0417.880 | cây lâu
P=2127 | X=0402.380-0426.530 | Y=0408.560-0417.880 | hằng
P=2127 | X=0447.530-0473.130 | Y=0408.560-0417.880 | trồng
P=2127 | X=0494.110-0511.310 | Y=0408.560-0417.880 | sản
P=2127 | X=0189.190-0234.500 | Y=0409.800-0421.040 | Điểm đầu
P=2127 | X=0278.500-0326.440 | Y=0409.800-0421.040 | Điểm cuối
P=2127 | X=0358.940-0379.650 | Y=0417.960-0429.200 | năm
P=2127 | X=0404.060-0513.070 | Y=0417.960-0429.200 | năm thủy sản xuất
P=2127 | X=0102.770-0150.690 | Y=0436.200-0447.440 | Đường ĐT
P=2127 | X=0257.860-0342.840 | Y=0438.080-0447.400 | Giáp ranh tỉnh Lâm
P=2127 | X=0166.150-0255.460 | Y=0441.960-0453.200 | Giáp ranh xã Đắk Ơ
P=2127 | X=0093.380-0098.980 | Y=0443.840-0453.160 | 1
P=2127 | X=0374.540-0391.180 | Y=0443.840-0453.160 | 100
P=2127 | X=0426.170-0437.290 | Y=0443.840-0453.160 | 90
P=2127 | X=0472.010-0483.130 | Y=0443.840-0453.160 | 72
P=2127 | X=0511.150-0522.270 | Y=0443.840-0453.160 | 49
P=2127 | X=0257.860-0281.700 | Y=0447.720-0458.960 | Đồng
P=2127 | X=0102.770-0119.410 | Y=0449.600-0458.920 | 741
P=2127 | X=0102.770-0147.970 | Y=0467.620-0476.940 | Các tuyến
P=2127 | X=0166.150-0244.270 | Y=0471.500-0482.740 | Các tuyến đường
P=2127 | X=0102.770-0158.530 | Y=0477.260-0488.500 | đường trung
P=2127 | X=0093.380-0098.980 | Y=0484.900-0494.220 | 2
P=2127 | X=0166.150-0255.520 | Y=0484.900-0494.220 | nội bộ Trung tâm xã
P=2127 | X=0374.540-0391.180 | Y=0484.900-0494.220 | 100
P=2127 | X=0426.170-0437.290 | Y=0484.900-0494.220 | 90
P=2127 | X=0472.010-0483.130 | Y=0484.900-0494.220 | 72
P=2127 | X=0511.150-0522.270 | Y=0484.900-0494.220 | 49
P=2127 | X=0102.770-0147.960 | Y=0490.660-0499.980 | tâm xã Bù
P=2127 | X=0166.150-0219.280 | Y=0496.420-0505.740 | Bù Gia Mập
P=2127 | X=0102.770-0140.780 | Y=0502.180-0511.500 | Gia Mập
P=2127 | X=0102.770-0147.970 | Y=0520.180-0529.500 | Các tuyến
P=2127 | X=0166.150-0243.510 | Y=0520.180-0529.500 | Hết ranh nhà ông
P=2127 | X=0257.860-0323.470 | Y=0520.180-0529.500 | Ngã ba nhà bà
P=2127 | X=0102.770-0158.530 | Y=0529.820-0541.060 | đường trang
P=2127 | X=0166.150-0231.750 | Y=0529.820-0541.060 | Chu Văn Dũng
P=2127 | X=0257.860-0346.530 | Y=0529.820-0541.060 | Đặng Thị Hon (thửa
P=2127 | X=0093.380-0098.980 | Y=0537.490-0546.810 | 3
P=2127 | X=0374.540-0391.180 | Y=0537.490-0546.810 | 100
P=2127 | X=0426.170-0437.290 | Y=0537.490-0546.810 | 90
P=2127 | X=0472.010-0483.130 | Y=0537.490-0546.810 | 72
P=2127 | X=0511.150-0522.270 | Y=0537.490-0546.810 | 49
P=2127 | X=0166.150-0249.110 | Y=0541.370-0552.610 | (thửa đất số 62, tờ
P=2127 | X=0257.860-0339.080 | Y=0541.370-0552.610 | đất số 208, tờ bản
P=2127 | X=0102.770-0147.960 | Y=0543.250-0552.570 | tâm xã Bù
P=2127 | X=0166.150-0227.110 | Y=0552.890-0564.130 | bản đồ số 45)
P=2127 | X=0257.860-0299.380 | Y=0552.890-0564.130 | đồ số 28)
P=2127 | X=0102.770-0140.780 | Y=0554.770-0564.090 | Gia Mập
P=2127 | X=0257.860-0335.220 | Y=0572.770-0582.090 | Hết ranh nhà ông
P=2127 | X=0102.770-0150.690 | Y=0582.410-0593.650 | Đường ĐT
P=2127 | X=0166.150-0239.190 | Y=0584.290-0593.610 | Ngã ba tiếp giáp
P=2127 | X=0257.860-0335.960 | Y=0584.290-0593.610 | Phạm Ngọc Thảo
P=2127 | X=0093.380-0098.980 | Y=0590.050-0599.370 | 4
P=2127 | X=0374.540-0391.180 | Y=0590.050-0599.370 | 100
P=2127 | X=0426.170-0437.290 | Y=0590.050-0599.370 | 90
P=2127 | X=0472.010-0483.130 | Y=0590.050-0599.370 | 72
P=2127 | X=0511.150-0522.270 | Y=0590.050-0599.370 | 49
P=2127 | X=0166.150-0231.750 | Y=0593.930-0605.170 | đường ĐT 741
P=2127 | X=0257.860-0340.810 | Y=0593.930-0605.170 | (thửa đất số 03, tờ
P=2127 | X=0102.770-0126.050 | Y=0595.810-0605.130 | 760B
P=2127 | X=0257.860-0318.840 | Y=0605.450-0616.690 | bản đồ số 28)
P=2127 | X=0166.150-0243.510 | Y=0625.350-0634.670 | Hết ranh nhà ông
P=2127 | X=0257.860-0323.010 | Y=0631.110-0640.430 | Hết ranh Cổng
P=2127 | X=0102.770-0150.690 | Y=0634.750-0645.990 | Đường ĐT
P=2127 | X=0166.150-0244.260 | Y=0636.630-0645.950 | Phạm Ngọc Thảo
P=2127 | X=0257.860-0339.790 | Y=0640.510-0651.750 | vườn Quốc gia Bù
P=2127 | X=0093.380-0098.980 | Y=0642.390-0651.710 | 5
P=2127 | X=0374.540-0391.180 | Y=0642.390-0651.710 | 100
P=2127 | X=0426.170-0437.290 | Y=0642.390-0651.710 | 90
P=2127 | X=0472.010-0483.130 | Y=0642.390-0651.710 | 72
P=2127 | X=0511.150-0522.270 | Y=0642.390-0651.710 | 49
P=2127 | X=0166.150-0249.110 | Y=0646.270-0657.510 | (thửa đất số 03, tờ
P=2127 | X=0102.770-0126.050 | Y=0648.150-0657.470 | 760B
P=2127 | X=0257.860-0295.890 | Y=0653.910-0663.230 | Gia Mập
P=2127 | X=0166.150-0227.110 | Y=0657.790-0669.030 | bản đồ số 28)
P=2127 | X=0257.860-0332.600 | Y=0675.790-0687.030 | Hết ranh đất nhà
P=2127 | X=0166.150-0231.280 | Y=0677.670-0686.990 | Hết ranh Cổng
P=2127 | X=0102.770-0150.690 | Y=0681.550-0692.790 | Đường ĐT
P=2127 | X=0166.150-0326.370 | Y=0687.310-0698.550 | vườn Quốc gia Bù Ông Điều Khên
P=2127 | X=0093.380-0098.980 | Y=0689.190-0698.510 | 6
P=2127 | X=0374.540-0391.180 | Y=0689.190-0698.510 | 100
P=2127 | X=0426.170-0437.290 | Y=0689.190-0698.510 | 90
P=2127 | X=0472.010-0483.130 | Y=0689.190-0698.510 | 72
P=2127 | X=0511.150-0522.270 | Y=0689.190-0698.510 | 49
P=2127 | X=0102.770-0126.050 | Y=0694.950-0704.270 | 760B
P=2127 | X=0257.860-0340.810 | Y=0698.830-0710.070 | (thửa đất số 62, tờ
P=2127 | X=0166.150-0204.160 | Y=0700.710-0710.030 | Gia Mập
P=2128 | X=0257.860-0318.840 | Y=0072.740-0083.980 | bản đồ số 28)
P=2128 | X=0166.150-0338.610 | Y=0090.740-0101.980 | Hết ranh nhà ông Đến nhà ông Điểu
P=2128 | X=0102.770-0150.690 | Y=0102.260-0113.500 | Đường ĐT
P=2128 | X=0166.150-0341.240 | Y=0102.260-0113.500 | Điểu Khên (thửa đất Thơm (thửa đất số
P=2128 | X=0093.380-0098.980 | Y=0109.900-0119.220 | 7
P=2128 | X=0374.540-0391.180 | Y=0109.900-0119.220 | 100
P=2128 | X=0426.170-0437.290 | Y=0109.900-0119.220 | 90
P=2128 | X=0472.010-0483.130 | Y=0109.900-0119.220 | 72
P=2128 | X=0511.150-0522.270 | Y=0109.900-0119.220 | 49
P=2128 | X=0166.150-0330.680 | Y=0113.780-0125.020 | số 62, tờ bản đồ số 83, tờ bản đồ số
P=2128 | X=0102.770-0126.050 | Y=0115.660-0124.980 | 760B
P=2128 | X=0166.150-0180.550 | Y=0127.210-0136.530 | 28)
P=2128 | X=0257.860-0272.260 | Y=0127.210-0136.530 | 35)
P=2128 | X=0257.860-0332.600 | Y=0143.330-0154.570 | Hết ranh đất nhà
