TABLE=093 | AREA=Xã Phú Trung | SECTION=agricultural | SEGMENTS=1
--- PAGES=2133-2135 | LINES=310 | HEADING=93. Xã Phú Trung ---
P=2133 | X=0090.020-0171.740 | Y=0151.450-0160.770 | 93. Xã Phú Trung
P=2133 | X=0266.020-0326.680 | Y=0167.570-0178.810 | Đoạn đường
P=2133 | X=0441.050-0475.130 | Y=0167.570-0178.810 | Giá đất
P=2133 | X=0398.300-0432.410 | Y=0173.330-0184.570 | Giá đất
P=2133 | X=0484.030-0518.110 | Y=0173.330-0184.570 | Giá đất
P=2133 | X=0445.130-0470.730 | Y=0180.970-0190.290 | trồng
P=2133 | X=0111.650-0188.340 | Y=0184.850-0196.090 | Tên đường giao
P=2133 | X=0402.620-0428.220 | Y=0186.730-0196.050 | trồng
P=2133 | X=0490.510-0511.770 | Y=0186.730-0196.050 | nuôi
P=2133 | X=0090.020-0102.420 | Y=0192.490-0201.810 | TT
P=2133 | X=0449.690-0466.330 | Y=0192.490-0201.810 | cây
P=2133 | X=0136.130-0164.100 | Y=0198.250-0207.570 | thông
P=2133 | X=0398.300-0432.300 | Y=0198.250-0207.570 | cây lâu
P=2133 | X=0488.110-0513.710 | Y=0198.250-0207.570 | trồng
P=2133 | X=0221.590-0266.900 | Y=0199.510-0210.750 | Điểm đầu
P=2133 | X=0318.600-0366.540 | Y=0199.510-0210.750 | Điểm cuối
P=2133 | X=0446.090-0470.240 | Y=0204.030-0213.350 | hằng
P=2133 | X=0405.020-0425.730 | Y=0207.670-0218.910 | năm
P=2133 | X=0480.410-0521.630 | Y=0209.550-0218.870 | thủy sản
P=2133 | X=0447.770-0468.490 | Y=0215.310-0224.630 | năm
P=2133 | X=0290.760-0376.530 | Y=0231.670-0242.910 | Ngã ba Đường vào
P=2133 | X=0198.070-0280.500 | Y=0237.430-0248.670 | Giáp ranh phường
P=2133 | X=0093.380-0170.050 | Y=0243.190-0254.430 | 1 Đường ĐT 759
P=2133 | X=0290.760-0369.810 | Y=0243.190-0254.430 | Nhà văn hóa thôn
P=2133 | X=0419.210-0435.850 | Y=0245.070-0254.390 | 182
P=2133 | X=0462.650-0479.290 | Y=0245.070-0254.390 | 146
P=2133 | X=0505.390-0522.030 | Y=0245.070-0254.390 | 116
P=2133 | X=0198.070-0253.840 | Y=0248.950-0260.190 | Phước Long
P=2133 | X=0290.760-0337.160 | Y=0254.710-0265.950 | Đồng Tiến
P=2133 | X=0198.070-0283.870 | Y=0272.710-0283.950 | Ngã ba Đường vào
P=2133 | X=0093.380-0170.050 | Y=0284.260-0295.500 | 2 Đường ĐT 759
P=2133 | X=0198.070-0371.480 | Y=0284.260-0295.500 | Nhà văn hóa thôn Ngã ba đường N7
P=2133 | X=0419.210-0435.850 | Y=0286.140-0295.460 | 182
P=2133 | X=0462.650-0479.290 | Y=0286.140-0295.460 | 146
P=2133 | X=0505.390-0522.030 | Y=0286.140-0295.460 | 116
P=2133 | X=0198.070-0244.500 | Y=0295.780-0307.020 | Đồng Tiến
P=2133 | X=0290.760-0377.710 | Y=0313.780-0325.020 | Giáp ranh xã Nghĩa
P=2133 | X=0093.380-0170.050 | Y=0319.540-0330.780 | 3 Đường ĐT 759
P=2133 | X=0198.070-0278.820 | Y=0319.540-0330.780 | Ngã ba đường N7
P=2133 | X=0419.210-0435.850 | Y=0321.420-0330.740 | 182
P=2133 | X=0462.650-0479.290 | Y=0321.420-0330.740 | 146
P=2133 | X=0505.390-0522.030 | Y=0321.420-0330.740 | 116
P=2133 | X=0290.760-0317.000 | Y=0327.180-0336.500 | Trung
P=2133 | X=0198.070-0281.700 | Y=0345.180-0354.500 | Ngã ba Quốc lộ 14
P=2133 | X=0102.770-0197.400 | Y=0349.060-0360.300 | Đường ĐT 753B (ĐH
P=2133 | X=0290.760-0382.540 | Y=0350.940-0360.260 | UBND xã + 500m về
P=2133 | X=0198.070-0283.770 | Y=0354.820-0366.060 | và đường ĐT 753B
P=2133 | X=0093.380-0098.980 | Y=0356.700-0366.020 | 4
P=2133 | X=0419.210-0435.850 | Y=0356.700-0366.020 | 182
P=2133 | X=0462.650-0479.290 | Y=0356.700-0366.020 | 146
P=2133 | X=0505.390-0522.030 | Y=0356.700-0366.020 | 116
P=2133 | X=0102.770-0136.130 | Y=0360.580-0371.820 | 312 cũ)
