TABLE=094 | AREA=Xã Long Hà | SECTION=agricultural | SEGMENTS=1
--- PAGES=2135-2137 | LINES=266 | HEADING=94. Xã Long Hà ---
P=2135 | X=0090.020-0161.820 | Y=0256.350-0265.670 | 94. Xã Long Hà
P=2135 | X=0273.460-0334.120 | Y=0272.470-0283.710 | Đoạn đường
P=2135 | X=0443.690-0518.830 | Y=0272.470-0283.710 | Giá đất Giá đất
P=2135 | X=0403.100-0437.210 | Y=0278.230-0289.470 | Giá đất
P=2135 | X=0448.010-0473.610 | Y=0285.900-0295.220 | trồng
P=2135 | X=0491.230-0512.490 | Y=0285.900-0295.220 | nuôi
P=2135 | X=0117.410-0194.100 | Y=0289.780-0301.020 | Tên đường giao
P=2135 | X=0407.180-0432.810 | Y=0291.660-0300.980 | trồng
P=2135 | X=0090.980-0103.380 | Y=0297.420-0306.740 | TT
P=2135 | X=0452.570-0469.210 | Y=0297.420-0306.740 | cây
P=2135 | X=0489.070-0514.670 | Y=0297.420-0306.740 | trồng
P=2135 | X=0141.890-0169.860 | Y=0303.180-0312.500 | thông
P=2135 | X=0403.100-0437.100 | Y=0303.180-0312.500 | cây lâu
P=2135 | X=0232.900-0278.180 | Y=0304.660-0315.900 | Điểm đầu
P=2135 | X=0328.200-0376.140 | Y=0304.660-0315.900 | Điểm cuối
P=2135 | X=0448.730-0472.880 | Y=0308.940-0318.260 | hằng
P=2135 | X=0491.230-0512.670 | Y=0308.940-0318.260 | thủy
P=2135 | X=0409.820-0430.530 | Y=0312.820-0324.060 | năm
P=2135 | X=0450.410-0471.120 | Y=0318.580-0329.820 | năm
P=2135 | X=0493.150-0510.350 | Y=0320.460-0329.780 | sản
P=2135 | X=0304.200-0395.500 | Y=0336.820-0348.060 | Hết đất Trường Tiểu
P=2135 | X=0207.670-0285.740 | Y=0338.700-0348.020 | Giáp ranh xã Phú
P=2135 | X=0094.340-0171.970 | Y=0342.580-0353.820 | 1 Đường ĐT 757
P=2135 | X=0423.050-0439.690 | Y=0344.460-0353.780 | 130
