TABLE=056 | AREA=Phường Bình Phước | RECORDS=752 | GROUPS=319 | REVIEW=751
ID=NQ28-056-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=30100,25800 | ROAD=56. Phường Bình Phước Tên đường giao thông TT Đường Quốc lộ 14 | START=Đoạn Ngã tư Đồng Xoài | END=đường Giá đất Đường Đồng 43.000 Khởi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=27000,23100 | ROAD=Đường Quốc lộ 14 | START=Đường Đồng Khởi | END=Đường Lê 38.500 Duẩn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=20600,17600 | ROAD=Đường Quốc lộ 14 | START=Đường Lê Duẩn | END=Đường Nguyễn Văn 29.400 Linh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=16700,14300 | ROAD=Đường Quốc lộ 14 | START=Đường Nguyễn Văn Linh | END=Giáp ranh phường Đồng 23.800 Xoài Ngã tư Đồng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=27000,23100 | ROAD=Đường Quốc lộ 14 | START=Ngã tư Đồng Xoài | END=Xoài hướng về xã Đồng Tiến (cũ) (tính 38.500 từ tim đường Phú Riềng Đỏ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=18600,16000 | ROAD=Đường Quốc lộ 14 | START=Ngã tư Đồng | END=+ 65m) Đường 26.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=16200,13900 | ROAD=Đường Quốc lộ 14 | START=Xoài hướng về xã Đồng Tiến (cũ) (tính từ tim đường Phú Riềng Đỏ + 65m) Đường Nguyễn Huệ | END=Nguyễn Huệ Hết ranh quy hoạch đường 23.200 số 2 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=11800,10100 | ROAD=Đường Quốc lộ 14 | START=Hết ranh quy hoạch đường số 2 | END=Cầu số 2 giáp ranh huyện 16.800 Đông Phú (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=27000,23100 | ROAD=Đường Phú Riềng Đỏ | START=Ngã tư Đồng Xoài | END=Đường Lý 38.500 Thường Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=20600,17600 | ROAD=Đường Phú Riềng Đỏ | START=Đường Lý Thường Kiệt | END=Đường Trương Công 29.400 Định | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=16700,14300 | ROAD=Đường Phú Riềng Đỏ | START=Đường Trương Công Định | END=Đường Cách Mạng Tháng 23.800 Tám | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=14000,12000 | ROAD=Đường Phú Riềng Đỏ | START=Đường Cách Mạng Tháng Tám | END=Hết ranh đất Trung tâm Sát 20.000 Hạch lái xe Cao Su | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=9500,8200 | ROAD=Đường Phú Riềng Đỏ | START=Giáp ranh đất Trung tâm Sát Hạch lái xe Cao Su | END=Giáp ranh huyện Đồng 13.600 Phú (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=27000,23100 | ROAD=Đường Phú Riềng Đỏ | START=Ngã tư Đồng Xoài | END=Đường Nơ 38.500 Trang Long | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=20600,17600 | ROAD=Đường Phú Riềng Đỏ | START=Đường Nơ Trang Long | END=Đường Hùng 29.400 Vương | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=16700,14300 | ROAD=Đường Phú Riềng Đỏ | START=Đường Hùng Vương | END=Hết ranh đất Chi cục Kiểm 23.800 lâm tỉnh Bình Phước (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=14000,12000 | ROAD=Đường Phú Riềng Đỏ | START=Giấy ranh đất Chi cục Kiểm lâm tỉnh Bình Phước (cũ) | END=Giáp ranh xã Tiến Hưng 20.000 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=16800,14400 | ROAD=Đường An Dương Vương | START=Đường Phú Riềng Đỏ | END=Đường Võ 24.000 Văn Tần | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=14800,12700 | ROAD=Đường An Dương Vương | START=Đường Võ Văn Tần | END=Đường Quốc 21.200 lộ 14 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=9800,8400 | ROAD=Đường Bạch Đằng | START=Đường Lê Duẩn | END=Đường Trần 14.000 Quang Diệu | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=8700,7400 | ROAD=Đường Bạch Đằng | START=Đường Trần | END=Đường 12.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=11200,9600 | ROAD=Đường Bùi Thị Xuân | START=Quang Diệu Đường Phú Riềng Đỏ | END=Trường Chinh Đường Đặng 16.000 Thai Mai | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=7700,6600 | ROAD=Đường Bùi Thị Xuân | START=Đường Đặng Thai Mai | END=Đường Hồ 11.000 Xuân Hương | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=10100,8600 | ROAD=Đường Đặng Trần Thi | START=Đường Trần Hưng Đạo | END=Đường Lý 14.400 Thường Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=14000,12000 | ROAD=Đường Đặng Trần Thi | START=Đường Trần Hưng Đạo | END=Đường Cao 20.000 Xuân Huy | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=9500,8200 | ROAD=Đường ĐT 753 | START=Ngã tư Bàu Trúc | END=Đường Cù 13.600 Chính Lan | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=7800,6700 | ROAD=Đường ĐT 753 | START=Đường Cù Chính Lan | END=Cầu Rạt nhỏ 11.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=5600,4800 | ROAD=Đường ĐT 753 | START=Cầu Rạt nhỏ | END=Cầu Rạt lớn (giáp ranh 8.000 huyện Đồng Phú (cũ)) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=7800,6700 | ROAD=Đường Hà Huy Tập | START=Đường 6 tháng 1 | END=Đường Trần 11.200 Hưng Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=7300,6200 | ROAD=Đường Hà Huy Tập | START=Đường Trần Hưng Đạo | END=Đường Phạm 10.400 Đình Hổ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=17200,14700 | ROAD=Đường Hai Bà Trưng | START=Đường Quốc lộ 14 | END=Đường Trương Công 24.500 Định | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=8400,7200 | ROAD=Đường Hai Bà Trưng | START=Đường Trương Công Định | END=Đường Bùi Thị 12.000 Xuân | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=8700,7400 | ROAD=Đường Hàm Nghi | START=Đường Hồ Xuân Hương | END=Đường Nguyễn Bỉnh 12.400 Khiêm | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=7800,6700 | ROAD=Đường Hàm Nghi | START=Đường Nguyễn Bỉnh Khiêm | END=Đường 11.200 Trường Chinh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
