TABLE=058 | AREA=Phường Minh Hưng | RECORDS=248 | GROUPS=248 | REVIEW=248
ID=NQ28-058-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=2800,2400 | ROAD=58. Phường Minh Hưng Tên đường TT giao thông Phía Bắc: Ngã Đường ĐT đường Ngô | START=Đoạn đường Phía Bắc: Hết ba giới thửa đất Đức Kế bản đồ số 140; | END=Giá đất ở ranh số 69, tờ Phía 4.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0751-01 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Ranh giới Chơn Thành) | START=phường Nam: Ngã ba bê tông Ranh phường Chơn | END=đường giới Thành | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-058-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=2600,2300 | ROAD=Phía Bắc; Hết giới Thửa đất 69, tờ bản Đường ĐT 140; Phía Nam: | START=ranh số đồ số Ngã tư Đường Đường số 9 | END=số 4 và - Khu phố 3.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0751-02 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=Ngã ba đường tông Ranh phường Chơn Thành cũ | START=bê Minh Long giới | END=1 | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=3100,2600 | ROAD=Ngã tư Đường Đường ĐT và Đường số | START=số 4 Ngã tư Đường 9 - và Đường số | END=số 14 19 (Ngã 4.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0751-03 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=Khu phố Minh 1 | START=Long tư Ngọc Lầu) phố Minh Long | END=- Khu 1 | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=2600,2200 | ROAD=Ngã tư Đường 14 và Đường Đường ĐT (Ngã tư Ngọc | START=số Ngã tư Đường số 19 và Đường số Lầu) | END=số 32 41 (Nhà 3.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0751-04 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=- Khu phố Minh Long 1 | START=Văn hóa Khu Minh Long | END=phố 3) | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=2000,1700 | ROAD=Ngã tư Đường Đường ĐT 32 và Đường | START=số cầu Bà Và số 41 Thành phố | END=(Ranh giới Hồ Chí 2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0751-05 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Nhà Văn hóa phố Minh Long | START=Khu Minh) 3) | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1100,960 | ROAD=Đường ĐH 05 Đường ĐT | START=Phía Tây: hết thửa đất số bản đồ số 130; 751 Đông: Ngã số 52 và Đường | END=ranh 191, tờ Phía 1.600 ba đường ĐH | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
