TABLE=059 | AREA=Phường Chơn Thành | RECORDS=234 | GROUPS=234 | REVIEW=188
ID=NQ28-059-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=14600,12500 | ROAD=59. Phường Chơn Thành Tên đường giao TT thông Đường 02 tháng 4 (Đường Quốc lộ Ngã tư | START=Đoạn đường Phía Đông: Đường ranh thửa tờ bản Chơn Thành | END=Giá đất ở Giáp bê tông Hết đất số 42, đồ số 84) 20.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=Phía Tây: đường ranh thửa tờ bản | END=Giáp bê tông ((hết đất số 40, đồ số 84) | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-059-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=10100,8600 | ROAD=Phía Đông: Đường Đường 02 tháng ranh đất 4 (Đường Quốc lộ Thị Riêng) | START=Giáp bê tông (hết bà Nguyễn Ngã tư Phía Tây: Gia Tự | END=Đường Ngô (Đường số 14.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-02 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=Giáp Đường hết ranh Nguyễn | START=bê tông 3) đất bà Thị Mòi | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=6700,5800 | ROAD=Đường 02 tháng Đường 4 (Đường Quốc lộ (Đường | START=Ngô Gia Tự Đường số 3) Quân | END=Lạc Long 9.600 (Đường số 7) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-03 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=5000,4300 | ROAD=Đường 02 tháng Đường 4 (Đường Quốc lộ Quân (Đường | START=Lạc Long Đường số 7) | END=Nguyễn 7.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-04 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=Công | END=Hoan | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=4500,3800 | ROAD=Đường 02 tháng Đường 4 (Đường Quốc lộ | START=Đường Nguyễn Công (Ngã ba | END=Phùng Hưng tổ 9-10, khu 6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-05 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=Hoan | START=phố 10) | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=4200,3600 | ROAD=Đường 02 tháng Đường 4 (Đường Quốc lộ (Ngã ba | START=Phùng Hưng Ranh tổ 9-10, khu Minh | END=giới phường 6.000 Hưng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-06 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=phố 10) | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=14600,12500 | ROAD=Đường 02 tháng 4 (Đường Quốc lộ Ngã tư | START=Chơn Thành Cầu Bến | END=Đình 20.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-07 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=10100,8600 | ROAD=Đường 02 tháng 4 (Đường Quốc lộ Cầu Bến | START=Ngã ba Đình Riềng | END=đường Phú 14.400 Đỏ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-08 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=Phía Tây: | END=Đường bê | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=6700,5800 | ROAD=Đường 02 tháng Ngã ba 4 (Đường Quốc lộ Riềng Đỏ | START=tông giáp đường Phú ty Medivice Đông: | END=ranh công 3s Phía 9.600 Đường bê | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-09 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=tông vào Khu phố Hết ranh | END=văn phòng 7 thửa đất số | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=4500,3500 | ROAD=Phía Tây: tông giáp Đường 02 tháng ty Medivice 4 (Đường Quốc lộ Đông: Đường | START=Đường bê 50, tờ ranh công (ranh 3s Phía Thành bê ranh thửa | END=bản đồ số 105 giới phường Tâm (cũ)) Hết 6.400 đất số 83, | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0013-10 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=tông vào Khu phố | START=Văn phòng tờ bản (ranh 7 Thành | END=đồ số 106 giới phường Tâm (cũ)) | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=14600,12500 | ROAD=Đường Nguyễn Huệ -Đường ĐT Ngã tư | START=Chơn Thành Cầu Suối | END=Đôi 20.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-01 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc lộ 14 cũ) | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-059-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=9200,7900 | ROAD=Đường Nguyễn Huệ - Đường ĐT Cầu Suối | START=Đôi Cầu Bàu | END=Bàng 13.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-02 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc lộ 14 cũ) | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0013-11 | SEC=non-agricultural | TT=13 | REL=main | PRICES=8400,7200 | ROAD=Đường Nguyễn Cầu Bàu Huệ - Đường ĐT | START=Đường Bàng Thạch | END=Phạm Ngọc 12.000 (Đường vào | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=5300,4600 | ROAD=751 (Đường Quốc lộ 14 cũ) Đường Nguyễn Đường Huệ - Đường ĐT Thạch (Đường | START=Trung vực Chơn Phía Bắc: tông giáp ông Phan (thửa Phạm Ngọc bản đồ vào | END=tâm y tế khu Thành) Đường bê ranh đất Văn Xem đất số 87, tờ số 15). 7.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-03 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Trung tâm Quốc lộ 14 cũ) vực Chơn | START=y tế khu Phía Nam: Thành) mương (Hết ranh số 2, tờ 42) | END=Đến thoát nước thửa đất bản đồ số | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=3900,3400 | ROAD=Phía Bắc: tông giáp ông Phan Đường Nguyễn (thửa đất Huệ - Đường ĐT bản đồ | START=Đường bê ranh đất Văn Xem Hết ranh số 87 tờ 365, tờ số 15) Phía | END=thửa đất số bản đồ số 16 5.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-04 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Nam: Đến Quốc lộ 14 cũ) thoát nước thửa đất | START=(ranh mương Minh Thành (Hết ranh số 2, tờ bản | END=giới phường (cũ)) | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=14600,12500 | ROAD=đồ số 42) Đường Nguyễn Huệ - Đường ĐT Ngã tư | START=Hết ranh phường Chơn Thành | END=UBND Hưng Long 20.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-05 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc lộ 14 cũ) | START=(cũ) (thửa tờ bản Ngã ba | END=đất số 21, đồ số 83) đường bê | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=9200,7900 | ROAD=Đường Nguyễn Hết ranh Huệ - Đường ĐT phường | START=tông Phía UBND ranh đất Hưng Long Nguyễn | END=Bắc: hết nhà ông Minh Hùng 13.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-06 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường (cũ) (thửa Quốc lộ 14 cũ) tờ bản đồ | START=đất số 21, Phía Nam: số 83) bê tông phòng | END=đường vào Văn khu phố 4 | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=5900,5000 | ROAD=Ngã ba tông Phía Đường Nguyễn ranh đất Huệ - Đường ĐT Nguyễn | START=đường bê Bắc: hết Phía Bắc: nhà ông trường Minh Hùng Phía Nam: | END=Hết ranh Chu Văn An Hết ranh 8.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0751-07 | SEC=non-agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Phía Nam: Quốc lộ 14 cũ) tông vào Khu phố | START=đường bê đất nhà văn phòng Hải Hiệu 4 | END=ông Nguyễn | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
