TABLE=061 | AREA=Phường Bình Long | RECORDS=205 | GROUPS=205 | REVIEW=29
ID=NQ28-061-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=14000,12000 | ROAD=61. Phường Bình Long Đường Lý Tự Trọng Đường | START=Đoạn đường Đường Lê Lợi Vương | END=Giá đất Hùng 20.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=11300,9700 | ROAD=Đường Đường Trần Hưng Đạo Huệ | START=Nguyễn Đường | END=Trần Phú 16.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=11300,9700 | ROAD=Đường Đường Trần Hưng Đạo Huệ | START=Nguyễn Đường Kiệt | END=Lý Thường 16.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=8400,5900,5100 | ROAD=Đường Đường Trần Hưng Đạo Kiệt | START=Lý Thường Thửa bản | END=đất số 34, tờ 8.400 đồ số 82 | FLAGS=
ID=NQ28-061-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=11300,9700 | ROAD=Đường Đường Lê Lợi Hoàng | START=Đinh Tiên Đường | END=Ngô Quyền 16.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=10200,8700 | ROAD=Đường Phạm Ngọc Đường Thạch | START=Đường Lê Lợi Đạo | END=Trần Hưng 14.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=7900,6800 | ROAD=Đường Phạm Ngọc Đường Đạo Thạch | START=Trần Hưng Đường Châu | END=Phan Bội 11.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=6200,4400,3700 | ROAD=Đường Phạm Ngọc Đường Thạch Châu | START=Phan Bội Đường Phong | END=Lê Hồng 6.200 | FLAGS=
ID=NQ28-061-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=8500,7300 | ROAD=Đường Đường Lê Quý Đôn Đạo | START=Trần Hưng Đường Huệ | END=Nguyễn 12.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=9200,7900 | ROAD=Đường Đường Lê Quý Đôn Đạo | START=Trần Hưng Đường Châu | END=Phan Bội 13.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=9200,7900 | ROAD=Đường Đường Lê Quý Đôn Huệ | START=Nguyễn Đường Châu | END=Phan Bội 13.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=14400,12300 | ROAD=Đường Đường Nguyễn Huệ Hành | START=Lê Đại Đường Châu | END=Phan Bội 20.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=14400,12300 | ROAD=Đường Đường Nguyễn Huệ Châu | START=Phan Bội Đường Vương | END=Hùng 20.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=11300,9700 | ROAD=Đường Đường Nguyễn Huệ Vương | START=Hùng Đường Xuân | END=Bùi Thị 16.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-061-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=9400,8100 | ROAD=Đường Đường Nguyễn Huệ Xuân | START=Bùi Thị Đường (cũ) | END=Ngô Quyền 13.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
