TABLE=062 | AREA=Phường An Lộc | RECORDS=200 | GROUPS=200 | REVIEW=199
ID=NQ28-062-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=14400,12300 | ROAD=62. Phường An Lộc Tên đường TT giao thông Đường Nguyễn Đường Trần Huệ | START=Đoạn đường Đường Hưng Đạo Vương | END=Giá Giá thương đất ở mại, Hùng 20.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=11300,9700 | ROAD=Đường Nguyễn Đường Hùng Huệ | START=Đường Vương Hương | END=Hồ Xuân 16.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=9400,8100 | ROAD=Đường Nguyễn Đường Hồ Hương Huệ | START=Xuân Đường Du (mũi | END=Nguyễn 13.400 dùi) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=7000,6000 | ROAD=Đường Nguyễn Đường Nguyễn (mũi dùi) Huệ | START=Du Đường Thái Học | END=Nguyễn 10.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=11300,9700 | ROAD=Đường Trần Đường Nguyễn Hưng Đạo | START=Đường Huệ Thường | END=Lý 16.200 Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=7800,6700 | ROAD=Đường Trần Đường Lý Hưng Đạo | START=Đường Thường Kiệt Trưng | END=Hai Bà 11.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=2800,2400 | ROAD=Đường ĐT 758 Đường Hai | START=Ranh giới Bà Trưng Lợi | END=xã Tân 4.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=6200,5300 | ROAD=Đường Hùng Đường Nguyễn Vương | START=Đường Huệ Du | END=Nguyễn 8.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=5100,4400 | ROAD=Đường Nguyễn Đường Trần Du | START=Đường Hưng Đạo Long | END=Nơ Trang 7.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=3900,3400 | ROAD=Đường Nguyễn Đường Nơ Du | START=Đường Trang Long Huệ | END=Nguyễn 5.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=3500,3000 | ROAD=Đường Hồ Đường Nguyễn Xuân Hương | START=Đường Huệ Du | END=Nguyễn 5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=3300,2900 | ROAD=Đường Chu Đường Nguyễn Văn An | START=Đường Huệ Hưng | END=Trần 4.800 Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=5800,5000 | ROAD=Đường Lý Đường Trần Thường Kiệt | START=Đường Hưng Đạo An | END=Chu Văn 8.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=1200,1000 | ROAD=Đường Nơ Đường ray Trang Long | START=Đường xe lửa Thái Học | END=Nguyễn 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=3900,3400 | ROAD=Đường Nơ Đường Nguyễn Trang Long | START=Đường Huệ Du | END=Nguyễn 5.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=2600,2200 | ROAD=Đường Nơ Đường Nguyễn Trang Long | START=Du Đường | END=ray xe lửa 3.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=2800,2400 | ROAD=Đường Bà Đường Hai Triệu | START=Đường Bà Trưng Du | END=Nguyễn 4.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=1400,1200 | ROAD=Đường Hai Bà Đường Trần Trưng | START=Hưng Đạo Đường | END=Bà Triệu 1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=1200,1000 | ROAD=Đường Hai Bà Đường Bà Trưng | START=Triệu Cầu Ba | END=Tặng 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=1000,870 | ROAD=Đường Hai Bà Cầu Ba Tặng Trưng | START=Đường Thái Học | END=Nguyễn 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=2200,1800 | ROAD=Đường Hồ Tùng Mậu Đường Trần (Đường PTT 6 cũ) | START=Hưng Đạo Đường | END=Bà Triệu 3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=1900,1,600 | ROAD=Đường Nguyễn Đường Nguyễn Thái Học | START=Huệ Đường | END=TPT 18 2.650 | FLAGS=
ID=NQ28-062-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=1700,1400 | ROAD=Đường Nguyễn Đường TPT Thái Học | START=Đường 18 Trưng | END=Hai Bà 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=1400,1200 | ROAD=Đường Nguyễn Đường Hai Thái Học | START=Ranh xã Bà Trưng Quan | END=Tân 1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=850,730 | ROAD=Thửa đất Đường PTT5 bản đồ số | START=số 168, tờ Suối 6 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=850,730 | ROAD=Giáp lô cao Đường PTT 7 Nước | START=Hết thửa su Nhà 36, tờ 07 | END=đất số bản đồ số 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=850,730 | ROAD=Đường PTT 8 Đường ĐT | START=758 Đường | END=PTT 7 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=570,490 | ROAD=Đường PTT 9 Đường ĐT | START=758 Cuối Đường | END=810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=850,730 | ROAD=Đường PTT 10 Đường Trần | START=Hưng Đạo Cuối đường | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=850,730 | ROAD=Đường PTT 11 Đường Nơ | START=Trang Long Nguyễn | END=Du 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=2000,1700 | ROAD=Đường PTT 22 Thửa đất (Nguyễn Thái đồ số 2 (Ngã | START=số 02, tờ bản Ngã ba ba ông nhà bà | END=cuối đất 2.800 Long | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=1200,1000 | ROAD=Học nối dài) Dân) Đường tổ 2 KP Đường Nơ Phú Xuân | START=Đường Trang Long Du | END=Nguyễn 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=850,730 | ROAD=Đường bê tông nằm trên ray xe Đường Trần lửa | START=Hưng Đạo Đường | END=PTT 4 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=850,730 | ROAD=Đường Nguyễn Đường bê tông (thửa đất đồ số 5) | START=Du số 66, tờ bản Đường | END=ray xe lửa 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=2800,2400 | ROAD=Đường Quốc lộ Đường TLT | START=Hết ranh 3 | END=đất nhà 4.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-02 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=ông Tuyến | END=Nhật | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=4000,3400 | ROAD=Đường Quốc lộ Giáp ranh | START=đất nhà ông Đường | END=TLT 18 5.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-03 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=Tuyến Nhật | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=2600,2200 | ROAD=Đường Quốc lộ Đường TLT | START=18 Đường | END=TLT 15 3.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
