TABLE=064 | AREA=Phường Phước Long | RECORDS=124 | GROUPS=124 | REVIEW=121
ID=NQ28-064-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=7100,6100 | ROAD=64. Phường Phước Long thông Đường Đinh Tiên Giáp Đường Hoàng | START=Đoạn đường Giáp 6/1 Duyệt | END=Giá đất đường Lê Văn 10.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=6000,5100 | ROAD=Đường Đinh Tiên Ngã ba Lê Văn Hoàng | START=giao Đường Ngã tư Duyệt Trần | END=giao Đường 8.500 Quang Khải | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=5500,4700 | ROAD=Đường Đinh Tiên Ngã tư Hoàng Trần Quang | START=giao Đường Trụ sở phường Khải | END=UBND 7.900 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=6700 | ROAD=Đường Đinh Tiên Giáp Đường Hoàng Tất Thành | START=Nguyễn Giáp | END=Đường 6/1 9.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-064-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=8300,7100 | ROAD=Ngã ba Đường 6/1 Thành 6/1) | START=Nguyễn Tất Đường (giao Đường Hoàng | END=Đinh Tiên 11.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=3300,2900 | ROAD=Ngã ba Đường 6/1 Tiên Hoàng | START=giáp Đinh Tượng thắng | END=đài Chiến 4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1200,1000 | ROAD=Tượng Đường 6/1 thắng | START=đài chiến Hết tuyến | END=1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=4800,4100 | ROAD=Đường Trần Hưng Giao Đường Đạo Tất Thành | START=Nguyễn Giao | END=với đường 6/1 6.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=4200,3600 | ROAD=Đường Trần Hưng Giao đường Đạo | START=Giao 6/1 Văn A | END=với đường Lê 6.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=3200,2800 | ROAD=Đường Trần Hưng Ngã tư Đạo đường | START=Hết tuyến giao với nhựa Lê Văn A Thủy | END=đường Khu phố Long 4.600 4 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=2000,1700 | ROAD=Đường Lê Hồng Đường Phong Đường Lê Hồng Đường !2 | START=Hùng Vương Đường Thửa Lý Thái Tổ | END=Lý Thái Tổ 2.800 đất số 184, tờ 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=2100,1800 | ROAD=Phong (nối dài) Đường Đường Lê Hồng Thành Phong 741) | START=bản đồ Nguyễn Tất Ngã ba (Đường ĐT Tàu Ô | END=số 03 giao Đường 3.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=1600,1300 | ROAD=Đường Lê Hồng Ngã ba Phong Tàu Ô | START=giao Đường Cầu số | END=3 2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=2300,1900 | ROAD=Đường Lê Hồng Cầu số Phong | START=Ngã ba 3 Nguyễn | END=giao Đường 3.200 Tất Thành | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=5100,4400 | ROAD=Đường Nguyễn Tượng Huệ thắng | START=đài chiến Giáp Duyệt | END=Đường Lê Văn 7.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=3600,3100 | ROAD=Đường Nguyễn Giao Đường Huệ Duyệt | START=Lê Văn Giao Hồng | END=Đường Lê 5.100 Phong | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=3300,2900 | ROAD=Đường Lê Văn A Hết tuyến | START= | END=4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=4200,3600 | ROAD=Đường Trần Ngã ba Quang Khải | START=đường 6/1 Đường | END=Lê Văn Duyệt 6.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
