TABLE=065 | AREA=Xã Thuận Lợi | RECORDS=39 | GROUPS=39 | REVIEW=21
ID=NQ28-065-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=3300,2900 | ROAD=65. Xã Thuận lợi Tên đường giao TT thông Khu dân cư Thuận Phú 2 (Công ty Cổ Đường phần Hồng Phúc), tuyến Thuận Phú 1 (Công Thành) | START=Đoạn đường D1; Toàn | END=Giá đất 4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=2400,2000 | ROAD=Khu dân cư Thuận Phú 2 (Công ty cổ Đường phần Hồng Phúc), tuyến Thuận Phú 1 (Công Thành) | START=D2: Toàn | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1900,1600 | ROAD=Khu dân cư Thuận Phú 2 (Công ty cổ Đường phần Hồng Phúc), tuyến Thuận Phú 1 (Công Thành) | START=D3: Toàn | END=2.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=3600,3100 | ROAD=Ngoài khu dân cư Hết ranh Thuận Phú 2, Thuận dân cư Phú 1 (đối với đất của (Công các bộ gia đình và cá Hồng | START=đất khu Thuận Phú 2 Giáp ty cổ phần Bình Phúc); Thuận | END=ranh phường 5.100 Phước | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1200 | ROAD=nhân trên trục Đường Phú ĐT 741) Giáp dân cư (Công Đường ĐT 741 Hồng Phú Thành). | START=1 (Công Thành) ranh đất khu Thuận phú 2 Hết ty cổ phần Võ Thị Phúc), Thuận (thửa bản 1 (Công | END=ranh thửa đất bà Tuyết Nhi 1.700 đất số 218, tờ đồ số 17) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-065-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=2100,1800 | ROAD=Giáp bà Võ Đường ĐT 741 (thửa bản đồ | START=ranh thửa đất Hết Thị Tuyết Nhi ông đất số 218, tờ (thửa số 17) bản | END=ranh thửa đất Lê Quốc Phong 3.000 đất số 65, tờ đồ số 25) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1200,1100 | ROAD=Giáp ông Lê Đường ĐT 741 (thửa bản đồ | START=Nhà ranh thửa đất Thuận Quốc Phong TNHH đất số 65, tờ thoát số 25) Phước - Hết | END=máy nước Lợi - Công ty MTV cấp 1.800 nước Bình ranh Công ty | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1200,1100 | ROAD=Nhà Thuận Đường ĐT 741 TNHH thoát Phước | START=TNHH khẩu máy nước Bình lợi - Công ty đất MTV cấp đồ số nước Bình - Hết TNHH Lợi tờ bản | END=xuất nhập Cao Nguyên Phước (thửa số 132, tờ bản 1.800 178) ranh Công ty Cao su Thuận (thửa đất số 17, đồ số 179) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1400,1200 | ROAD=- Giáp TNHH khẩu Bình đất số đồ số Đường ĐT 741 - Giáp TNHH Thuận số 17, | START=ranh Công ty xuất nhập Cao Nguyên Phước (thửa - Hết 132, tờ bản số 22, 173 178) Công ranh Công ty xuất Cao su Phước Lợi (thửa đất tờ bản đồ số | END=ranh thửa đất tờ bản đồ số - Hết ranh đất 2.000 ty TNHH MTV nhập khẩu Huệ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=1200,1100 | ROAD=179) - Giáp số 22, 173 Đường ĐT 741 - Giáp Công xuất Phước | START=ranh thửa đất tờ bản đồ số - Hết số 96, 157 ranh đất ty TNHH MTV đất nhập khẩu Huệ số 160 | END=ranh thửa đất tờ bản đồ số - Hết ranh thửa 1.800 số 62, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1400,1200 | ROAD=- Hết số 96, Đường ĐT 741 157 - thửa bản đồ | START=ranh thửa đất tờ bản đồ số Giáp Giáp ranh Phú đất số 62, tờ số 160 | END=ranh giới xã 2.000 Riềng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
