TABLE=066 | AREA=Xã Tân Lợi | RECORDS=21 | GROUPS=21 | REVIEW=21
ID=NQ28-066-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=740,630 | ROAD=66. Xã Tân Lợi Tên đường giao thông TT Đường ĐT 753 | START=Đoạn đường Giáp ranh xã Đồng Tâm | END=Giá đất ở Cầu Cứ 1.050 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=770,660 | ROAD=Đường ĐT 753 | START=Cầu Cứ | END=Hết thửa đất số 45, tờ bản 1.100 đồ số 27 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=700,600 | ROAD=Đường ĐT 753 | START=Hết thửa đất số 45, tờ bản đồ số 27 | END=Giáp ranh Cầu 1.000 Mã Đà | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=560,480 | ROAD=Đường Đồng Tiến - Tân Phú (cũ) | START=Toàn tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=500,430 | ROAD=Đường ĐH Tân Hòa - Tân | START=Lợi Toàn tuyến | END=720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=670,580 | ROAD=Đường tuyến số 3 | START=Toàn tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=590,500 | ROAD=Đường tuyến số 4 Đường giao thông nông thôn | START=Toàn tuyến | END=840 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=350,300 | ROAD=đầu nối trục Đường ĐT 753 phạm vi 200m, đã được đầu nhựa, bê tông xi măng | START=Toàn tuyến tư | END=500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=320,270 | ROAD=Đường giao thông nông thôn đấu nối trục Đường ĐT 753 phạm vi 200m, chưa được tư nhựa, bê tông xi măng | START=Toàn tuyến đầu | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=440,380 | ROAD=Đường Xuyên tâm | START=Toàn tuyến | END=630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=440,380 | ROAD=Đường Đồng Phú - Bình Dương (cũ) | START=Giáp ranh xã Đồng Phú | END=Tiếp giáp Suối 630 Rạch Bé | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=440,380 | ROAD=Đường Đồng Phú - Bình Dương (cũ) | START=Thửa đất số 394 và 395, tờ bản đồ số 25 | END=Hết Thửa đất số 19 và 538, 630 tờ bản đồ số 23 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=700,600 | ROAD=Đất đấu giá 07 thửa trong 11 ngã ba ấp Thạch Màng | START=Thửa đất số 387 đến 393, tờ bản đồ số | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=560,480 | ROAD=Đất đấu giá thửa đất số 54, | START=26 tờ bản đồ số 103 | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=560,480 | ROAD=Các tuyến đường còn lại trong khu TTHC xã Tân Hưng cũ | START=Toàn tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=560,480 | ROAD=Các tuyến đường còn lại trong khu TTHC xã Tân Hòa cũ | START=Toàn tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=560,480 | ROAD=Các tuyến đường còn lại trong khu TTHC xã Tân Lợi cũ | START=Toàn tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=320,270 | ROAD=Các tuyến đường giao thông có kết cấu nhựa, bê tông bề rộng mặt đường từ 5m trở | START=Toàn tuyến lên | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=280,240 | ROAD=Các tuyến đường giao thông có kết cấu nhựa, bê tông bề rộng mặt đường dưới 5m | START=Toàn tuyến | END=410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường còn lại chưa được đầu tư mặt nhựa, bê tông có đấu nối 2 điểm | START=Toàn tuyến | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-066-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=220,190 | ROAD=Các tuyến đường còn lại chưa được đầu tư mặt nhựa, bê tông chỉ đấu nối 1 điểm | START=Toàn tuyến | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
