TABLE=067 | AREA=Xã Đồng Tâm | RECORDS=296 | GROUPS=292 | REVIEW=161
ID=NQ28-067-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=5700,4000,3400 | ROAD=67. Xã Đồng Tâm Tên đường giao TT thông Giáp Đường Quốc lộ 14 Bình Phước | START=Đoạn đường Hết liệt xã Đường ranh Phường Hết (cầu 2) giữa Đồng phải 14) | END=đất ranh Nghĩa trang sĩ tỉnh hướng đi Bù Đăng (Bên trái Quốc lộ 14) Đường B.3 - ranh 5.700 ấp Cầu 2 và ấp Tiến 4 (Bên đường Quốc lộ | FLAGS=
ID=NQ28-067-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=3800,2700,2300 | ROAD=Giáp liệt sĩ Nghĩa Đường Đường Quốc lộ 14 Đường áp Câu Tiến 4 | START=ranh Nghĩa trang tỉnh hướng đi xã Đường Trung (bên trái Đội Quốc lộ 14) Hết kiểu B3 - ranh giữa Tiến 2 và ấp Đồng số (bên phải 122) | END=bê tông đi vào 4 - Khu dân cư mẫu ấp Đồng 3.800 4 (hết thửa đất 39, tờ bản đồ số | FLAGS=
ID=NQ28-067-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=3000,2100,1800 | ROAD=đường Đường Đường Quốc lộ 14 Đội 4 kiểu mẫu | START=Quốc lộ 14) bê tông đi vào Hết - Khu dân cư TNHH ấp Đồng Tiểu thửa | END=ranh đất Công ty Nam Anh (hết 3.000 đất số 51, tờ | FLAGS=
ID=NQ28-067-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=2100,1500,1300 | ROAD=(hết tờ bản Hết ranh TNHH thửa đất đồ 80 Đường Quốc lộ 14 Hết ranh Cường thửa đất đồ số | START=thửa đất số 39, bản đồ số 122) Hết Cường thửa đồ đất Công ty Nam Anh (hết số 51, tờ bản Đường 101) đội đất cây xăng (thửa Đại Phát (hết bản số 4, tờ bản 100) | END=đồ số 101) ranh đất cây xăng Đại Phát (hết đất số 4, tờ bản số 100) bê tông vào 5, ấp Đồng Tâm 4 2.100 đất số 238, tờ đồ số 241) | FLAGS=
ID=NQ28-067-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1700,1200,1000 | ROAD=Hết ranh học Đồng đất số số 229) Đường Quốc lộ 14 Đường 5, ấp (thửa | START=trường Tiểu Tâm (thửa Hết 298, tờ bản đồ hóa (Hết bễ tang vào đội 105, Đồng Tâm 4 186) đất số 238, tờ | END=ranh Nhà Văn ấp Đồng Tâm 5 ranh thửa đất số 1.700 tờ bản đồ số | FLAGS=
ID=NQ28-067-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1600,1100,970 | ROAD=bản đồ Hết ranh ấp Đồng Đường Quốc lộ 14 ranh thửa tờ bản | START=số 241) Nhà Văn hóa Tâm 5 (Hết Giáp đất số 105, Trung đồ số 186) | END=ranh xã Nghĩa 1.600 | FLAGS=
ID=NQ28-067-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1000,710,610 | ROAD=Khu dân cư Đồng Các tuyến Tiến (ĐT-HOUSE) | START=đường trong khu | END=dân cư 1.000 | FLAGS=
ID=NQ28-067-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1000,710,610,1 | ROAD=Khu dân cư Đồng Tiến (Công ty địa ốc Các tuyến Minh Thuận) | START=đường trong khu | END=dân cư 1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_4
ID=NQ28-067-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1300,890,770 | ROAD=Khu dân cư Đồng Riêng Tiến (Công ty địa ốc (hướng Minh Thuận) | START=trục Đường chính tiếp đi Nhà Văn hóa Suối | END=giáp khu dân cư 1.300 Binh) | FLAGS=
ID=NQ28-067-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=direct | PRICES=1500,1100,920 | FLAGS=
ID=NQ28-067-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1300,890,770 | ROAD=Khu dân cư Tân Phước (Công ty Các tuyến TNHH Sông Tiền Land) | START=đường còn lại trong | END=khu dân cư 1.300 | FLAGS=
ID=NQ28-067-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=direct | PRICES=1500,1100,920 | FLAGS=
ID=NQ28-067-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=1300,890,770 | ROAD=Khu dân cư Thương Các tuyến mại Liên tỉnh | START=đường còn lại trong | END=khu dân cư 1.300 | FLAGS=
ID=NQ28-067-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=1300,890,770 | ROAD=Khu dân cư Các tuyến Homeland (công ty TNHH MTV xây | START=đường trong khu | END=dân cư 1.300 | FLAGS=
ID=NQ28-067-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=2000,1400,1200 | ROAD=dựng Tuấn Thuận) Giáp Đường ĐT 753 Bình Phước | START=Đường ranh Phường ranh Quang 82, | END=bê tông giáp cây xăng Nhật 2.000 (thửa đất số tờ bản đồ số 295) | FLAGS=
ID=NQ28-067-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=1400,1000,860 | ROAD=Đường ranh cây Đường ĐT 753 Quang tờ bản | START=bê tông giáp xăng Nhật Giáp (thửa đất số 63, (giáp đồ số 45) | END=ranh Cầu Cứ 1.400 xã Tân Lợi) | FLAGS=
ID=NQ28-067-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=1200,860,730 | ROAD=Đường ĐT 753B Quốc | START=Hết lộ 14 50, | END=ranh thửa đất số 1.200 tờ bản đồ số 259 | FLAGS=
