TABLE=070 | AREA=Xã Lộc Thành | RECORDS=33 | GROUPS=31 | REVIEW=33
ID=NQ28-070-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1300,1100 | ROAD=70. Xã Lộc Thành Tên đường giao TT thông Giáp xã Bình Đường Quốc lộ 13 (cũ) (Cầu Lê) | START=Đoạn đường ranh thị Long Ngã tư Đồng Cần Tâm | END=Giá đất Giá thương đất ở mại, dịch vụ 1.800 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=910,780 | ROAD=Ngã Đường ĐT 754 Tâm | START=tư Đồng Cầu số 1 | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=750,640 | ROAD=Đường ĐT 754 Cầu | START=Giáp Đường nhựa khu tái số 1 định cư Phước Hòa | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=430,370 | ROAD=Giáp nhựa Đường ĐT 754 định Phước | START=Đường khu tái Giáp ranh cư Campuchia Hòa | END=610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=430,370 | ROAD=Ngã Đường ĐT 754 Khu di Thiết | START=ba công Giáp ranh tích Tà Tây Ninh | END=tỉnh 610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=540,460 | ROAD=Thuộc Đường Quốc lộ 14C bàn xã (đường Xuyên Á) Thịnh | START=địa Lộc (cũ) | END=770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=540,460 | ROAD=Giáp Đường Quốc lộ 14C Lộc Thịnh (đường Xuyên Á) (cũ) | START=ranh xã Thửa đất số 17; tờ bản 43 | END=16, đồ số 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=640,550 | ROAD=Thửa Đường Quốc lộ 14C 16, 17; (đường Xuyên Á) đồ số | START=đất số Thửa đất số tờ bản 104; tờ bản 43 số 16 | END=90, đồ 920 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=540,460 | ROAD=Đường Quốc lộ 14C Thửa (đường Xuyên Á) 90, 104; | START=đất số Giáp ranh tờ Thiện (cũ) | END=xã Lộc 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=700,600 | ROAD=bản đồ Đường liên xã Lộc Ngã Thịnh - Lộc Khánh Tâm (cũ) | START=số 16 tư Đồng Giáp ranh Khánh (cũ) | END=xã Lộc 990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=280,240 | ROAD=Đường liên xã Lộc Ngã Thịnh - Lộc Thành Thành (cũ) Thịnh | START=ba Lộc Giáp ranh - Lộc Thành | END=xã Lộc 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
