TABLE=071 | AREA=Xã Lộc Hưng | RECORDS=32 | GROUPS=30 | REVIEW=32
ID=NQ28-071-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=640,550 | ROAD=71. Xã Lộc Hưng Giáp Đường liên xã Lộc Điền - Lộc Lộc Khánh (cũ) Lộc (cũ) | START=Đoạn đường ranh xã Điền - xã Cầu Sóc Khánh | END=Giá Giá thương đất ở mại, Lớn 920 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=860,730 | ROAD=Đường liên xã Lộc Điền - Cầu Lộc Khánh (cũ) | START=Hết ranh Sóc Lớn Trường giáo Tuổi | END=đất mẫu 1.200 Thơ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=860,730 | ROAD=Giáp Đường liên xã Lộc Khánh Trường - Lộc Thịnh (cũ) giáo | START=Hết ranh ranh Trường mẫu và Trung Tuổi Thơ sở Lộc | END=đất Tiểu học 1.200 học cơ Khánh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=540,460 | ROAD=Đường liên xã Lộc Khánh Giáp | START=ranh Giáp ranh | END=xã 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=540,460 | ROAD=- Lộc Thịnh (cũ) trường học học Khánh Giáp Đường liên xã Lộc Khánh Lộc - Lộc Thái (cũ) xã (cũ) | START=Tiểu Lộc Thịnh và Trung cơ sở Lộc ranh xã Ngã ba Khánh - nhân dân Lộc Thái Khánh | END=(cũ) Ủy ban xã Lộc 770 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=430,370 | ROAD=Đường Lộc Khánh đi xã Ngã An Khương, thị xã Bình Sóc Long (cũ) Ven | START=ba ấp Lớn - Ba Cầu Ba | END=Ven 610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=340,290 | ROAD=Đường Lộc Khánh đi xã An Khương, thị xã Bình Cầu Long (cũ) | START=Giáp ranh Ba Ven Khương, Bình Long | END=xã An thị xã 490 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=750,640 | ROAD=Giáp Đường liên xã Lộc Thái - Lộc Lộc Điền (cũ) Lộc | START=ranh xã Thái - xã Cầu Ông Điền | END=Đô 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=960,830 | ROAD=Đường liên xã Lộc Thái - Cầu Lộc Điền (cũ) | START=Ngã ba ông Đô tiểu học 8) | END=Trường A (Đi ấp 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=400,340 | ROAD=Đường liên xã Lộc Thái - Nhà Lộc Điền (cũ) điều | START=máy hạt Nhà thờ Lộc Thái Điền | END=Lộc 570 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=480,410 | ROAD=Ngã Đường liên xã Lộc Điền - địa Lộc Thuận (cũ) Điền | START=ba nghĩa Giáp ranh ấp 2 Lộc Lộc Thuận | END=xã 690 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=540,460 | ROAD=Đường liên xã Lộc Điền - Giáp Lộc Quang (cũ) tiểu | START=Trường Giáp ranh học A su | END=lô cao 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=340,290 | ROAD=Đường liên xã Lộc Điền - Giáp Lộc Quang (cũ) cao | START=ranh lô Giáp xã Quang su | END=Lộc 490 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=640,550 | ROAD=Ngã Đường liên xã Lộc Điền - Trường Lộc Khánh (cũ) học A | START=ba Giáp ranh tiểu Lộc Điền Lộc Điền Lộc Khánh | END=xã - xã 920 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=1300,1100 | ROAD=Ngã Đường Quốc lộ 13 Tâm | START=Giáp ranh cây xăng tư Đồng Phát (Thửa số 388, đồ số | END=đất Lộc đất 1.800 tờ bản 20) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=2000,1700 | ROAD=Cây Đường Quốc lộ 13 Phát | START=xăng Lộc Giáp ranh Lộc Thái | END=xã 2.900 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=910,780 | ROAD=Ngã Đường ĐT 754 Tâm | START=tư Đồng Cầu số | END=1 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=750,640 | ROAD=Đường ĐT 754 Cầu | START=Giáp ranh số 1 Lộc Thịnh | END=xã 1.100 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
