TABLE=072 | AREA=Xã Lộc Tấn | RECORDS=36 | GROUPS=34 | REVIEW=36
ID=NQ28-072-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1500,1300 | ROAD=72. Xã Lộc Tấn Tên đường giao TT thông Đường Phan Chu Thuộc Lộc Trinh | START=Đoạn đường địa bàn xã Thiện (cũ) | END=Giá đất thương Giá vụ 2.100 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1600,1400 | ROAD=Đường liên xã Lộc Thửa | START=đất số 6, tờ Thửa đất | END=số 2.300 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1400,1200 | ROAD=bản Thiện - thị trấn Lộc Ninh (cũ) Đường liên xã Lộc Thửa Thiện - thị trấn Lộc tờ bản Ninh (cũ) | START=đồ số 106 12, tờ đồ số 114 Thửa đất đất số 12, 35, tờ đồ số 114 đồ số 112 | END=bản số bản 2.000 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1600,1400 | ROAD=Đường liên xã Lộc Thửa Thiện - thị trấn Lộc tờ bản Ninh (cũ) | START=Thửa đất đất số 35, 159, tờ đồ số 112 đồ số 116 | END=số bản 2.300 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=540,460 | ROAD=Đường liên xã Lộc Hết Thiện - Lộc Thành (cũ) xã Lộc | START=đất Ủy ban Ngã ba Thiện (cũ) Bình | END=Lộc 770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=450,390 | ROAD=Đường liên xã Lộc Ngã Thiện - Lộc Thái (cũ) | START=Giáp ranh ba Lộc Bình xã Lộc (cũ) | END=Thái 650 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=540,460 | ROAD=Đường làng 10 Lộc Ngã Thiện (cũ) | START=Cổng chào ba hố Bom K54 | END=770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=450,390 | ROAD=Đường ấp K54 Cổng | START=Nghĩa chào K54 K54 | END=trang 650 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=800,690 | ROAD=Giáp Đường liên xã Lộc Lộc Thái - Lộc Thiện (cũ) Thái | START=ranh thị trấn Ngã tư Ninh - xã Lộc Tôn (cũ) | END=Mũi 1.100 800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=340,290 | ROAD=Đường nhựa Ngã | START=Thửa đất ba hố Bom 96, tờ đồ số 94 | END=số bản 490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=340,290 | ROAD=Đường nhựa Nhà | START=Nhà máy ông Thái Tài điều Hoàng Chuẩn | END=490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
