TABLE=074 | AREA=Xã Lộc Quang | RECORDS=162 | GROUPS=162 | REVIEW=162
ID=NQ28-074-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=540,460 | ROAD=74. Xã Lộc Quang Thửa số Đường ĐT 756 bản 8 | START=Đoạn đường đất Thửa đất 82, tờ 150, tờ bản đồ số đồ số 22 | END=thương Giá đất ở mại, dịch vụ số 770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=640,550 | ROAD=Thửa số Đường ĐT 756 bản 22 | START=đất Thửa đất 150, tờ 281, tờ bản đồ số đồ số 5 | END=số 920 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=640,550 | ROAD=Thửa số Đường ĐT 756 bản 5 | START=đất Thửa đất 281, tờ 223, tờ bản đồ số đồ số 68 | END=số 920 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=480,410 | ROAD=Thửa số Đường ĐT 756 bản 68 | START=đất Thửa đất 223, tờ 24, tờ bản đồ số đồ số 83 | END=số 690 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=960,830 | ROAD=Thửa Đường ĐT 756 số | START=đất Thửa đất 385, tờ 255, tờ bản | END=số 1.400 960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=640,550 | ROAD=bản 54 Thửa số Đường ĐT 756 bản 54 | START=đồ số đồ số 54 đất Thửa đất 255, tờ 82, tờ bản đồ số đồ số 8 | END=số 920 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=340,290 | ROAD=Thửa Đường liên xã Lộc Phú - số Lộc Thuận (cũ) bản 22 | START=đất Thửa đất 161, tờ 51, tờ bản đồ số đồ số 20 | END=số 490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=320,270 | ROAD=Đường nhựa liên ấp Soor Cổng Rung, Tân Lợi, Tân Hai Tân | START=chào Giáp Đường ĐT 756 Hai | END=450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=320,270 | ROAD=Thửa Đường liên xã Lộc Hiệp - số Lộc Thuận (cũ) bản 23 | START=đất Thửa đất 28, tờ 115, tờ bản đồ số đồ số 60 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=280,240 | ROAD=Thửa Đường nhựa liên ấp Tân số bản Hai 6 | START=đất Thửa đất 358, tờ 324, tờ bản đồ số đồ số 3 | END=số 410 280 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=260,230 | ROAD=Thửa Đường liên xã Lộc Quang số - Lộc Phú (cũ) bản 6 | START=đất Thửa đất 444, tờ 152, tờ bản đồ số đồ số 7 | END=số 380 260 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=320,270 | ROAD=Thửa Đường liên xã Lộc Quang số - Lộc Thuận (cũ) bản 22 | START=đất Thửa đất 161, tờ 51, tờ bản đồ số đồ số 20 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=540,460 | ROAD=Thửa Đường nhựa vào Trường số bản mẫu giáo Lộc Quang 88 | START=đất Thửa đất 42, tờ 195, tờ bản đồ số đồ số 69 | END=số 770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=540,460 | ROAD=Thửa Đường nhựa vào Công an số bản xã Lộc Quang 88 | START=đất Thửa đất 42, tờ 192, tờ bản đồ số đồ số 67 | END=số 770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=540,460 | ROAD=Thửa Đường ĐT 759B (đường số Quốc lộ 13 - đường bản Hoàng Diệu cũ) 23 | START=đất Thửa đất 22, tờ 45, tờ bản đồ số đồ số 53 | END=số 770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=960,830 | ROAD=Thửa Đường ĐT 759B (Đường số Quốc lộ 13 - đường bản Hoàng Diệu cũ) 53 | START=đất Thửa đất 45, tờ 60, tờ bản đồ số đồ số 54 | END=số 1.400 960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=1100 | ROAD=Thửa Đường ĐT 759B (Đường số Quốc lộ 13 - đường bản Hoàng Diệu cũ) 54 | START=đất Thửa đất 60, tờ 154, tờ bản đồ số đồ số 41 | END=số 1.900 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-074-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=1100 | ROAD=Thửa Đường ĐT 759B (Đường số Quốc lộ 13 - đường bản Hoàng Diệu cũ) 41 | START=đất Thửa đất 154, tờ 344, tờ bản đồ số đồ số 36 | END=số 1.800 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-074-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=590,500 | ROAD=Các tuyến Đường nhựa Toàn trong khu quy hoạch trung tuyến tâm cụm xã | START=Toàn tuyến | END=840 590 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=590,500 | ROAD=Thửa Đường nhựa liên ấp Hiệp số bản Hoàn - Hiệp Hoàn A 49 | START=đất Thửa đất 104, tờ 15, tờ bản đồ số đồ số 55 | END=số 840 590 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=340,290 | ROAD=Thửa Đường nhựa liên ấp Hiệp số bản Hoàn - Hiệp Hoàn A 55 | START=đất Thửa đất 1 s, tờ 267, tờ bản đồ số đồ số 24 | END=số 490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=590,500 | ROAD=Đường nhựa quanh hồ Toàn cầu trắng tuyến | START=Toàn tuyến | END=840 590 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=340,290 | ROAD=Thửa Đường liên xã Lộc Hiệp - số Lộc An (cũ) bản 41 | START=đất Thửa đất 182, tờ 134, tờ bản đồ số đồ số 41 | END=số 490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=320,270 | ROAD=Thửa Đường liên xã Lộc Hiệp - số Lộc An (cũ) bản 41 | START=đất Thửa đất 134, tờ 43, tờ bản đồ số đồ số 35 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=340,290 | ROAD=Thửa Đường liên xã Lộc Hiệp - số Lộc Phú (cũ) bản 53 | START=đất Thửa đất 55, tờ 75, tờ bản đồ số đồ số 62 | END=số 490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=320,270 | ROAD=Thửa Đường liên xã Lộc Hiệp - số Lộc Phú (cũ) bản 62 | START=đất Thửa đất 75, tờ 13, tờ bản đồ số đồ số 63 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=340,290 | ROAD=Đường bê tông trong khu Toàn phân lô bán đấu giá ấp tuyến Hiệp Hoàn | START=Toàn tuyến | END=490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra Đường ĐT số 759B trong phạm vi 200m bản (tính từ HLLG) 23 | START=đất Thửa đất 22, tờ 45, tờ bản đồ số đồ số 53 | END=số 360 250 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=400,340 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT số 759B trong phạm vi 200m bản (tính từ HLLG) 53 | START=đất Thửa đất 45, tờ 60, tờ bản đồ số đồ số 54 | END=số 570 400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=540,460 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT số bản 75913 trong phạm vi 200m (tính từ HLLG) 54 | START=đất Thửa đất 60, tờ 154, tờ bản đồ số đồ số 41 | END=số 770 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=480,410 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT số 759B trong phạm vi 200m bản (tính từ HLLG) 41 | START=đất Thửa đất 154, tờ 344, tờ bản đồ số đồ số 36 | END=số 690 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=320,270 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT 756 số trong phạm vi 200m(tính bản từ HLLG) 8 | START=đất Thửa đất 82, tờ 150, tờ bản đồ số đồ số 22 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=340,290 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT 756 số trong phạm vi 200m (tính bản từ HLLG) 22 | START=đất Thửa đất 150, tờ 281, tờ bản đồ số đồ số 5 | END=số 490 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=320,270 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT 756 số trong phạm vi 200m (tính bản từ HLLG) 5 | START=đất Thửa đất 281, tờ 223, tờ bản đồ số đồ số 68 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT 756 số trong phạm vi 200m (tính bản từ HLLG) 68 | START=đất Thửa đất 223, tờ 24, tờ bản đồ số đồ số 83 | END=số 360 250 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=400,340 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT 756 số trong phạm vi 200m(tính bản từ HLLG) 54 | START=đất Thửa đất 385, tờ 255, tờ bản đồ số đồ số 54 | END=số 570 400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=320,270 | ROAD=Các tuyến đường đấu nối Thửa trực tiếp ra đường ĐT 756 số trong phạm vi 200m (tính bản từ HLLG) 54 | START=đất Thửa đất 255, tờ 82, tờ bản đồ số đồ số 8 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=320,270 | ROAD=Thửa Đường liên xã Lộc Quang số bản - Lộc Ninh 60 | START=đất Thửa đất 92, tờ 12, tờ bản đồ số đồ số 51 | END=số 450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-074-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=320,270 | ROAD=Các tuyến Đường nhựa Toàn còn lại từ 3m trở lên tuyến | START=Toàn tuyến | END=450 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
