TABLE=076 | AREA=Xã Tân Hưng | RECORDS=35 | GROUPS=35 | REVIEW=35
ID=NQ28-076-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,970 | ROAD=76. Xã Tân Hưng Tên đường giao TT thông Ngã ba Đường ĐT 756 (thửa bản đồ | START=Đoạn đường Ngã dốc cà phê Đường đất số 105, tờ (thửa số 31) tờ bản | END=Giá đất ở mại, ba giao ĐT 758 1.600 đất số 254, đồ số 41) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=380,320 | ROAD=Cầu suối đất số Đường ĐT 756 số 4; Tân Quan) | START=Cát (thửa Ngã 8, tờ bản đồ phê ranh giới xã 40, tờ 31) | END=ba dốc cà (thửa đất số 540 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=500,430 | ROAD=Ngã ba ĐT 758 Đường ĐT 756 259, 41; trường | START=giao Đường Ranh (thửa đất số Bích tờ bản đồ số 594, THCS 15) | END=giới xã Nha (thửa đất số 720 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=500,430 | ROAD=Tân Hưng) Giáp Đường ĐT 756 Quang | START=Cầu (thửa ranh xã Lộc tờ bản ranh Quan) | END=Suối Cát đất số 326, đồ số 81; 720 giới xã Tân | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=690,590 | ROAD=Cầu Bà giới Tân Đường ĐT 757 An Lộc 87, tờ Giáp | START=Nùng ranh Hưng - P. Giáp (thửa đất số 756 bản đồ 68) ranh với cao | END=Đường ĐT 990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=950,810 | ROAD=su Nông Thanh su Bình Đường ĐT 757 ông Hoàng Sơn) 137, 122) | START=trường Trà đất số - công ty cao đồ số Long (Hộ ông Giáp Đàn; (thửa đất số Trường tờ bản đồ số Thanh | END=247, tờ bản 123 (Đất hộ Lê Hoàng 1.400 đối diện THCS An) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1400,1200 | ROAD=Thửa bản đồ sử dụng: Đường ĐT 757 Dung; trường Thanh | START=đất số 254, tờ số 123 (Chủ đất số Phạm Văn đồ số đối diện sử dụng: THCS Giỏi) An) | END=371, tờ bản 123 (Chủ 2.100 Vũ Văn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1100,970 | ROAD=Thửa bản đồ Đường ĐT 757 sử dụng: Yến) | START=Ngã đất số 369, tờ đường số 123 (chủ 6, Trung Bùi Thị (thửa tờ bản | END=tư giao bê tông Tổ Sơn 1.600 đất số 87, đồ số 130) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=760,650 | ROAD=Ngã tư bê tông Đường ĐT 757 Sơn 46, tờ 131) | START=giao đường Tổ 6, Trung Cầu (thửa đất số giáp bản đồ số Tân | END=Trà Thanh ranh xã Bình 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=690,590 | ROAD=Ngã ba ĐT 736 249, Đường ĐT 758 41, nhà niệm cũ) | START=giao Đường (thửa đất số Giáp tờ bản đồ số su nhà Bia tưởng thửa xã Tân Hưng tờ bản | END=ranh đất cao nước (hết 990 đất số 168, đồ số 41) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=440,380 | ROAD=Từ lô nước Đường ĐT 758 02, tờ đất cao | START=cao su nhà Cầu (thửa đất số ranh bản đồ số 40; (thửa su) tờ bản | END=Sông bé giáp xã Thuận Lợi 630 đất số 135, đồ số 16) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=320,270 | ROAD=Ngã năm Đường nhựa từ Ngã Trung năm đi Cầu Đúc thông | START=Cầu trường ranh học phổ (thửa Trần Phú A tờ bản | END=Đúc, giáp xã Tân Quan 450 đất số 104, đồ số 57) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=380,320 | ROAD=Đường nhựa từ Ngã Ngà năm năm đi Minh Lập Trung | START=trường Ngã 756 học phổ | END=ba giao ĐT 540 (thửa đất số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=690,590 | ROAD=thông ấp Hưng Đường nhựa ấp 7 - Ngã ba ấp 5 (giáp ranh xã (thửa Tân Lợi cù đi An bản đồ Khương cũ) | START=Trần Phú A đi 20, tờ Phát 11) Ngã đi ấp 7 Nôi (thửa đất số 157, tờ 101, số 104) 100) | END=bản đồ số ba nhà ông đất số 990 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=440,380 | ROAD=Đường nhựa ấp 5 Ngã ba (An Khương cũ) - ấp (thửa Trà Thanh (Thanh An bản đồ cũ) | START=Giáp nhà ông Nôi Thanh đất số 101, tờ (thửa số 100) tờ bản | END=ranh xã An cũ 630 đất số 729, đồ số 70) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=440,380 | ROAD=Ngã ba Đường nhựa thác số Thạch 4 vào Cây xăng An 168, Khương 105) | START=nhà bà Giáp (thửa đất số Quan tờ bản đồ số thửa tờ bản | END=ranh xã Tân (Tân Lợi cũ, 630 đất số 538, đồ số 109) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=540,460 | ROAD=Đường Đường nhựa Địa Hạt (thửa - Sóc Dầm bản đồ | START=Hết đất ĐT 757 Thanh đất số 416, tờ đất số số 123) đồ số | END=Đình thần An (thửa 770 349, tờ bản 129) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=320,270 | ROAD=Từ cổng Đường trục chính ấp Sở Xiêm số 143, Sở Xiêm số 26) | START=Ngã chào ấp đường (thửa đất - Long tờ bản đồ đất số đồ 50 | END=ba giao Tân Hưng Tân (thửa 450 71, tờ bản 34) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=320,270 | ROAD=Đường trục chính Ngã ba Vườn ươm ấp Sóc (thửa bản đồ Quả | START=giao ĐT 758 Hết tuyến đất số 76, tờ đất số số 43) đồ số | END=(thửa 190, tờ bản 450 44) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=320,270 | ROAD=Ngã ba Đường trục chính ấp (thửa Hưng Yên bản đồ | START=Ngã giao ĐT 756 Đường đất số 54, tờ (thửa số 55) tờ bản | END=ba giao ĐT 758 450 đất số 40, đồ số 42) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=440,380 | ROAD=Ngã ba Ngã ba vào nhà máy ĐT 756 30/4 đi cầu Long Tân 112, 26) | START=Đến giao Đường nhựa, (thửa đất số ruộng tờ bản đồ số 12, tờ 34) | END=hết đường đầu ấp Sóc (thửa đất số 630 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=690,590 | ROAD=Ngã ba Ngã ba xã đi hồ An số 848, Khương số 99) | START=xã (thửa đất Ngã tờ bản đồ (thửa tờ bản | END=ba bà út Của đất số 536, 990 đồ số 94) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
