TABLE=077 | AREA=Xã Tân Quan | RECORDS=44 | GROUPS=43 | REVIEW=44
ID=NQ28-077-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1500,1300 | ROAD=77. Xã Tân Quan Giáp phường Đường ĐT 758 (Từ 3, | START=Đoạn đường Đài Liệt ranh An Lộc thửa thửa đất số tờ bản tờ bản đồ số 141) | END=Giá Giá thương đất ở mại, sỹ (Hết đất số 380, 2.200 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=820,700 | ROAD=60) Liệt Đường ĐT 758 thửa tờ | START=sỹ (Từ hết Ngã đất số 380, 4 bản đồ số 141) | END=ba Thác số 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=570,490 | ROAD=Đường ĐT 758 Ngã | START=Ngã An thửa ba Thác số 4 9, tờ 61) | END=ba đi Thanh đất số 810 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=470,410 | ROAD=Ngã An Đường ĐT 756 đất đồ | START=ba đi Thanh cầu (Từ hết thửa (Hết số 9, tờ bản 238, số 61) số 77) | END=Suối Cát thửa đất số 680 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=500,430 | ROAD=Ngã An Đường ĐT 756 đất đồ | START=ba đi Thanh Ngã (Từ hết thửa Hưng số 9, tờ bản đất số số 61) bản | END=năm Tân (Hết thửa 720 82, tờ đồ số 61) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1100,970 | ROAD=Cầu ranh Đường ĐT 756C (Từ 104, 101) | START=bà Hô giáp xã Tân Khai Hết thửa đất số 117, tờ bản đồ số số 101 | END=thửa đất số tờ bản đồ 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=820,700 | ROAD=Từ Đường ĐT 756C số số | START=hết thửa đất Hết 117, tờ bản đồ 184, 101) số 92) | END=thửa đất số tờ bản đồ 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1100,970 | ROAD=Từ Đường ĐT 756C số số | START=hết thửa đất Hết 184, tờ bản đồ 366, 92) số 93 | END=thửa đất số tờ bản đồ 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1000,860 | ROAD=Đường (Từ Đường ĐT 756B 191, 63) | START=Đến ĐT 756C trường thửa đất số Tân tờ bản đồ số Lách đất số bản | END=hết ranh tiểu học Quan ấp Xa 1.400 (Hết thửa 65, tờ đồ số 106) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=760,650 | ROAD=Từ trường Tân Đường ĐT 756B Lạch thửa bản | START=hết ranh tiểu học Giáp Quan ấp Xa Nha thửa (Từ hết đất số 65, tờ bản đồ số 106) | END=ranh xã Bích (Hết 1.100 đất số 7, tờ đồ số 107) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=570,490 | ROAD=Từ Đường ĐT 756C 78, 115 | START=thửa đất số Hết tờ bản đồ số 1706, số 70 | END=thửa đất số tờ bản đồ 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
