TABLE=078 | AREA=Xã Minh Đức | RECORDS=53 | GROUPS=53 | REVIEW=53
ID=NQ28-078-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,970 | ROAD=78. Xã Minh Đức Tên đường TT giao thông Ngã ba T&T Đường ĐH 246 đất số 324, đồ số 66) | START=Đoạn đường Suối (Hết (thửa số 191 và tờ bản số 106 thuộc đồ số 66) | END=Giá Giá thương đất ở mại, thửa đất thửa đất 1.600 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=820,700 | ROAD=Suối (Đầu số 38 và thửa Đường ĐH 246 51 thuộc tờ số 65) | START=thửa đất Hết ranh đất số 56 thuộc bản đồ số 65 | END=thửa đất số tờ bản đồ 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=570,490 | ROAD=Hết ranh thửa Đường ĐH 246 56 thuộc tờ số 65 | START=đất số Hết ranh bản đồ 17, tờ bản | END=thửa đất số 810 đồ số 53 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1100,970 | ROAD=Ngã ba giao Đường ĐH 246 ĐT 752 tới ĐH 246 | START=Phía Đông: bê tông hết Đường trường tiểu đường Tâm Phía ranh thửa ,tờ bản đồ | END=đường ranh học Minh 1.600 Tây: Hết đất số 211 số 11 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=950,810 | ROAD=Phía Đông: bê tông hết Trường tiểu Đường ĐH 246 Minh Tâm Hết ranh thửa 210, tờ bản | START=Đường Hết thửa ranh học và thửa đất Phía Tây: thuộc tờ đất số 11 đồ số 11 | END=đất số 331 số 365 1.400 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=570,490 | ROAD=Từ đầu thửa 363 và thửa Đường ĐH 246 386 thuộc số 11 | START=đất số đất số Giáp ranh tờ bản đồ Đức cũ | END=xã Minh 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=380,320 | ROAD=Đường bê tông Trường THCS trường THCS ấp Đức 1A | START=Ngã ba Tuấn Minh (thửa đất bản đồ số | END=Thêu số 444, tờ 540 66) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=380,320 | ROAD=Đường bê tông Trường THCS trường THCS ấp Đức 1A | START=Hết ranh Minh Tăng (thửa 401, tờ bản 66) | END=đất ông đất số 540 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=380,320 | ROAD=Đường bê tông Trường THCS trường THCS ấp Đức 1A | START=Hết ranh Minh Thực (thửa 174, tờ bản 65) | END=đất ông đất số 540 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=1000,860 | ROAD=Đường liên xã UBND xã (xã Minh Đức và từ thửa cũ) 342, tờ bản | START=Suối (đến Minh Đức đất số 39 đất số đất số 51 đồ số 66 bản đồ số | END=hết thửa và thửa 1.400 thuộc tờ 73) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=630,540 | ROAD=Suối (Từ đầu Đường Yên xã đất số 40 và (xã Minh Đức đất số 50 cũ) bản đồ số | START=thửa Đến hết ranh thửa đất số 23 thuộc tờ đất số 40 73) bản đồ số | END=thửa và thửa 900 thuộc tờ 64 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=320,270 | ROAD=Đường liên xã Từ thửa đất (xã Minh Đức thửa đất số cũ) tờ bản đồ | START=số 9 và Đến hết ranh 41 thuộc đất số 234, số 64 đồ số 39 | END=thửa tờ bản 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=380,320 | ROAD=Đầu ranh Đường Lộ đal thửa đất số ấp 3 số 62, tờ bản 73) | START=đất thuộc Hết ranh 61, thửa thửa đất đồ số bản đồ số | END=đất thuộc số 125, tờ 540 73) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=380,320 | ROAD=Đường nhựa ấp Từ thửa đất 1A đi ấp Sóc tờ bản đồ Ruộng | START=số 53, Hết thửa số 73 tờ bản đồ | END=đất số 52, 540 số 74 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=820,700 | ROAD=Ngã ba nông Bình Minh Đường nhựa ấp đường ĐH 1A đầu thửa đất tờ bản đồ | START=trường Ngã ba trường (Giao với THCS Minh 246, từ ranh thửa số 118, 372, tờ bản số 66) 66) | END=Đức (hết đất số 1.200 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=630,540 | ROAD=Ngã ba bên nông trường Đường nhựa ấp Minh (Giao đường ĐH 1B đầu thửa đất tờ bản đồ | START=hông Bình Giáp đất với trường Bình 246, từ (đến hết số 73, 30, tờ bản số 66) | END=nông Minh 900 thửa đất số đồ số 59) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=630,540 | ROAD=Đường nhựa từ Giáp đường ấp 2 đi ấp Chà (xã Minh Đức Lon | START=Suối (đến liên xã đất số 133 cũ) đất số 124 bản đồ số | END=hết thửa và thửa 900 thuộc tờ 73) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=320,270 | ROAD=Suối (Từ đầu Đường nhựa từ đất số 67, ấp 2 đi ấp Chà số 72 và đầu đất số 163, Lon đồ số 73) | START=thửa Đến hết Thửa tờ bản đồ 29 và thửa thửa thuộc tờ tờ bản 43 | END=đất số đất số 38 450 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=320,270 | ROAD=Đường xã Minh Giáp đường Đức đi xã Tân (xã Minh Đức Khai | START=Giáp ranh liên xã 30 52 và cũ) 63 thuộc số 74 | END=thửa đất thửa đất số 450 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=280,240 | ROAD=Giáp ranh Đường xã Minh số 52 và thửa Đức đi xã Tân 63 thuộc tờ Khai số 74 | START=thửa đất Hết thửa đất số và thửa đất bản đồ thuộc tờ 44 | END=đất số 27 số 40 410 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=950,810 | ROAD=Giáp ranh Đường ĐT 752 Bình Long | START=phường Hết ranh 26, tờ bản Phía Bắc: | END=thửa đất số 1.400 đồ số 02 Hết thửa | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
