TABLE=079 | AREA=Xã Phước Sơn | RECORDS=74 | GROUPS=74 | REVIEW=74
ID=NQ28-079-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=500,430 | ROAD=79. Xã Phước Sơn Tên đường giao thông TT Đường ĐT 755 | START=Đoạn đường Ranh giới xã Hết Thống Nhất - Công Phước Sơn (cũ) Mỵ | END=Giá thương đất ở ranh ty Hà 720 thôn 1 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=630,540 | ROAD=Đường ĐT 755 | START=Giáp ranh Công Nhà ty Hà Mỵ thôn 1 thôn | END=văn hóa 900 2 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=580,500 | ROAD=Đường ĐT 755 | START=Nhà văn hóa Hết thôn 2 thôn | END=địa phận 830 3 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=690,590 | ROAD=Đường ĐT 755 | START=Hết địa phận Ngã đường thôn 3 | END=ba 990 vào | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=570,490 | ROAD=Đường ĐT 755 | START=Trường THCS Trường Toản Ngã ba đường Giáp vào Trường Nhà THCS Võ lành Trường Toản thôn | END=Võ ranh thờ Tin 810 Bù Xa 6 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=580,500 | ROAD=Đường ĐT 755 | START=Ngã Giáp ranh Nhà đường thờ Tin lành Bù Phước đi Xa thôn 6 Nai | END=ba xã Sơn 830 xã Đồng (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=470,410 | ROAD=Đường ĐT 755 | START=Ngã ba đường xã Phước Sơn Giáp đi xã Đồng Nai xã (cũ) | END=ranh 680 Bù Đăng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1400,1200 | ROAD=Đường ĐT 755 | START=Hết Ngã tư trung xưởng tâm cụm xã Trường Thống Nhất (cũ) Thủy | END=ranh điều 2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=880,760 | ROAD=Đường ĐT 755 | START=Hết ranh xưởng Ngã điều Trường cũ Thủy | END=ba xã 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=630,540 | ROAD=Đường ĐT 755 | START=Ranh Ngã ba xã cũ Phước | END=xã 900 Sơn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1400,1200 | ROAD=Đường ĐT 755 | START=Ngã Ngã tư Thống Thống Nhất đi Lam đi Sơn + | END=tư Nhất 2.000 Lam Sơn 500m | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=630,540 | ROAD=Đường ĐT 755 | START=Ngã Ngã tư Thống Hoàng Nhất đi Lam Mắm Sơn + 500m Thống | END=ba ông Cá 900 (thôn 4 Nhất) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=470,410 | ROAD=Đường ĐT 755 | START=Ngã ba tổ 1, tổ 2 (thôn 4 Thống Hết Nhất) | END=tuyến 680 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-079-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=410,350 | ROAD=Đường Ngã ba bà Hải đi xã Đồng Nai (cũ) (đường liên xã) | START=Ranh Đường ĐT 755 Thọ | END=xã 590 Sơn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
