TABLE=080 | AREA=Xã Nghĩa Trung | RECORDS=51 | GROUPS=51 | REVIEW=51
ID=NQ28-080-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=950,810 | ROAD=80. Xã Nghĩa Trung Tên đường TT giao thông Đường Quốc lộ Ranh giữa | START=Đoạn đường thôn 8 - Cầu Pan | END=Giá thương đất ở Toong 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=thôn Bình | START=Lợi | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-080-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1400,1200 | ROAD=Đường Quốc lộ Cầu Pan Toong | START=Hết ranh trụ UBND xã | END=sở Nghĩa 2.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-02 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD= | START=Trung | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=2300,1900 | ROAD=Hết ranh trụ Đường Quốc lộ UBND xã Nghĩa | START=sở Hết ranh dự dân cư Trường | END=án Khu 3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-03 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Trung | START=Thịnh Phát | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1300,1100 | ROAD=Hết ranh dự Đường Quốc lộ dân cư Trường | START=án Khu Ngã ba đường | END=36 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-04 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Thịnh Phát | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=950,810 | ROAD=Đường Quốc lộ Ngã ba đường | START=36 Cầu 38 | END=1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-080-S01-TT0014-05 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1300,1100 | ROAD=Đường Quốc lộ Ranh giữa | START=thôn 11 - Hết trụ sở | END=Nông 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
