TABLE=081 | AREA=Xã Bù Đăng | RECORDS=121 | GROUPS=121 | REVIEW=121
ID=NQ28-081-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=950,810 | ROAD=81. Xã Bù Đăng Tên đường giao TT thông Đường Quốc lộ 14 Ranh | START=Đoạn đường Ngã xã Thọ Sơn đi Đồng | END=Giá đất ở ba Vườn chuối 1.400 Nai | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1100,920 | ROAD=Ngã Đường Quốc lộ 14 chuối | START=ba Vườn Ngã đi Đồng Nai hóa thôn | END=ba Nhà văn 1.500 2 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1300,1100 | ROAD=Ngã Đường Quốc lộ 14 hóa | START=ba Nhà văn Ranh Đức thôn 2 | END=Đoàn Kết - 1.800 Phong (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1300,1100 | ROAD=Ranh Đường Quốc lộ 14 Đức | START=Phía đất số Đoàn Kết - số 3 Phong (cũ) thửa bản đồ | END=Bắc: Hết thửa 90, tờ bản đồ Phía Nam: Hết 1.900 đất số 133, tờ số 3 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1800,1600 | ROAD=Phía đất Đường Quốc lộ 14 đồ số Từ tờ bản | START=Phía Bắc: Từ thửa nhà ông số 91, tờ bản thửa 3 Phía Nam: bản đồ thửa đất số 21, Nam: đồ số 9 số 55, 9 | END=Bắc: Ngã ba Năng (Hết đất số 38, tờ số 9) Phía 2.600 Hết thửa đất tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=2600,2300 | ROAD=Phía ba nhà (từ tờ bản Đường Quốc lộ 14 Phía thửa bản | START=Phía Bắc: Từ Ngã bê tông ông Năng (hết thửa đất số 27, tờ bản đồ số 37) Phía Nam: Từ Điểu đất số 66, tờ đất số đồ số 9 số 43) | END=Bắc: đường vào Miếu thửa đất số 27, đồ số 43) 3.800 Nam: đường Ong (hết thửa 49, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=3500,3000 | ROAD=Phía bê tông (từ tờ bản Đường Quốc lộ 14 Phía Điểu đất đồ số | START=Bắc: đường vào Miếu thửa đất số 12, đồ số 43) Cầu Nam: đường Ong (từ thửa số 52, tờ bản 43) | END=Bù Đăng 5.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=4300,3700 | ROAD=Đường Quốc lộ 14 Cầu | START=Phía Đoàn Phía Bù Đăng Bù Đăng đất số | END=Bắc: đường Đức Thái Nam: Nhà Thờ 6.100 (hết thửa 62, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=5700,4900 | ROAD=Phía Đoàn Đường Quốc lộ 14 Phía | START=số 8) Bắc: đường Đức Thái Đường Nam: Nhà | END=14 tháng 12 8.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=4400,3800 | ROAD=Thờ thửa bản Đường Đường Quốc lộ 14 12 | START=Bù Đăng (từ đất số 76, tờ đồ số 8) 14 tháng Ngã Quý Phía | END=tư đường Lê 6.300 Đôn Bắc: Đường | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=3800,3200 | ROAD=Ngã Đường Quốc lộ 14 Quý | START=Nguyễn tư đường Lê Khai Đôn Phía Lê Hồng | END=Thị Minh 5.400 Nam: Đường Phong | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=3500,3000 | ROAD=Phía Nguyễn Khai Đường Quốc lộ 14 Phía Lê Hồng | START=Phía Bắc: Đường trang Thị Minh Bù Đăng Phía Nam: Đường ra huyện thửa Phong bản đồ | END=Bắc: Nghĩa Liệt sĩ huyện (cũ) Nam: đường 5.000 đội (hết đất số 2, tờ số 51) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=2800,2400 | ROAD=Phía trang Bù Đăng Đường Quốc lộ 14 Phía ra huyện thửa bản | START=Bắc: Nghĩa Liệt sĩ huyện (cũ) Cổng Nam: đường Đức đội (từ Thành đất số 60, tờ đồ số 51) | END=ngang khu Thiện (nhà 4.100 - Dung) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=2200,1900 | ROAD=Cống Đường Quốc lộ 14 Đức Thành | START=Phía vào hội ngang khu Đức Thiện (nhà Phía - Dung) đất số đồ số | END=Bắc: đường trường khu Thiện 3.200 Nam: Hết thửa 117, tờ bản 10 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=1700,1500 | ROAD=Phía vào khu Đường Quốc lộ 14 Phía thửa | START=Bắc: đường hội trường Ranh Đức Thiện Phong Nam: Từ (cũ) đất số 118, | END=giới Đức - Minh Hưng 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=1700,1500 | ROAD=tờ bản Ranh Đường Quốc lộ 14 Phong Hưng | START=đồ số 10 giới Đức Ngã - Minh Thác (cũ) | END=ba đường vào 2.400 Đứng thôn 01 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=3200,2700 | ROAD=Ngã Đường Quốc lộ 14 Thác 01 | START=Ranh ba đường vào Cao Đứng thôn đất số số 179 | END=xưởng điều Nguyên thửa 4.500 37, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
