TABLE=082 | AREA=Xã Thọ Sơn | RECORDS=49 | GROUPS=49 | REVIEW=49
ID=NQ28-082-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,920 | ROAD=82. Xã Thọ Sơn Tên đường TT giao thông Đường Quốc lộ Ranh giới | START=Đoạn đường xã Phú Giáp ranh cây | END=Giá Giá thương đất ở mại, vụ xăng 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Sơn cũ | START=Duy Kỳ Hết ranh đất | END=nhà bà | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-082-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=880,760 | ROAD=Đường Quốc lộ Giáp ranh | START=cây Lương (thửa | END=đất số 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-02 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=xăng Duy Kỳ | START=48, tờ bản 95) | END=đồ số | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-082-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1300,1100 | ROAD=Đường Quốc lộ Ranh đất nhà | START=ông Ngã ba đường | END=vào 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-03 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Nhâm (thửa | START=đất số đập thủy lợi | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-082-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1600,1400 | ROAD=172, tờ bản 95) Đường Quốc lộ Ngã ba đường | START=đồ số vào Ngã ba đường | END=vào 2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-04 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=đập thủy lợi | START=cổng Nông | END=trường | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-082-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1300,1100 | ROAD=Đường Quốc lộ Ngã ba đường | START=vào Ranh giới tỉnh | END=Lâm 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-05 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=công Nông | START=trường Đồng | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-082-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1100,970 | ROAD=Giáp ranh Đường Quốc lộ Sơn cũ (Km | START=xã Phú Chợ Thọ Sơn 896 + | END=(Km 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-06 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=400) | START=898 + 600) | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-082-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1600,1400 | ROAD=Đường Quốc lộ Chợ Thọ Sơn | START=(Km Ngã ba Sơn | END=Hiệp 2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-07 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=898 + 600) | START=(Km 899 + | END=800) | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
