TABLE=083 | AREA=Xã Đắk Nhau | RECORDS=40 | GROUPS=40 | REVIEW=40
ID=NQ28-083-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=500,430 | ROAD=83. Xã Đắk Nhau Tên đường giao TT thông Đường ĐT 760 Giáp | START=Đoạn đường ranh xã Bom Giáp | END=Giá đất Giá thương đất mại, dịch ở vụ ranh 720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=630,540 | ROAD=Bo Giáp Đường ĐT 760 204, 79 | START=thửa bản đồ Hết ranh ranh thửa hàng tờ bản đồ số thoại Sơn | END=204, tờ số 79 cửa điện 900 Ngọc | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=470,410 | ROAD=Hết Đường ĐT 760 điện Sơn | START=ranh cửa hàng Ngã ba thoại Ngọc đi thôn | END=thôn 2 680 5 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=320,270 | ROAD=Ngã Đường ĐT 760B trâu | START=ba chuồng Ngã ba | END=Nùng 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=350,300 | ROAD=Đường ĐT Thửa bản 760B.Nhựa | START=đất số 20, tờ Hết cây đồ số 2S Chung | END=xăng 500 Chiều | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=250,220 | ROAD=Đường ĐT Hết 760B.Nhựa Chung | START=Hết thửa cây xăng số 14, Chiều đồ số | END=đất tờ bản 360 9 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=390,340 | ROAD=Đường liên xã Bom Giáp Bo - Đắk Nhau Bo | START=ranh xã Bom Ngã ba | END=Nùng 560 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=560,480 | ROAD=Đường liên xã Bom Ngã Bo - Đắk Nhau | START=Hết thửa ba Nùng số 93, đồ số | END=đất tờ bản 800 51 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=350,300 | ROAD=Hết Đường ĐT 93, tờ 760B.Nhựa 51 | START=thửa đất số Hết thửa bản đồ số số 27, đồ số | END=đất tờ bản 500 49 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=250,220 | ROAD=Hết Đường ĐT 27, tờ 760B.Nhựa 49 | START=thửa đất số Hết thửa bản đồ số số 191, đồ số | END=đất tờ bản 360 46 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=350,300 | ROAD=Hết Đường ĐT 191, 760B.Nhựa 46 | START=thửa đất số Hết thửa tờ bản đồ số số 180, đồ số | END=đất tờ bản 500 47 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
