TABLE=084 | AREA=Xã Bom Bo | RECORDS=47 | GROUPS=47 | REVIEW=47
ID=NQ28-084-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=500,430 | ROAD=84. Xã Bom Bo Tên đường TT giao thông Đường Cầu Sông Lấp (giáp ĐT 760 Minh Hưng) | START=Đoạn đường ranh xã Thửa đất số bản đồ số | END=Giá Giá thương đất ở dịch 34,124 tờ 720 78 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=570,490 | ROAD=Đường Thửa đất số 34, 124 ĐT 760 đồ số 78 | START=Thửa đất số tờ bản bản đồ số Thắng Bền) | END=54, 48 tờ 77 (Nhà 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1100,970 | ROAD=Đường Thửa đất số 54, 48 ĐT 760 đồ số 77 | START=Thửa đất số tờ bản bản đồ số Thanh Hương) | END=73, 65 tờ 75 (Nhà 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=630,540 | ROAD=Đường Thửa đất số 73, 65 ĐT 760 đồ số 75 | START=tờ bản Ngã ba Tình | END=Nghĩa 900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1200,1000 | ROAD=Đường Ngã ba Tình Nghĩa ĐT 760 | START=Thửa đất số đồ số 66; 1, tờ bản đồ (Đường vào | END=57, tờ bản Thửa đất số 1.700 số 71 nhà thờ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1100,970 | ROAD=Thửa đất số 57, tờ Đường số 66; Thửa đất số ĐT 760 đồ số 71 | START=bản đồ Thửa đất số 1, tờ bản bản đồ số chú Nam) | END=178, 177 tờ 80 (Cống nhà 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1200,1000 | ROAD=Thửa đất số 178, 177 Đường đồ số 80 (Cổng nhà ĐT 760 Nam) | START=tờ bản Thửa đất số chú bản đồ số trường thôn | END=66, 67 tờ 79 (Hội 1.700 3) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=950,810 | ROAD=Đường Thửa đất số 66, 67 ĐT 760 đồ số 79 (Hội trường | START=Thửa đất số tờ bản bản đồ số thôn 3) Cừ - Quy dân cư thôn | END=141, 308 tờ 58 (Nhà ông 1.400 hoạch khu 4) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=630,540 | ROAD=Thửa đất số 141, 308, Đường bản đồ số 58 (Nhà ĐT 760 Quy hoạch khu dân | START=tờ Thửa đất số ông Cừ - bản đồ số cư thôn | END=97, 82 tờ 900 55 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=540,460 | ROAD=4) Đường Thửa đất số 97, 82 ĐT 760 đồ số 55 | START=tờ bản Thửa đất số bản đồ số | END=74, 64 tờ 770 55 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=470,410 | ROAD=Đường Thửa đất số 74,64 ĐT 760 số 55 | START=tờ bản đồ Thửa đất số bản đồ số | END=26, 197 tờ 680 55 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
