TABLE=085 | AREA=Xã Thiện Hưng | RECORDS=134 | GROUPS=134 | REVIEW=134
ID=NQ28-085-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=4700,4000 | ROAD=85. Xã Thiện Hưng Tên đường giao TT thông Ranh Đường Nguyễn Huệ Hòa | START=Đoạn đường Ngã tư xã Thanh (Thửa (cũ) bản đồ | END=Giá đất ở mại, vòng xoay đất số 51, tờ 6.700 số 74) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=5000 | ROAD=Ngã xoay Đường Nguyễn Huệ số 51, số 74) | START=Cây xăng tư vòng Thanh (Thửa đất hết ranh tờ bản đồ số 73, 09 | END=thị trấn Bình (cũ), thửa đất 7,200 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-085-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=5700,4900 | ROAD=Cây trấn Đường Nguyễn Huệ (cũ), thửa tờ bản | START=xăng thị Thanh Bình Hết ranh hết ranh số 33, đất số 73, 44 đồ số 09 | END=thửa đất tờ bản đồ số 8.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=4700,4000 | ROAD=Hết Đường Nguyễn Huệ đất bản | START=ranh thửa Đường số 33, tờ Trỗi đồ số 44 | END=Nguyễn Văn 6.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=3900,3400 | ROAD=Đường Đường Nguyễn Huệ Văn | START=Nguyễn Ranh xã Trỗi Hưng cũ | END=Thiện 5.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=5700,4900 | ROAD=Đường Lê Duẩn Ngã | START=Giáp Đường ba Công | END=8.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=4700,4000 | ROAD=chánh Giáp Nguyễn Đường Lê Duẩn hết 18, 51 | START=Nguyễn thửa đất bản đồ Đường Giáp đường Trãi và Nguyễn thửa đất số Bằng và tờ bản đồ số đất số số 46 | END=Trãi và hết số 18, tờ số 51 Lương hết thửa 6.700 34, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=3700,3200 | ROAD=Giáp Nguyễn Đường Lê Duẩn Bằng thửa tờ bản | START=đường Ngã ba Lương (Đường và hết thửa đất đất số 34, bản đồ đồ số 46 | END=Sở Nhỏ D11) và hết 5.300 số 496, tờ số 10 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=3200,2800 | ROAD=Ngã (Đường Đường Lê Duẩn hết 496, số 10 | START=ba Sở Nhỏ D11) và Hết thửa thửa đất số 633, tờ tờ bản đồ 10 | END=đất số bản đồ số 4.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=1700,1400 | ROAD=Hết Đường Lê Duẩn 633, số 10 | START=thửa đất số Giáp suối tờ bản đồ đất ông | END=(hết ranh 2.400 Trần Bù Tỏ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1300,1200 | ROAD=Giáp Đường Lê Duẩn ranh Trần | START=Hết ranh suối (hết số 94 và đất ông số 91, Bù Tỏ) 20) | END=thửa đất thửa đất 1.900 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=950,820 | ROAD=Hết đất Đường Lê Duẩn thửa tờ bản | START=ranh thửa số 94 và Cầu sông đất số 91, đồ số 20) | END=Bé mới 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=3500,3000 | ROAD=Đường Hùng Vương Vòng | START=Giao lộ xoay Phạm | END=Đường 5.000 Ngọc Thạch | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=3100,2700 | ROAD=Giao Đường Hùng Vương Phạm Thạch | START=lộ Đường Ngọc Hết tuyến | END=4.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=2500,2200 | ROAD=Đường Lê Hồng Toàn Phong | START=tuyến | END=3.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=4000,3500 | ROAD=Đường trong khu vực Toàn chợ (cũ) | START=tuyến | END=5.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=2200,1900 | ROAD=Đường Nguyễn Trãi Toàn | START=tuyến | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=2200,1900 | ROAD=Đường Lê Văn Sỹ Toàn | START=tuyến | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=2200,1900 | ROAD=Đường Trần Huy Liệu Toàn | START=tuyến | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=2400,2000 | ROAD=Đường Nguyễn Toàn Lương Bằng | START=tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=3100,2600 | ROAD=Đường Phạm Ngọc Đường (Đường Thạch | START=Bệnh viện Lê Duẩn (Cầu số ĐT 759) Tài) cũ) | END=Bù Đốp 1 (ông Điểu 4.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=1700,1400 | ROAD=Đường Phạm Ngọc Bệnh | START=viện Bù Giáp ranh | END=xã Thanh 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=4400 | ROAD=Đốp Thạch (ông cũ) Đường Nguyễn Văn Đường Trỗi Huệ | START=(Cầu số 1 Hòa (cũ) Điểu Tài) Nguyễn Đường Thụ (D1) | END=Hoàng Văn 6.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-085-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=2200,1900 | ROAD=Đường trong Trung Toàn tâm thương mại | START=tuyến | END=3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=2200,1900 | ROAD=Đường Nguyễn Đình Toàn Chiểu | START=tuyến | END=3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=2200,1900 | ROAD=Đường Đường 7/4 Lương | START=Nguyễn Đường Bằng | END=Chu Văn An 3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=2200,1900 | ROAD=Đường Phan Đăng Toàn Lưu | START=tuyến | END=3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=2200,1900 | ROAD=Đường Lý Tự Trọng Toàn | START=tuyến | END=3.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=2800,2400 | ROAD=Đường Chu Văn An Toàn | START=tuyến | END=4.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=3500,3000 | ROAD=Đường Hoàng Văn Vòng Thụ Đường Hoàng Văn Đường | START=Đường xoay Đường tránh | END=tránh 5.000 Nguyễn Văn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=2200,1900 | ROAD=3! Thụ Đường Hoàng Văn Đường Văn Thụ (nối dài) | START=Trỗi Nguyễn Đường Trỗi | END=4.200 ĐT 759B 3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=2700,2300 | ROAD=Đường Tô Hiến Toàn Thành | START=tuyến | END=3.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=1300,1100 | ROAD=Đấu Đường khu phố Hùng thửa Thanh Xuân bản | START=nối Đường Đấu nối Vương (từ Hùng Vương đất số 2, tờ đất số đồ số 76) số 16) | END=Đường (thửa 1.800 1, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=2000,1700 | ROAD=Đường Nguyễn Đình Toàn Chiểu | START=tuyến | END=2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=2000,1700 | ROAD=Đường Lương Đình Toàn Của | START=tuyến | END=2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=2000,1700 | ROAD=Đường Đường Cống Quỳnh Huệ | START=Giáp đường Nguyễn Nguyễn (D2) | END=Đình Chiểu 2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=1100,960 | ROAD=Đường nhựa Cầu Đường Đơn (Đường | START=Lê Duẩn Trụ điện ĐT 759) | END=02 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=560,480 | ROAD=Đường nhựa cần Trụ Đơn | START=điện 02 Hết tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=1500,1300 | ROAD=Đường Lê Thị Riêng Toàn | START=tuyến | END=2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=1300,1200 | ROAD=Đường D4 Toàn | START=tuyến | END=1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=1300,1200 | ROAD=Đường Tôn Thất Toàn Tùng | START=tuyến | END=1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=1300,1200 | ROAD=Đường Suối Đá ấp Đường Thanh Trung Huệ | START=Nguyễn Hết ranh Thị Thùy | END=đất bà Bùi 1.900 Dung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=950,820 | ROAD=Hết Bùi Đường Suối Đá ấp Dung Thanh Trung số 212 đất | START=(thửa đất thửa đất bản đồ ranh đất bà Thị Thùy (thửa đất Suối Đá và thửa số 24, tờ | END=số 212 và số 24, tờ số 02) 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
