TABLE=086 | AREA=Xã Tân Tiến | RECORDS=75 | GROUPS=75 | REVIEW=75
ID=NQ28-086-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=640,550 | ROAD=86. Xã Tân Tiến Tên đường giao TT thông Giáp Đường ĐT 759B Lộc | START=Đoạn đường ranh xã Giáp ranh Tấn Quang | END=Giá Giá thương đất ở mại, xã Lộc 920 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1000,860 | ROAD=Giáp Đường ĐT 759B Lộc | START=Hết ranh ranh xã xã Tân Hiệp (cũ) (cũ) | END=UBND Thành 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1300,1100 | ROAD=Hết Đường ĐT 759B xã Tân (cũ) | START=ranh UBND Giáo xứ Thành Thành | END=Tân 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1700,1400 | ROAD=Giáo Đường ĐT 759B Thành | START=Giáp ranh xứ Tân ông Võ Chiết | END=đất Đình 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=3000,2600 | ROAD=Giáp Đường ĐT 759B ông Chiết | START=ranh đất Hết ranh Võ Đình điện xã Thành | END=Bưu Tân 4.300 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1700,1400 | ROAD=Hết Đường ĐT 759B điện Thành | START=Ngã ba ranh Bưu xóm (hết xã Tân thửa đất (cũ) tờ bản | END=đường ranh 2.400 số 51, đồ số 21) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1000,860 | ROAD=Đường ĐT 759B Ngã | START=ba đường Giáp ranh | END=xã Tân 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1000,860 | ROAD=xóm thửa tờ bản Giáp Đường ĐT 759B Tân | START=(hết ranh Tiến cũ đất số 51, đồ số 21) Ngã ba ranh xã Thành (cũ) nhựa K2 | END=Đường 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1200,1100 | ROAD=Ngã Đường ĐT 759B nhựa | START=ba Đường Giáp ranh K2 nhà bà | END=đất 1.800 Lê Bên | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=2000,1700 | ROAD=Giáp Đường ĐT 759B nhà | START=ranh đất Cổng chào bà Lê Bên Tân An | END=ấp 2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1200,1100 | ROAD=Cổng Đường ĐT 759B Tân Đường giao thông | START=chào ấp Giáp ranh Thanh An | END=xã 1.800 Hòa (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=340,290 | ROAD=đấu nối từ Đường ĐT 759B vào 200m (trừ Toàn các đoạn đã quy định giá đất cụ thể trong | START=tuyến | END=480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=2100,1800 | ROAD=Đường liên doanh Đường | START=Hết ranh ĐT 759B Trường Tân Thành | END=đất THCS xã 3.000 cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=1100,910 | ROAD=hết ranh Đường liên doanh Trường xã Tân | START=đất THCS Đồn cầu Thành cũ | END=trắng 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=1300,1100 | ROAD=Đường trong khu vực Toàn chợ Tân Thành | START=tuyến | END=1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân (cổng Lợi Tân | START=Ngã ba ĐT 759B (hết ranh chào ấp đất số 104 thửa đất Lợi) tờ bản | END=Biển Hồ thửa và 720 số 145, đồ số 16) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
