TABLE=087 | AREA=Xã Hưng Phước | RECORDS=23 | GROUPS=23 | REVIEW=23
ID=NQ28-087-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,920 | ROAD=87. Xã Hưng Phước Tên đường giao TT thông Giáp Đường ĐT 759B Thiện | START=Đoạn đường ranh xã Cầu sắt 2 Hưng | END=Giá Giá thương đất ở mại, 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1000,870 | ROAD=Đường ĐT 759B Cầu | START=Hết trụ sở sắt 2 Hưng Phước | END=UBND xã 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=650,560 | ROAD=Hết trụ Đường ĐT 759B UBND Hưng | START=sở Cửa khẩu xã Diệu Phước | END=Hoàng 940 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=600,510 | ROAD=Đường Quy hoạch trung tâm UBND xã Toàn Phước Thiện (cũ) Đường giao thông | START=tuyến | END=850 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=300,260 | ROAD=đấu nối từ Đường ĐT 759B vào 200m (trừ Toàn các đoạn đã quy định giá đất cụ thể trong | START=tuyến | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=420,360 | ROAD=Đường nhựa ấp Tân Đường Hưng 759B | START=Hết ranh nhà hóa ấp Tân ĐT (Tờ bản đồ thửa đất số thửa đất số bản đồ số | END=văn Hưng số 62, 600 9 đến 106, tờ 63) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=360,310 | ROAD=Đường nhựa vào Đường trạm y tế (đối diện 759B Cổng chào ấp 6) | START=Ngã ba Nhà ấp Tân Hưng ĐT bản đồ số đất số 19 đến đồ số 48, thửa 771) | END=văn hóa (Tờ 61, thửa 510 tờ bản đất số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=360,310 | ROAD=Đường vào trường Đường học cũ 759B | START=Vòng ra chợ (Thửa đất ĐT bản đồ số thửa đất số bản đồ số | END=cũ số 104, tờ 66 đến 510 45, tờ 62) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=360,310 | ROAD=Đường vào nhà văn Đường hóa ấp Tân Trạch 759B | START=Ngã ba nhà ĐT Hương (Tờ số 66, thửa đến thửa đất | END=bà bản đồ 510 đất số 16 số 76) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=360,310 | ROAD=Đường nhựa ấp Điện Đường Ảnh 759B | START=Nhà Văn hóa Điện Ảnh (Đập ĐT (Tờ bản đồ thửa đất số Thửa đất số bản đồ số | END=ấp M16) số 481, 510 16 đến 119, tờ 49) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=360,310 | ROAD=Đường DH07 (đường Đường vào ấp Tân Lập) 759B | START=Ban quản phòng hộ Bù ĐT (Tờ bản đồ thửa đất số thửa đất số | END=lý rừng Đốp số 39, 510 22 đến 7) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
