TABLE=088 | AREA=Xã Đắk Ơ | RECORDS=26 | GROUPS=26 | REVIEW=26
ID=NQ28-088-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=690,590 | ROAD=88. Xã Đắk Ơ Tên đường TT giao thông Giáp ranh Đường ĐT 741 xã Đắk Ơ | START=Đoạn đường Hết ranh xã Phú Nghĩa - đất số đất số tờ bản | END=Giá Giá thương đất ở mại, thửa 72, thửa 990 55 thuộc đồ số 47 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=820,700 | ROAD=Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=Hết ranh đất số đất số 72, bản đồ 55 thuộc tờ đến thửa 47 477, | END=thửa 137, tờ số 44 1.200 đất số tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1700,1400 | ROAD=Hết ranh thửa Đường ĐT 741 137, tờ bản | START=số 48 đất số Hết ranh đồ số 44 đến đất số | END=thửa 2.400 57, thửa | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=4000,3500 | ROAD=thửa đất số đồ số 48 Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=477, tờ bản đất số tờ bản đất số 57, Trường 51 thuộc tờ trạm 62 | END=51 thuộc đồ số 62 học, 5.800 y tế | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1700,1400 | ROAD=Đường ĐT 741 Trường học, | START=Hết ranh đất số trạm y tế đất số thuộc số 46 | END=thửa 58, thửa 463 2.400 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=820,700 | ROAD=Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=Hết ranh đất số 58, đất số 463 thuộc tờ đất số 46 tờ bản | END=thửa 17, thửa 1.200 87 thuộc đồ số 41 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=570,490 | ROAD=Hết ranh Thửa Đường ĐT 741 thửa đất số bản đồ số | START=đất số 17, Giáp 87 thuộc tờ Gia Mập 41 | END=ranh xã Bù 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=760,650 | ROAD=Đường huyện 3 (Ngã tư chợ đi Hết ranh thửa thôn 6 xã Đắk tờ bản đồ Ơ) | START=Hết ranh đất số đất số 29, bản đồ số 49 đến thửa 561, số 24 | END=thửa 121, tờ số 50 1.100 đất số tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=500,430 | ROAD=Đường huyện 3 Hết ranh Thửa (Ngã tư chợ đi 121, tờ bản thôn 6 xã Đắk thửa đất số Ơ) đồ số 24 | START=đất số đồ số 50 đến Ngã 561, tờ bản vào Mỏ | END=ba đường 720 Đá | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=380,320 | ROAD=Đường huyện 3 (Ngã tư chợ đi Ngã ba đường thôn 6 xã Đắk Đá Ơ) | START=vào Mỏ Ranh Gia Mập | END=giới xã Bù 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES= | ROAD=Đường huyện (Ngã tư chợ Hết ranh thửa | START=Hết ranh đất số đất số 3, | END=thửa 18, thửa | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-088-S01-TT0011-02 | SEC=non-agricultural | TT=11 | REL=main | PRICES=500,430 | ROAD=đi thôn Bù tờ bản đồ Bưng, thôn 10) | START=đất số số 59 thuộc số 39 | END=233 720 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0011-03 | SEC=non-agricultural | TT=11 | REL=main | PRICES= | ROAD=Đường huyện Hết ranh thửa (Ngã tư chợ | START=đất số 18, Giáp | END=đường | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=380,320 | ROAD=thửa đất số đi thôn Bù bản đồ số Bưng, thôn 10) | START=233 thuộc tờ tuần 39 giới | END=tra biên 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=380,320 | ROAD=Đường huyện 01 (Đường thôn Giáp Đường | START=ĐT 741 Ngã | END=ba thôn 3 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0009-02 | SEC=non-agricultural | TT=9 | REL=main | PRICES= | ROAD=thôn 3) | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=380,320 | ROAD=Đường huyện 01 (Đường thôn Ngã ba thôn | START=Giáp 3 tuần | END=đường tra biên 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0009-03 | SEC=non-agricultural | TT=9 | REL=main | PRICES= | ROAD=thôn 3) | START=giới | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=380,320 | ROAD=Đường Đắk Ơ 06 (thôn Đăk Giáp Đường Lim đi thôn 4) | START=Đến ĐT 741 đường 12 | END=ngã ba Đắk Ơ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=380,320 | ROAD=Đường Đắk Ơ Giáp Đường | START=Đến ĐT 741 đường | END=ngã ba Đắk Ơ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0014-02 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=Các tuyến | START=12 | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=2700,2300 | ROAD=Các tuyến đường thuộc thuộc cụm Khu Quy hoạch (Khu Quy chi tiết tỷ lệ tỷ lệ 1/500 1/500 trung tâm Đắk Ơ) xã Đắk Ơ | START=đường nội bộ CT36, CT43 hoạch chi tiết trung tâm xã | END=3.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=630,540 | ROAD=Các tuyến Các tuyến thuộc cụm đường thuộc CT14, CT15, Khu Quy hoạch CT33, CT34, chi tiết tỷ lệ CT39 (Khu 1/500 trung tâm chi tiết tỷ lệ xã Đắk Ơ tâm xã Đắk | START=đường nội bộ CT08, CT09, CT16, CT37, Quy hoạch 1/500 trung Ơ) | END=900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=380,320 | ROAD=Các tuyến đường thuộc Khu Quy hoạch Các tuyến chi tiết tỷ lệ còn lại 1/500 trung tâm xã Đắk Ơ | START=đường nội bộ | END=540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=320,270 | ROAD=Các tuyến Đường nhựa, Toàn tuyến bê tông còn lại | START= | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-088-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=250,220 | ROAD=Các tuyến Toàn tuyến đường còn lại | START= | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
