TABLE=090 | AREA=Xã Đa Kia | RECORDS=57 | GROUPS=56 | REVIEW=57
ID=NQ28-090-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,960 | ROAD=90. Xã Đa Kia Tên đường giao TT thông Đầu thửa Đường ĐT 759 bản đồ số xã Đa Kia) | START=Đoạn đường đất số 44 tờ hết ranh 119 (phía Bình Tân | END=Giá đất ở mại, nghĩa địa 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=840,720 | ROAD=Hết ranh Đường ĐT 759 Bình Tân | START=Cầu Đa nghĩa địa thửa đất bản đồ | END=Kia hết số 142 tờ 1.200 số 106 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=910,780 | ROAD=Cầu Đa Kia Đường ĐT 759 đất số 142 số 106 | START=hết thửa Đầu ranh tờ bản đồ Hóa thôn thuộc thửa | END=Nhà Văn Bình Tân 1.300 116 tờ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=980,840 | ROAD=Đầu ranh Hóa thôn thuộc thửa Đường ĐT 759 bản đồ số (Hướng về Đa Kia) | START=bản đồ (Hướng xã Đa Kia) Nhà Văn Bình Tân 116 từ Ranh giới 106 Hưng UBND xã | END=số 106 về UBND xã Thiện 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1400,1200 | ROAD=Từ hết ranh Đường ĐT 759 44 tờ 119 Phước Bình | START=Hết ranh thửa số số 160, hướng đi hết ranh tờ số 12 | END=thửa đất tờ số 12 và 2.000 thửa 154 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1100,960 | ROAD=Hết ranh 160, tờ số Đường ĐT 759 ranh thửa 12 hướng Bình | START=thửa đất số Tiết ranh 12 và hết số 553, 154 tờ số số 29 và đi Phước số 761 29 | END=thửa đất tờ bản đồ thửa đất 1.600 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1800,1500 | ROAD=Hết ranh 553, tờ bản Đường ĐT 759 và thửa đất bản đồ số đi Phước | START=thửa đất số Hết ranh đồ số 29 số 661, số 761 tờ số 45 và 29 hướng số 45 tờ Bình 45 | END=thửa đất tờ bản đồ thửa đất 2.500 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1100,960 | ROAD=Hết ranh 661, tờ bản Đường ĐT 759 và thửa đất bản đồ số đi Phước | START=thửa đất số đồ số 45 Hết ranh số 45 tờ số 374 45 hướng 46 Bình | END=thửa đất tờ bản đồ số 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=980,840 | ROAD=Từ ranh thửa Đường ĐT 759 tờ số 53 hướng Phước Bình | START=số 10 Đến hết đi đất số | END=ranh thửa 1.400 52, tờ số 53 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=250,210 | ROAD=Ngã ba tiếp Đường ĐT 760 Đường ĐT | START=Ngã tư giáp lành Bình 759 (thửa đất bản đồ | END=Nhà thờ tin Hà 1 350 số 473, tờ số 31) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=280,240 | ROAD=Ngã tư Nhà Đường ĐT 760 lành Bình 473 tờ 31) | START=Hết ranh thờ tin thôn Bình Hà 1 (thửa (thửa đất bản đồ | END=Hội trường Hà 2 400 số 50, tờ số 22) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=320,270 | ROAD=Hết ranh thôn Bình Đường ĐT 760 đất số 50, số 22) | START=Hội trường Suối Ten Hà 2 (thửa số 53, tờ bản đồ 15) | END=(thửa đất tờ bản đồ số 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=210,180 | ROAD=Suối Ten Đường ĐT 760 53, tờ bản | START=cầu Sông (thửa đất số đất số đồ số 15) số 03) | END=Bé (thửa 35, tờ bản đồ 300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=220,190 | ROAD=Đường vào thôn Bình Tiến 1 Giáp đường (Đường vào Trung tâm hành | START=Đầu ranh số 112 ĐT 759 102 (ông hướng | END=thửa đất tờ bản đồ số 320 Bình) ra Đường | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=250,210 | ROAD=chính xã hiện hữu) Đường vào thôn Đầu ranh Bình Tiến 1 (Đường vào 112 tờ bản Trung tâm hành (ông Bình) đường ĐT chính xã hiện hữu) | START=ĐT 759 Hết ranh thửa đất số số 86 (ông đồ số 102 Văn Thắng), Hướng ra đồ số 102 759 mặt khu hành chính | END=thửa đất Nguyễn tờ bản 350 (Đường Trung tâm xã) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=260,220 | ROAD=Đường quy hoạch vào trung Giáp Đường tâm hành chính xã cũ | START=Khu trung ĐT 759 chính xã Minh cũ | END=tâm hành Phước 370 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=250,220 | ROAD=Đường thôn Bình Giáp Đường Tân | START=Ngã ba vào trung ĐT 759 chính xã ranh thửa tờ bản | END=đường rẽ tâm hành cũ (hết 360 đất số 8, đồ 106) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
