TABLE=092 | AREA=Xã Phú Riềng | RECORDS=89 | GROUPS=89 | REVIEW=89
ID=NQ28-092-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1500,1300 | ROAD=92. Xã Phú Riềng Đường ĐT 741 | START=Đoạn đường Đường Giáp ranh xã Thuận Lợi chùa | END=Giá Giá thương đất ở mại, vào 2.100 Pháp Tịnh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1800,1500 | ROAD=Đường ĐT 741 | START=Trường Đường vào Nguyễn chùa Pháp Tịnh 200m hướng | END=THCS Du + 2.600 đi về xã Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1700,1400 | ROAD=Đường ĐT 741 | START=Tân Trường THCS Ngã Nguyễn Du + vào 200m đi về chế hướng xã Bình cao Tân | END=ba đường Nhà máy 2.400 biến mủ su | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1000,870 | ROAD=Đường ĐT 741 | START=Ngã ba đường vào Nhà máy Cầu chế biến mủ cao su | END=suối Rạt 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1200,1000 | ROAD=Đường ĐT 741 | START=Giáp hoạch Cầu suối Rạt TTHC Phú | END=khu quy chi tiết 1.700 huyện Riềng cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=3000,2600 | ROAD=Đường ĐT 741 | START=Giáp khu quy Hết hoạch chi tiết hoạch TTHC huyện TTHC Phú Riềng cũ Phú | END=khu quy chi tiết 4.300 huyện Riềng cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1200,1000 | ROAD=Đường ĐT 741 | START=Ngã Hết Khu quy Đường hoạch chi tiết (thửa TTHC huyện tờ bản Phú Riềng cũ 93) | END=ba giao ĐT 741 đất số 35, 1.700 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=1100,920 | ROAD=Đường ĐT 741 | START=Ngã ba giao Đường ĐT 741 Hết (thửa đất số 35, trạm tờ bản đồ số | END=ranh đất 1.500 thu phí | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1800,1500 | ROAD=Đường ĐT 741 | START=93) Giáp đất trạm Ngã Tân thu phí | END=ba đi Long 2.600 cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=3000,2600 | ROAD=Đường ĐT 741 | START=Ngã cũ đi Ngã ba đi Long 300m Tân cũ hướng Phước | END=ba Bù Nho Long Hà + đi về 4.300 phường Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1800,1500 | ROAD=Đường ĐT 741 | START=Ngã ba Bù Nho Đường cũ đi Long Hà + suối 300m đi về 200m hướng phường phường Phước Bình Bình | END=vào Tân + hướng đi 2.600 Phước | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
