TABLE=093 | AREA=Xã Phú Trung | RECORDS=36 | GROUPS=36 | REVIEW=36
ID=NQ28-093-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=950,820 | ROAD=93. Xã Phú Trung Tên đường giao TT thông Giáp ranh Đường ĐT 759 phường Long | START=Đoạn đường Ngã ba đường Phước Nhà văn hóa Đồng Tiến | END=Giá Giá thương đất ở mại, vụ vào thôn 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1200,1000 | ROAD=Ngã ba đường Đường ĐT 759 vào Nhà thôn Đồng | START=văn hóa Ngã ba đường Tiến | END=N7 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=830,710 | ROAD=Ngã ba đường Đường ĐT 759 N7 | START=Giáp ranh Trung | END=xã Nghĩa 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=600,510 | ROAD=Ngã ba Quốc Đường ĐT 753B 14 và Đường (ĐH 312 cũ) 753B (ĐH | START=lộ UBND xã ĐT về hướng 312 cũ) 14 | END=+ 500m Quốc lộ 850 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=890,770 | ROAD=Đường ĐT 753B UBND xã | START=+ 500m UBND xã | END=1000m về 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=600,510 | ROAD=(ĐH 312 cũ) về hướng lộ 14 UBND xã Đường ĐT 753B về phía xã (ĐH 312 cũ) Riềng | START=Quốc phía xã Phú 1000m Giáp ranh Phú Phú Riềng | END=Riềng giới xã 850 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=1200,1000 | ROAD=Ranh xã Đường Quốc lộ 14 Tâm | START=Đồng Ranh xã Nghĩa Trung | END=1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=480,410 | ROAD=Giáp Đường Đường Thác Ba 759 | START=Giáp đường ĐT 759 + 200m Thác Ba | END=ĐT về 680 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=360,310 | ROAD=Giáp Đường Đường Thác Ba 759 + 200m Thác Ba | START=hết ranh đất ĐT Nguyễn Thị về Như (thửa 101, tờ bản 101) | END=bà Quỳnh đất số 510 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=270,230 | ROAD=Từ đầu thửa ông Nguyễn Đường Thác Ba Vàng (thửa số 27, tờ | START=đất Như đất Đến Cầu Thác bản đồ | END=Ba 380 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=270,230 | ROAD=số 102) Đường Thác Ba Từ cầu Thác | START=Đường thôn Ba Tâm đi Nghĩa | END=Đồng 380 Trung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=270,230 | ROAD=Đường thôn Đồng Tâm di Nghĩa Giáp thôn Trung | START=Đến Giáp Bù Tổ Nghĩa Trung | END=ranh xã 380 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=270,230 | ROAD=Đường Bến Tre Đường ĐT | START=Đường xã 759 Trung - xã Tân (cũ) | END=Phú Phước 380 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=540,460 | ROAD=Đường Bù Nho - Đường ĐT Phước Tân (cũ) | START=Đường ĐT 759 200m về xã Riềng | END=759 + Phú 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=360,310 | ROAD=Đường ĐT Đường Bù Nho - 200m về Phước Tân (cũ) Riềng | START=Ngã ba Đường 759 + Phước Tân xã Phú Trung (cũ) Đường ĐT (ĐH 312 cũ) | END=đi - Phú kết nối 510 753B | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=250,210 | ROAD=Ngã ba đường Phú Trung Đường Bù Nho - Phước Tân Phước Tân (cũ) kết nối đường 753B (ĐH | START=xã - xã Giáp ranh (cũ) Riềng ĐT 312 cũ) | END=xã Phú 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=360,310 | ROAD=Đường xã Phú Đường ĐT Trung - xã Phước (ĐH 312 Tân (cũ) | START=Giáp lô CS 753B ranh thửa cũ) tờ 29 | END=NT (hết đất số 21 510 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=320,280 | ROAD=Đường xã Phú Giáp lô CS Trung - xã Phước (hết ranh Tân (cũ) đất số 21 | START=Hết thửa đất NT thửa 115 của ông tờ 24) Văn Thông | END=251 tờ Phạm 460 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=320,280 | ROAD=Đường Phú Trung Đường ĐH3 | START=2 Giáp đường | END=Phước 460 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=950,820 | ROAD=- Phước Tân (cũ) kết nối ĐH 312 cũ với ĐT 759 Đường N4 Toàn tuyến | START=Tân - Bù Nho | END=(cũ) 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=950,820 | ROAD=Đường N5 Toàn tuyến | START= | END=1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=950,820 | ROAD=Đường N7 Toàn tuyến | START= | END=1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=860,730 | ROAD=Đường D1 Toàn tuyến Đường giao thông | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=320,280 | ROAD=đấu nối trục đường Quốc lộ 14 Toàn tuyến và ĐT 753B (ĐH | START= | END=460 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0312-01 | SEC=non-agricultural | TT=312 | REL=main | PRICES= | ROAD=cũ) phạm vi 200m | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-093-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=300,260 | ROAD=Đường giao thông đấu nối trục Toàn tuyến Đường ĐT 759 phạm vi 200m | START= | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=270,230 | ROAD=Đường Đồng Tâm Đường Thác - Bù Tố | START=Giáp ranh Ba Phước Long | END=phường 380 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-093-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=710,610 | ROAD=Đường D2 Toàn tuyến | START= | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
