TABLE=094 | AREA=Xã Long Hà | RECORDS=31 | GROUPS=31 | REVIEW=31
ID=NQ28-094-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=830,710 | ROAD=94. Xã Long Hà Tên đường giao TT thông Giáp Đường ĐT 757 Phú | START=Đoạn đường Hết đất ranh xã Tiểu học Riềng Hà B | END=Giá Giá thương đất ở mại, Trường Long 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=600,510 | ROAD=Hết Đường ĐT 757 Tiểu Hà B | START=Cách UBND đất Trường Long Hà học Long hướng Riềng | END=xã 500m 850 xã Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1100,920 | ROAD=Cách Long Đường ĐT 757 hướng Riềng | START=UBND xã Hết ranh Hà 500m sở UBND xã Phú Long Hà | END=đất trụ xã 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1300,1100 | ROAD=Hết Đường ĐT 757 sở UBND Long | START=Hết ranh ranh đất trụ THPT xã Quyền Hà trường | END=Trường Ngô 1.900 (điểm cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=520,450 | ROAD=Hết THPT Đường ĐT 757 Quyền trường | START=ranh Trường Ngô Cầu Trà (điểm cũ) | END=Thanh 750 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=950,820 | ROAD=Từ ngã Đường Đường ĐT 757B đi xã (cũ) | START=Đầu đập ba ĐT 757 thuộc Thôn Long Bình và thôn Long | END=NT6 11 1.400 Thanh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=710,610 | ROAD=Đầu thuộc Đường ĐT 757B và thôn Long | START=đập NT6 Thôn 11 Chòi mủ Đội Long Thanh | END=tổ 8, 1.000 Hà | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=450,380 | ROAD=Chòi Đường ĐT 757B Đội | START=mủ tổ 8, Giáp ranh Long Hà Bình Tân | END=xã 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=600,510 | ROAD=Đường liên xã Long Giáp Tân (cũ) đi Bù Nho Phú (cũ) | START=Ngã ba bê tông ranh xã Long Tân Riềng ba Nhà Tính) | END=đường thôn 2 (Ngã 850 ông | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=1000,870 | ROAD=Đường liên xã Long Ngã Tân (cũ) - Bù Nho (cũ) bê tông (Khu dân cư thôn Long Long Tân 1, thôn Long ba Nhà Tân 2) Tính) | START=ba đường Giáp ranh thôn QH đấu Tân 2 (Ngã TTHC ông phía Bắc) | END=khu giá 1.400 xã (góc | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=1000,870 | ROAD=Đường liên xã Long Giáp Tân (cũ) - Bù Nho (cũ) QH (Đoạn UBND xã - TTHC | START=ranh khu Ngã ba đấu giá đường xã (góc (TTTM) | END=tiếp giáp QH số 2 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=600,510 | ROAD=TTTM) phía Đường liên xã Long Ngã Tân (cũ) - Bù Nho (cũ) đường (Khu dân cư thôn 4, (TTTM) thôn 5) | START=Tây Nam) Ngã ba ba tiếp giáp Hưng Kiều QH số 2 đất số bản đồ | END=tạp hóa (thửa 850 235, tờ số 118) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=600,510 | ROAD=Ngã Hưng Trung lâm xã Long Tân (cũ) (kéo dài) đất số bản | START=ba tạp hóa Ngã ba Kiều (thửa Hậu Cần 235, tờ Sự đồ số 118) | END=khu đất Quân 850 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=890,770 | ROAD=Tiếp liên Đường quy hoạch số (cũ) 2 (trung tâm thương (cũ) mại Long Tân cũ) 97, tờ | START=giáp đường Ngã ba xã Long Tân vào trường - Bù Nho THCS (thửa đất số (hết ranh bản đồ số đất số bản đồ | END=đường Long Tân 1.300 thửa 527, tờ số 118) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=890,770 | ROAD=118) Đường QH số 3, 4 (Trung tâm thương Toàn mại Long Tân (cũ) | START=tuyến | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=950,820 | ROAD=Đường QH số 5, 6, 7 (Trung tâm thương Toàn mại Long Tân (cũ) | START=tuyến | END=1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=890,770 | ROAD=Khu dân cư Hoàng Các Việt (Công ty TNHH đường MTVTM ĐT BĐS dân Hoàng Việt) | START=tuyến trong Khu cư | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=890,770 | ROAD=Khu dân cư An Phú Các (Công ty TNHH đường MTVDTTM BĐS An dân Phú) | START=tuyến trong khu cư | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
