TABLE=095 | AREA=Xã Bình Tân | RECORDS=37 | GROUPS=37 | REVIEW=37
ID=NQ28-095-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=2700,2300 | ROAD=95. Xã Bình Tân Tên đường giao TT thông Giáp ranh Đường ĐT 741 Phước | START=Đoạn đường Ranh UBND phường Bình Tân Bình 500m về Đồng Xoài | END=Giá Giá thương đất ở mại, xã cũ + 3.800 hướng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=1100,920 | ROAD=Ranh UBND Bình Tân Đường ĐT 741 500m về Đồng Xoài | START=xã cũ + Giáp ranh hướng Hưng cũ | END=xã Long 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=1100,920 | ROAD=Giáp ranh Đường ĐT 741 Hưng cũ | START=Ngã ba xã Long (xã Long 300m về | END=Bình Tân Hưng cũ) 1.500 phía | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=1400,1200 | ROAD=Ngã ba (xã Long Đường ĐT 741 300m về phường Bình | START=phường Bình Bình Tân Ngã ba Hưng cũ) (xã Long phía 300m về Phước Riềng | END=Phước Bình Tân Hưng cũ) 2.000 phía Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=1200,1000 | ROAD=Ngã ba (xã Long Đường ĐT 741 300m về Riềng | START=Bình Tân Hưng cũ) Giáp ranh phía Phú Phú Riềng | END=giới xã 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=300,260 | ROAD=Giáp ranh Đường ĐT 757B Long Hà bên đường) | START=với xã Cách trụ (tính dọc 2 xã 500m xã Long | END=sở UBND về hướng 430 Hà | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=1300,1100 | ROAD=Cách trụ Đường ĐT 757B xã 500m xã Long | START=sở UBND Cầu xã về hướng (thôn Bình Hà | END=Bình Tân 1,900 Tân 4) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=950,820 | ROAD=Cầu xã Đường ĐT 757B (thôn Bình | START=Cầu xã Bình Tân (thôn Bình + 400m Tân 4) Quang | END=Bình Tân Tân 4) 1.400 hướng Lộc | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=830,710 | ROAD=Cầu xã (thôn Bình Đường ĐT 757B 400m hướng Quang (cũ) | START=Đầu Lô Bình Tân đất nhà Tân 4) + Văn Khang Lộc số 98, tờ số 66) | END=53 - NT3, ông Hoàng (thửa 1.200 bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=270,230 | ROAD=Đầu lô 53 nhà ông Đường ĐT 757B Văn Khang đất số 98, đồ số 66) | START=- NT3 đất Ranh thửa Hoàng Lê Thị Lý (thửa số 41, tờ tờ bản số 66) | END=đất bà (thửa đất 380 bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=270,230 | ROAD=Ranh thửa Lê Thị Lý Đường ĐT 757B số 41, tờ 66) | START=đất bà Cầu Lộc (thửa đất (thửa đất bản đồ số bản đồ | END=Quang số 42, tờ 380 số 58) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
