TABLE=002 | AREA=Phường Trấn Biên | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=15-100 | LINES=5969 | HEADING=2. Phường Trấn Biên ---
P=0015 | X=0090.020-0189.540 | Y=0482.060-0493.300 | 2. Phường Trấn Biên
P=0015 | X=0467.690-0517.350 | Y=0500.060-0511.300 | Giá đất cơ
P=0015 | X=0464.330-0520.500 | Y=0513.460-0522.780 | sở sản xuất
P=0015 | X=0427.130-0513.650 | Y=0523.100-0534.340 | Giá đất phi nông
P=0015 | X=0123.650-0177.090 | Y=0534.650-0545.890 | Tên đường
P=0015 | X=0390.380-0515.790 | Y=0534.650-0545.890 | Giá đất thương nghiệp và
P=0015 | X=0198.790-0244.100 | Y=0540.410-0551.650 | Điểm đầu
P=0015 | X=0298.440-0346.360 | Y=0540.410-0551.650 | Điểm cuối
P=0015 | X=0095.810-0108.210 | Y=0542.290-0551.610 | TT
P=0015 | X=0403.820-0410.990 | Y=0546.170-0557.410 | ở
P=0015 | X=0434.090-0521.380 | Y=0546.170-0557.410 | mại, đất sử dụng
P=0015 | X=0124.850-0176.100 | Y=0548.050-0557.370 | giao thông
P=0015 | X=0426.650-0513.540 | Y=0559.570-0568.890 | dịch vụ cho hoạt
P=0015 | X=0480.170-0504.820 | Y=0569.210-0580.450 | động
P=0015 | X=0464.570-0520.190 | Y=0582.610-0591.930 | khoáng sản
P=0015 | X=0114.290-0183.270 | Y=0598.970-0610.210 | Đường Nguyễn
P=0015 | X=0099.170-0104.770 | Y=0606.370-0615.690 | 1
P=0015 | X=0187.030-0307.410 | Y=0606.370-0615.690 | Cầu Rạch Cát Cầu Ghềnh
P=0015 | X=0395.180-0462.260 | Y=0606.370-0615.690 | 20.300 14.200
P=0015 | X=0491.710-0522.280 | Y=0606.370-0615.690 | 12.200
P=0015 | X=0114.290-0165.480 | Y=0610.250-0621.490 | Tri Phương
P=0015 | X=0114.290-0362.610 | Y=0628.270-0639.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0015 | X=0114.290-0376.540 | Y=0639.790-0651.030 | Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến cầu Ghềnh
