TABLE=003 | AREA=Phường Tam Hiệp | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=100-145 | LINES=3212 | HEADING=3. Phường Tam Hiệp ---
P=0100 | X=0090.020-0188.380 | Y=0604.730-0615.970 | 3. Phường Tam Hiệp
P=0100 | X=0483.050-0517.150 | Y=0622.750-0633.990 | Giá đất
P=0100 | X=0479.690-0520.500 | Y=0635.910-0645.230 | sản xuất
P=0100 | X=0439.610-0521.330 | Y=0645.550-0656.790 | Giá đất phi nông
P=0100 | X=0410.540-0516.830 | Y=0657.070-0668.310 | Giá thương nghiệp
P=0100 | X=0092.180-0221.680 | Y=0662.830-0674.070 | TT Tên đường giao thông
P=0100 | X=0247.540-0292.820 | Y=0662.830-0674.070 | Điểm đầu
P=0100 | X=0332.760-0380.700 | Y=0662.830-0674.070 | Điểm cuối
P=0100 | X=0406.220-0514.750 | Y=0668.590-0679.830 | đất ở mại dịch và đất
P=0100 | X=0450.650-0462.330 | Y=0681.990-0691.310 | vụ
P=0100 | X=0480.170-0520.420 | Y=0681.990-0691.310 | sử dụng
P=0100 | X=0479.210-0521.220 | Y=0693.510-0702.830 | cho hoạt
P=0100 | X=0487.870-0512.500 | Y=0703.170-0714.410 | động
P=0101 | X=0482.330-0517.990 | Y=0074.380-0083.700 | khoáng
P=0101 | X=0491.470-0508.670 | Y=0085.900-0095.220 | sản
P=0101 | X=0229.300-0392.850 | Y=0102.260-0113.500 | Đường Nguyễn Ái Đường Phạm Văn
P=0101 | X=0095.570-0162.530 | Y=0108.020-0119.260 | 1 Đường Lê A
P=0101 | X=0404.540-0435.110 | Y=0109.900-0119.220 | 24.900
P=0101 | X=0447.290-0477.860 | Y=0109.900-0119.220 | 17.400
P=0101 | X=0491.710-0522.280 | Y=0109.900-0119.220 | 14.900
P=0101 | X=0229.300-0253.300 | Y=0115.660-0124.980 | Quốc
P=0101 | X=0311.640-0340.040 | Y=0115.660-0124.980 | Thuận
P=0101 | X=0107.330-0379.080 | Y=0131.570-0142.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A
P=0101 | X=0107.330-0399.820 | Y=0143.090-0154.330 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Phạm Văn Thuận có
P=0101 | X=0107.330-0300.940 | Y=0154.610-0165.850 | hiện trạng là đường nhựa, bê tông xi măng:
P=0101 | X=0095.570-0101.170 | Y=0162.490-0171.810 | 2
P=0101 | X=0404.540-0435.110 | Y=0162.490-0171.810 | 15.400
P=0101 | X=0447.290-0477.860 | Y=0162.490-0171.810 | 10.800
P=0101 | X=0497.230-0522.280 | Y=0162.490-0171.810 | 9.200
P=0101 | X=0107.330-0330.240 | Y=0172.130-0183.370 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0101 | X=0107.330-0384.500 | Y=0189.410-0200.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0101 | X=0107.330-0379.080 | Y=0207.190-0218.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A
P=0101 | X=0107.330-0399.820 | Y=0218.710-0229.950 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Phạm Văn Thuận có
P=0101 | X=0107.330-0300.940 | Y=0230.230-0241.470 | hiện trạng là đường nhựa, bê tông xi măng:
