TABLE=004 | AREA=Phường Long Bình | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=145-171 | LINES=1851 | HEADING=4. Phường Long Bình ---
P=0145 | X=0090.020-0192.870 | Y=0276.310-0287.550 | 4. Phường Long Bình
P=0145 | X=0483.530-0517.630 | Y=0294.100-0305.340 | Giá đất
P=0145 | X=0486.430-0514.710 | Y=0305.620-0316.860 | cơ sở
P=0145 | X=0480.170-0520.980 | Y=0319.020-0328.340 | sản xuất
P=0145 | X=0479.450-0521.810 | Y=0330.540-0339.860 | phi nông
P=0145 | X=0438.410-0472.490 | Y=0334.420-0345.660 | Giá đất
P=0145 | X=0484.270-0517.310 | Y=0342.060-0351.380 | nghiệp
P=0145 | X=0393.020-0473.580 | Y=0345.700-0356.940 | Giá đất thương
P=0145 | X=0094.100-0218.560 | Y=0351.460-0362.700 | TT Tên đường giao thông
P=0145 | X=0237.940-0283.220 | Y=0351.460-0362.700 | Điểm đầu
P=0145 | X=0321.240-0369.180 | Y=0351.460-0362.700 | Điểm cuối
P=0145 | X=0486.190-0515.230 | Y=0351.460-0362.700 | và đất
P=0145 | X=0406.460-0413.630 | Y=0357.220-0368.460 | ở
P=0145 | X=0433.850-0477.460 | Y=0359.100-0368.420 | mại, dịch
P=0145 | X=0480.650-0520.900 | Y=0364.860-0374.180 | sử dụng
P=0145 | X=0449.690-0461.370 | Y=0370.640-0379.960 | vụ
P=0145 | X=0479.690-0521.700 | Y=0376.400-0385.720 | cho hoạt
P=0145 | X=0488.350-0512.980 | Y=0386.040-0397.280 | động
P=0145 | X=0482.810-0518.470 | Y=0399.440-0408.760 | khoáng
P=0145 | X=0491.950-0509.150 | Y=0410.960-0420.280 | sản
P=0145 | X=0110.690-0216.400 | Y=0427.080-0438.320 | Đường Nguyễn Trường
P=0145 | X=0301.800-0386.370 | Y=0427.080-0438.320 | Đường Hoàng Văn
P=0145 | X=0097.490-0103.090 | Y=0434.720-0444.040 | 1
P=0145 | X=0219.670-0262.740 | Y=0434.720-0444.040 | Quốc lộ 1
P=0145 | X=0401.180-0431.750 | Y=0434.720-0444.040 | 17.300
P=0145 | X=0448.490-0479.060 | Y=0434.720-0444.040 | 12.100
P=0145 | X=0491.710-0522.280 | Y=0434.720-0444.040 | 10.400
P=0145 | X=0110.690-0122.530 | Y=0440.480-0449.800 | Tộ
P=0145 | X=0301.800-0319.640 | Y=0440.480-0449.800 | Bổn
P=0145 | X=0110.690-0359.010 | Y=0456.380-0467.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0145 | X=0110.690-0385.890 | Y=0467.900-0479.140 | Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn
P=0145 | X=0110.690-0338.170 | Y=0479.420-0490.660 | Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0145 | X=0097.490-0103.090 | Y=0487.300-0496.620 | 2
P=0145 | X=0406.700-0431.750 | Y=0487.300-0496.620 | 9.000
P=0145 | X=0454.010-0479.060 | Y=0487.300-0496.620 | 6.300
P=0145 | X=0497.230-0522.280 | Y=0487.300-0496.620 | 5.400
P=0145 | X=0110.690-0333.600 | Y=0496.940-0508.180 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0145 | X=0110.690-0387.880 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0145 | X=0110.690-0359.010 | Y=0531.980-0543.220 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0145 | X=0110.690-0385.890 | Y=0543.530-0554.770 | Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn
P=0145 | X=0110.690-0338.170 | Y=0555.050-0566.290 | Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0145 | X=0097.490-0333.860 | Y=0572.570-0586.890 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
