TABLE=005 | AREA=Phường Trảng Dài | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=171-206 | LINES=2523 | HEADING=5. Phường Trảng Dài ---
P=0171 | X=0090.020-0189.550 | Y=0403.560-0414.800 | 5. Phường Trảng Dài
P=0171 | X=0485.470-0519.550 | Y=0421.320-0432.560 | Giá đất
P=0171 | X=0488.350-0516.630 | Y=0432.840-0444.080 | cơ sở
P=0171 | X=0493.870-0511.070 | Y=0446.240-0455.560 | sản
P=0171 | X=0483.290-0521.850 | Y=0457.780-0467.100 | xuất phi
P=0171 | X=0490.270-0514.890 | Y=0469.300-0478.620 | nông
P=0171 | X=0445.130-0518.990 | Y=0478.940-0490.180 | Giá đất nghiệp
P=0171 | X=0403.820-0516.910 | Y=0490.220-0501.460 | Giá đất thương và đất
P=0171 | X=0092.420-0221.440 | Y=0495.980-0507.220 | TT Tên đường giao thông
P=0171 | X=0247.060-0292.340 | Y=0495.980-0507.220 | Điểm đầu
P=0171 | X=0331.800-0379.740 | Y=0495.980-0507.220 | Điểm cuối
P=0171 | X=0417.260-0424.430 | Y=0501.740-0512.980 | ở
P=0171 | X=0452.090-0472.170 | Y=0503.620-0512.940 | mại,
P=0171 | X=0496.030-0508.850 | Y=0503.620-0512.940 | sử
P=0171 | X=0444.650-0514.900 | Y=0515.140-0524.460 | dịch vụ dụng
P=0171 | X=0493.390-0511.300 | Y=0526.660-0535.980 | cho
P=0171 | X=0491.710-0513.070 | Y=0538.210-0547.530 | hoạt
P=0171 | X=0490.270-0514.900 | Y=0547.850-0559.090 | động
P=0171 | X=0484.510-0520.170 | Y=0561.250-0570.570 | khoáng
P=0171 | X=0493.870-0511.070 | Y=0572.770-0582.090 | sản
P=0171 | X=0228.820-0279.540 | Y=0588.890-0600.130 | Ngã tư Tân
P=0171 | X=0311.160-0388.070 | Y=0588.890-0600.130 | Hết ranh phường
P=0171 | X=0095.810-0214.390 | Y=0594.650-0605.890 | 1 Đường Nguyễn Ái Quốc
P=0171 | X=0411.020-0441.590 | Y=0596.530-0605.850 | 36.500
P=0171 | X=0452.330-0522.280 | Y=0596.530-0605.850 | 25.600 21.900
P=0171 | X=0228.820-0257.710 | Y=0602.290-0611.610 | Phong
P=0171 | X=0311.160-0355.160 | Y=0602.290-0611.610 | Trảng Dài
P=0171 | X=0107.090-0392.630 | Y=0618.190-0629.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0171 | X=0107.090-0392.860 | Y=0629.710-0640.950 | Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh phường Trảng
P=0171 | X=0107.090-0331.700 | Y=0641.230-0652.470 | Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0171 | X=0095.810-0101.410 | Y=0649.110-0658.430 | 2
P=0171 | X=0411.020-0441.590 | Y=0649.110-0658.430 | 17.600
P=0171 | X=0452.330-0522.280 | Y=0649.110-0658.430 | 12.300 10.600
P=0171 | X=0107.090-0330.000 | Y=0658.510-0669.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0171 | X=0107.090-0384.260 | Y=0676.030-0687.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0171 | X=0107.090-0392.630 | Y=0693.790-0705.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0171 | X=0095.810-0101.410 | Y=0701.430-0710.750 | 3
P=0171 | X=0411.020-0441.590 | Y=0701.430-0710.750 | 10.800
P=0171 | X=0457.850-0482.900 | Y=0701.430-0710.750 | 7.600
P=0171 | X=0497.230-0522.280 | Y=0701.430-0710.750 | 6.500
P=0171 | X=0107.090-0392.860 | Y=0705.330-0716.570 | Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh phường Trảng
P=0172 | X=0107.090-0331.700 | Y=0072.500-0083.740 | Dài có hiện trạng là đường nhựa, bê tông xi măng:
