TABLE=006 | AREA=Phường Hố Nai | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=206-243 | LINES=2693 | HEADING=6. Phường Hố Nai ---
P=0206 | X=0090.020-0175.180 | Y=0607.850-0619.090 | 6. Phường Hố Nai
P=0206 | X=0487.390-0521.470 | Y=0625.630-0636.870 | Giá đất
P=0206 | X=0490.270-0518.550 | Y=0637.150-0648.390 | cơ sở
P=0206 | X=0451.130-0512.990 | Y=0648.670-0659.910 | Giá đất sản
P=0206 | X=0424.970-0514.750 | Y=0660.190-0671.430 | Giá thương xuất
P=0206 | X=0117.410-0224.610 | Y=0665.950-0677.190 | Tên đường giao thông
P=0206 | X=0256.180-0301.480 | Y=0665.950-0677.190 | Điểm đầu
P=0206 | X=0345.240-0393.180 | Y=0665.950-0677.190 | Điểm cuối
P=0206 | X=0092.180-0104.580 | Y=0667.830-0677.150 | TT
P=0206 | X=0420.650-0478.170 | Y=0671.710-0682.950 | đất ở mại,
P=0206 | X=0496.750-0511.780 | Y=0673.590-0682.910 | phi
P=0206 | X=0450.650-0516.810 | Y=0685.110-0694.430 | dịch vụ nông
P=0206 | X=0487.870-0520.910 | Y=0696.390-0705.710 | nghiệp
P=0206 | X=0489.790-0518.830 | Y=0706.050-0717.290 | và đất
P=0207 | X=0497.950-0510.770 | Y=0074.140-0083.460 | sử
P=0207 | X=0492.190-0516.820 | Y=0085.660-0094.980 | dụng
P=0207 | X=0495.310-0513.220 | Y=0097.180-0106.500 | cho
P=0207 | X=0493.630-0514.990 | Y=0108.700-0118.020 | hoạt
P=0207 | X=0492.190-0516.820 | Y=0118.370-0129.610 | động
P=0207 | X=0486.670-0522.330 | Y=0131.770-0141.090 | khoáng
P=0207 | X=0495.790-0512.990 | Y=0143.050-0152.370 | sản
P=0207 | X=0235.540-0401.660 | Y=0164.930-0176.170 | Ranh phường Hố Đường Bắc Sơn -
P=0207 | X=0095.570-0184.710 | Y=0170.450-0181.690 | 1 Đường Điểu Xiển
P=0207 | X=0419.450-0522.280 | Y=0172.330-0181.650 | 22.300 15.600 13.400
P=0207 | X=0235.540-0250.500 | Y=0178.090-0187.410 | Nai
P=0207 | X=0322.200-0375.580 | Y=0178.090-0187.410 | Long Thành
P=0207 | X=0106.850-0401.510 | Y=0193.970-0205.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Điểu Xiển
P=0207 | X=0106.850-0410.840 | Y=0205.510-0216.750 | đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long Thành có
P=0207 | X=0106.850-0300.460 | Y=0217.030-0228.270 | hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0095.570-0101.170 | Y=0224.910-0234.230 | 2
P=0207 | X=0419.450-0450.010 | Y=0224.910-0234.230 | 10.100
P=0207 | X=0461.210-0486.260 | Y=0224.910-0234.230 | 7.100
P=0207 | X=0497.230-0522.280 | Y=0224.910-0234.230 | 6.100
P=0207 | X=0106.850-0329.760 | Y=0234.550-0245.790 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
