TABLE=008 | AREA=Phường Tân Triều | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=265-324 | LINES=4219 | HEADING=8. Phường Tân Triều ---
P=0265 | X=0090.020-0188.390 | Y=0194.450-0205.690 | 8. Phường Tân Triều
P=0265 | X=0468.650-0518.310 | Y=0212.230-0223.470 | Giá đất cơ
P=0265 | X=0465.290-0521.460 | Y=0225.630-0234.950 | sở sản xuất
P=0265 | X=0422.090-0456.170 | Y=0235.270-0246.510 | Giá đất
P=0265 | X=0472.250-0514.610 | Y=0237.150-0246.470 | phi nông
P=0265 | X=0132.530-0185.970 | Y=0246.790-0258.030 | Tên đường
P=0265 | X=0421.130-0516.990 | Y=0246.790-0258.030 | thương nghiệp và
P=0265 | X=0219.670-0264.980 | Y=0252.550-0263.790 | Điểm đầu
P=0265 | X=0304.680-0352.600 | Y=0252.550-0263.790 | Điểm cuối
P=0265 | X=0369.740-0413.630 | Y=0252.550-0263.790 | Giá đất ở
P=0265 | X=0099.890-0112.290 | Y=0254.430-0263.750 | TT
P=0265 | X=0478.010-0508.850 | Y=0258.310-0269.550 | đất sử
P=0265 | X=0133.490-0184.740 | Y=0260.190-0269.510 | giao thông
P=0265 | X=0417.500-0461.140 | Y=0260.190-0269.510 | mại, dịch
P=0265 | X=0433.370-0445.050 | Y=0271.710-0281.030 | vụ
P=0265 | X=0470.810-0515.830 | Y=0271.710-0281.030 | dụng cho
P=0265 | X=0469.130-0517.550 | Y=0281.380-0292.620 | hoạt động
P=0265 | X=0465.770-0521.390 | Y=0294.780-0304.100 | khoáng sản
P=0265 | X=0122.210-0346.760 | Y=0310.900-0322.140 | Đường Nguyễn Giáp ranh phường Đường Đồng
P=0265 | X=0103.250-0108.850 | Y=0318.540-0327.860 | 1
P=0265 | X=0383.420-0413.990 | Y=0318.540-0327.860 | 40.600
P=0265 | X=0433.850-0464.420 | Y=0318.540-0327.860 | 28.400
P=0265 | X=0491.710-0522.280 | Y=0318.540-0327.860 | 24.400
P=0265 | X=0122.210-0157.970 | Y=0324.300-0333.620 | Ái Quốc
P=0265 | X=0196.630-0240.150 | Y=0324.300-0333.620 | Trấn Biên
P=0265 | X=0288.340-0309.560 | Y=0324.300-0333.620 | Khởi
P=0265 | X=0122.210-0336.440 | Y=0339.940-0351.180 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0265 | X=0122.210-0352.050 | Y=0351.460-0362.700 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh phường
P=0265 | X=0122.210-0341.240 | Y=0362.980-0374.220 | Trấn Biên đến Đường Đồng Khởi có hiện trạng là
P=0265 | X=0122.210-0257.980 | Y=0374.520-0385.760 | đường nhựa, bê tông xi măng:
P=0265 | X=0103.250-0108.850 | Y=0382.400-0391.720 | 2
