TABLE=009 | AREA=Phường Phước Tân | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=324-345 | LINES=1548 | HEADING=9. Phường Phước Tân ---
P=0324 | X=0090.020-0196.780 | Y=0165.410-0176.650 | 9. Phường Phước Tân
P=0324 | X=0472.010-0521.670 | Y=0183.170-0194.410 | Giá đất cơ
P=0324 | X=0480.410-0513.230 | Y=0196.570-0205.890 | sở sản
P=0324 | X=0477.530-0516.090 | Y=0208.110-0217.430 | xuất phi
P=0324 | X=0430.250-0464.330 | Y=0217.750-0228.990 | Giá đất
P=0324 | X=0484.510-0509.130 | Y=0219.630-0228.950 | nông
P=0324 | X=0123.410-0200.120 | Y=0229.270-0240.510 | Tên đường giao
P=0324 | X=0429.050-0520.350 | Y=0229.270-0240.510 | thương nghiệp và
P=0324 | X=0231.460-0276.740 | Y=0235.030-0246.270 | Điểm đầu
P=0324 | X=0313.560-0361.500 | Y=0235.030-0246.270 | Điểm cuối
P=0324 | X=0378.620-0422.510 | Y=0235.030-0246.270 | Giá đất ở
P=0324 | X=0095.060-0107.460 | Y=0236.910-0246.230 | TT
P=0324 | X=0425.450-0512.210 | Y=0240.790-0252.030 | mại, dịch đất sử
P=0324 | X=0147.890-0175.860 | Y=0242.670-0251.990 | thông
P=0324 | X=0441.290-0452.970 | Y=0254.190-0263.510 | vụ
P=0324 | X=0474.170-0519.210 | Y=0254.190-0263.510 | dụng cho
P=0324 | X=0472.490-0520.910 | Y=0263.830-0275.070 | hoạt động
P=0324 | X=0478.970-0514.630 | Y=0277.230-0286.550 | khoáng
P=0324 | X=0488.110-0505.310 | Y=0288.780-0298.100 | sản
P=0324 | X=0112.850-0196.930 | Y=0304.900-0316.140 | Đường Võ Nguyên
P=0324 | X=0211.030-0293.460 | Y=0304.900-0316.140 | Giáp ranh phường
P=0324 | X=0297.240-0356.120 | Y=0310.660-0321.900 | Đầu cầu số 3
P=0324 | X=0098.450-0104.050 | Y=0312.540-0321.860 | 1
P=0324 | X=0392.300-0422.870 | Y=0312.540-0321.860 | 23.300
P=0324 | X=0440.810-0471.380 | Y=0312.540-0321.860 | 16.300
P=0324 | X=0491.710-0522.280 | Y=0312.540-0321.860 | 14.000
P=0324 | X=0211.030-0261.040 | Y=0316.420-0327.660 | Long Hưng
P=0324 | X=0112.850-0134.280 | Y=0318.300-0327.620 | Giáp
P=0324 | X=0112.850-0376.290 | Y=0333.940-0345.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0324 | X=0112.850-0365.740 | Y=0345.460-0356.700 | Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng đến
P=0324 | X=0112.850-0350.850 | Y=0356.980-0368.220 | Đầu cầu số 3 có hiện trạng là đường nhựa, bê tông xi
P=0324 | X=0112.850-0140.850 | Y=0368.520-0379.760 | măng:
P=0324 | X=0098.450-0104.050 | Y=0376.400-0385.720 | 2
P=0324 | X=0392.300-0422.870 | Y=0376.400-0385.720 | 13.400
P=0324 | X=0446.330-0471.380 | Y=0376.400-0385.720 | 9.400
P=0324 | X=0497.230-0522.280 | Y=0376.400-0385.720 | 8.000
P=0324 | X=0112.850-0335.760 | Y=0386.040-0397.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0324 | X=0112.850-0353.960 | Y=0403.560-0414.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0324 | X=0112.850-0146.370 | Y=0415.080-0426.320 | ≤400m.
P=0324 | X=0112.850-0376.290 | Y=0432.840-0444.080 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0324 | X=0112.850-0365.740 | Y=0444.360-0455.600 | Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng đến
P=0324 | X=0112.850-0350.840 | Y=0455.900-0467.140 | Đầu cầu số 3 có hiện trạng là đường nhựa, bê tông xi
P=0324 | X=0112.850-0140.850 | Y=0467.420-0478.660 | măng:
P=0324 | X=0098.450-0336.020 | Y=0483.940-0496.180 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0324 | X=0397.820-0422.870 | Y=0483.940-0493.260 | 7.300
P=0324 | X=0446.330-0471.380 | Y=0483.940-0493.260 | 5.100
P=0324 | X=0497.230-0522.280 | Y=0483.940-0493.260 | 4.400
P=0324 | X=0112.850-0366.160 | Y=0502.220-0513.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0324 | X=0112.850-0199.400 | Y=0513.740-0524.980 | >400m đến ≤600m.
P=0324 | X=0112.850-0336.020 | Y=0531.260-0542.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0324 | X=0112.850-0376.290 | Y=0549.050-0560.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0324 | X=0112.850-0365.740 | Y=0560.570-0571.810 | Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng đến
P=0324 | X=0112.850-0350.840 | Y=0572.090-0583.330 | Đầu cầu số 3 có hiện trạng là đường nhựa, bê tông xi
P=0324 | X=0112.850-0140.850 | Y=0583.610-0594.850 | măng:
P=0324 | X=0098.450-0104.050 | Y=0591.490-0600.810 | 4
P=0324 | X=0397.820-0422.860 | Y=0591.490-0600.810 | 4.400
P=0324 | X=0446.330-0471.380 | Y=0591.490-0600.810 | 3.100
P=0324 | X=0497.230-0522.280 | Y=0591.490-0600.810 | 2.600
P=0324 | X=0112.850-0353.960 | Y=0601.130-0612.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0324 | X=0112.850-0146.610 | Y=0614.530-0623.850 | >600m.
P=0324 | X=0112.850-0336.490 | Y=0630.190-0641.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0324 | X=0112.850-0358.760 | Y=0647.950-0659.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0324 | X=0112.850-0344.360 | Y=0659.470-0670.710 | thông ra Đường Võ Nguyên Giáp đoạn từ Giáp ranh
P=0324 | X=0098.450-0353.720 | Y=0670.750-0685.070 | 5 phường Long Hưng đến Đầu cầu số 3 có hiện trạng là
P=0324 | X=0392.300-0422.870 | Y=0675.750-0685.070 | 12.100
P=0324 | X=0446.330-0471.380 | Y=0675.750-0685.070 | 8.500
P=0324 | X=0497.230-0522.280 | Y=0675.750-0685.070 | 7.300
P=0324 | X=0112.850-0248.620 | Y=0682.270-0693.510 | đường nhựa, bê tông xi măng:
P=0324 | X=0112.850-0335.760 | Y=0699.810-0711.050 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0325 | X=0112.850-0353.960 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0325 | X=0112.850-0146.370 | Y=0090.020-0101.260 | ≤400m.
P=0325 | X=0112.850-0358.760 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0325 | X=0112.850-0344.360 | Y=0119.330-0130.570 | thông ra Đường Võ Nguyên Giáp đoạn từ Giáp ranh
P=0325 | X=0112.850-0353.720 | Y=0130.850-0142.090 | phường Long Hưng đến Đầu cầu số 3 có hiện trạng là
P=0325 | X=0112.850-0248.620 | Y=0142.370-0153.610 | đường nhựa, bê tông xi măng:
P=0325 | X=0098.450-0336.020 | Y=0158.890-0170.890 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0325 | X=0397.820-0422.870 | Y=0158.890-0168.210 | 6.600
P=0325 | X=0446.330-0471.380 | Y=0158.890-0168.210 | 4.600
P=0325 | X=0497.230-0522.280 | Y=0158.890-0168.210 | 4.000
P=0325 | X=0112.850-0366.160 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0325 | X=0112.850-0199.400 | Y=0188.690-0199.930 | >400m đến ≤600m.
P=0325 | X=0112.850-0336.020 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0325 | X=0112.850-0358.760 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0325 | X=0112.850-0344.360 | Y=0235.510-0246.750 | thông ra Đường Võ Nguyên Giáp đoạn từ Giáp ranh
P=0325 | X=0112.850-0353.720 | Y=0247.030-0258.270 | phường Long Hưng đến Đầu cầu số 3 có hiện trạng là
P=0325 | X=0112.850-0248.620 | Y=0258.550-0269.790 | đường nhựa, bê tông xi măng:
P=0325 | X=0098.450-0104.050 | Y=0266.430-0275.750 | 7
P=0325 | X=0397.820-0422.870 | Y=0266.430-0275.750 | 4.000
P=0325 | X=0446.330-0471.380 | Y=0266.430-0275.750 | 2.800
P=0325 | X=0497.230-0522.280 | Y=0266.430-0275.750 | 2.400
P=0325 | X=0112.850-0353.960 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0325 | X=0112.850-0146.610 | Y=0289.500-0298.820 | >600m.
P=0325 | X=0112.850-0339.140 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0325 | X=0112.850-0196.930 | Y=0322.900-0334.140 | Đường Võ Nguyên
P=0325 | X=0297.240-0377.990 | Y=0322.900-0334.140 | Đường Chu Mạnh
P=0325 | X=0211.030-0269.940 | Y=0328.660-0339.900 | Đầu cầu số 3
P=0325 | X=0098.450-0104.050 | Y=0330.540-0339.860 | 8
P=0325 | X=0392.300-0422.870 | Y=0330.540-0339.860 | 17.300
P=0325 | X=0440.810-0471.380 | Y=0330.540-0339.860 | 12.100
P=0325 | X=0491.710-0522.280 | Y=0330.540-0339.860 | 10.400
P=0325 | X=0112.850-0134.290 | Y=0336.300-0345.620 | Giáp
P=0325 | X=0297.240-0320.340 | Y=0336.300-0345.620 | Trinh
P=0325 | X=0112.850-0376.290 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0325 | X=0112.850-0372.950 | Y=0363.460-0374.700 | Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu Mạnh
P=0325 | X=0112.850-0345.370 | Y=0375.000-0386.240 | Trinh có hiện trạng là đường nhựa, bê tông xi măng:
