TABLE=010 | AREA=Phường Tam Phước | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=346-420 | LINES=5429 | HEADING=10. Phường Tam Phước ---
P=0346 | X=0090.020-0205.110 | Y=0089.540-0100.780 | 10. Phường Tam Phước
P=0346 | X=0480.650-0514.750 | Y=0107.300-0118.540 | Giá đất
P=0346 | X=0473.450-0521.870 | Y=0118.850-0130.090 | cơ sở sản
P=0346 | X=0478.490-0517.050 | Y=0132.250-0141.570 | xuất phi
P=0346 | X=0434.810-0468.890 | Y=0141.890-0153.130 | Giá đất
P=0346 | X=0485.470-0510.090 | Y=0143.770-0153.090 | nông
P=0346 | X=0127.730-0204.440 | Y=0153.170-0164.410 | Tên đường giao
P=0346 | X=0391.580-0521.070 | Y=0153.170-0164.410 | Giá đất thương nghiệp và
P=0346 | X=0240.100-0285.380 | Y=0158.930-0170.170 | Điểm đầu
P=0346 | X=0322.440-0370.380 | Y=0158.930-0170.170 | Điểm cuối
P=0346 | X=0095.330-0107.730 | Y=0160.810-0170.130 | TT
P=0346 | X=0405.020-0412.190 | Y=0164.690-0175.930 | ở
P=0346 | X=0482.330-0513.170 | Y=0164.690-0175.930 | đất sử
P=0346 | X=0152.210-0180.230 | Y=0166.570-0175.890 | thông
P=0346 | X=0441.770-0461.850 | Y=0166.570-0175.890 | mại,
P=0346 | X=0434.330-0520.170 | Y=0178.090-0187.410 | dịch vụ dụng cho
P=0346 | X=0473.450-0521.870 | Y=0187.730-0198.970 | hoạt động
P=0346 | X=0479.690-0515.350 | Y=0201.150-0210.470 | khoáng
P=0346 | X=0489.070-0506.270 | Y=0212.670-0221.990 | sản
P=0346 | X=0113.330-0202.900 | Y=0228.790-0240.030 | Đường Dương Diên
P=0346 | X=0306.120-0384.230 | Y=0228.790-0240.030 | Hết ranh Phường
P=0346 | X=0098.690-0104.290 | Y=0236.430-0245.750 | 1
P=0346 | X=0219.430-0268.020 | Y=0236.430-0245.750 | Quốc lộ 51
P=0346 | X=0405.500-0430.550 | Y=0236.430-0245.750 | 8.800
P=0346 | X=0448.010-0473.060 | Y=0236.430-0245.750 | 6.200
P=0346 | X=0497.230-0522.280 | Y=0236.430-0245.750 | 5.300
