TABLE=012 | AREA=Xã Bình An | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=420-446 | LINES=1870 | HEADING=12. Xã Bình An ---
P=0420 | X=0090.020-0159.980 | Y=0528.580-0537.900 | 12. Xã Bình An
P=0420 | X=0481.130-0515.230 | Y=0544.730-0555.970 | Giá đất
P=0420 | X=0484.030-0512.310 | Y=0556.010-0567.250 | cơ sở
P=0420 | X=0477.770-0518.580 | Y=0569.410-0578.730 | sản xuất
P=0420 | X=0477.050-0519.410 | Y=0580.930-0590.250 | phi nông
P=0420 | X=0432.170-0466.250 | Y=0584.810-0596.050 | Giá đất
P=0420 | X=0474.650-0521.550 | Y=0592.450-0601.770 | nghiệp và
P=0420 | X=0125.090-0201.800 | Y=0596.330-0607.570 | Tên đường giao
P=0420 | X=0430.970-0467.100 | Y=0596.330-0607.570 | thương
P=0420 | X=0231.220-0276.500 | Y=0602.090-0613.330 | Điểm đầu
P=0420 | X=0310.200-0358.140 | Y=0602.090-0613.330 | Điểm cuối
P=0420 | X=0378.140-0422.030 | Y=0602.090-0613.330 | Giá đất ở
P=0420 | X=0482.810-0513.650 | Y=0602.090-0613.330 | đất sử
P=0420 | X=0095.060-0107.460 | Y=0603.970-0613.290 | TT
P=0420 | X=0149.570-0177.540 | Y=0609.730-0619.050 | thông
P=0420 | X=0427.370-0470.980 | Y=0609.730-0619.050 | mại, dịch
P=0420 | X=0475.610-0520.650 | Y=0615.490-0624.810 | dụng cho
P=0420 | X=0443.210-0454.890 | Y=0621.270-0630.590 | vụ
P=0420 | X=0487.390-0508.750 | Y=0627.030-0636.350 | hoạt
P=0420 | X=0485.950-0510.580 | Y=0636.670-0647.910 | động
P=0420 | X=0480.170-0515.830 | Y=0650.070-0659.390 | khoáng
P=0420 | X=0489.550-0506.750 | Y=0661.590-0670.910 | sản
P=0420 | X=0214.870-0285.540 | Y=0679.830-0689.150 | Trung tâm huấn
P=0420 | X=0214.870-0326.120 | Y=0689.470-0700.710 | luyện chó nghiệp Mũi tàu
P=0420 | X=0098.450-0161.650 | Y=0691.350-0700.670 | 1 Quốc lộ 51
P=0420 | X=0393.980-0424.550 | Y=0691.350-0700.670 | 11.000
P=0420 | X=0448.730-0473.780 | Y=0691.350-0700.670 | 7.700
P=0420 | X=0497.230-0522.280 | Y=0691.350-0700.670 | 6.600
P=0420 | X=0214.870-0289.630 | Y=0702.660-0711.980 | vụ Quân Khuyển
P=0421 | X=0113.090-0364.300 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0421 | X=0113.090-0353.960 | Y=0090.260-0101.500 | 51 đoạn từ Trung tâm huấn luyện chó nghiệp vụ Quân
P=0421 | X=0113.090-0371.010 | Y=0101.780-0113.020 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông
P=0421 | X=0113.090-0150.920 | Y=0113.300-0124.540 | xi măng:
P=0421 | X=0098.450-0104.050 | Y=0121.210-0130.530 | 2
P=0421 | X=0399.500-0424.550 | Y=0121.210-0130.530 | 4.400
P=0421 | X=0448.730-0473.780 | Y=0121.210-0130.530 | 3.100
P=0421 | X=0497.230-0522.280 | Y=0121.210-0130.530 | 2.600
P=0421 | X=0113.090-0344.170 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0421 | X=0113.090-0354.200 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0421 | X=0113.090-0146.610 | Y=0159.650-0170.890 | ≤500m.
P=0421 | X=0113.090-0364.300 | Y=0177.650-0188.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0421 | X=0113.090-0353.960 | Y=0189.170-0200.410 | 51 đoạn từ Trung tâm huấn luyện chó nghiệp vụ Quân
P=0421 | X=0113.090-0371.010 | Y=0200.710-0211.950 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông
P=0421 | X=0113.090-0150.920 | Y=0212.230-0223.470 | xi măng:
P=0421 | X=0098.450-0344.640 | Y=0228.990-0240.990 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0421 | X=0399.500-0424.550 | Y=0228.990-0238.310 | 3.300
P=0421 | X=0448.730-0473.780 | Y=0228.990-0238.310 | 2.300
P=0421 | X=0497.230-0522.280 | Y=0228.990-0238.310 | 2.000
P=0421 | X=0113.090-0366.400 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0421 | X=0113.090-0208.040 | Y=0258.790-0270.030 | >500m đến ≤1.000m.
P=0421 | X=0113.090-0336.260 | Y=0276.310-0287.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0421 | X=0113.090-0364.300 | Y=0294.340-0305.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0421 | X=0113.090-0353.960 | Y=0305.860-0317.100 | 51 đoạn từ Trung tâm huấn luyện chó nghiệp vụ Quân
P=0421 | X=0113.090-0371.010 | Y=0317.380-0328.620 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông
P=0421 | X=0113.090-0150.920 | Y=0328.900-0340.140 | xi măng:
P=0421 | X=0098.450-0104.050 | Y=0336.780-0346.100 | 4
P=0421 | X=0399.500-0424.550 | Y=0336.780-0346.100 | 2.600
P=0421 | X=0448.730-0473.780 | Y=0336.780-0346.100 | 1.800
P=0421 | X=0497.230-0522.280 | Y=0336.780-0346.100 | 1.600
P=0421 | X=0113.090-0354.200 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0421 | X=0113.090-0155.230 | Y=0359.580-0368.900 | >1.000m.
P=0421 | X=0113.090-0336.730 | Y=0375.240-0386.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0421 | X=0113.090-0359.000 | Y=0393.240-0404.480 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0421 | X=0113.090-0357.330 | Y=0404.760-0416.000 | thông ra Quốc lộ 51 đoạn từ Trung tâm huấn luyện chó
P=0421 | X=0113.090-0346.990 | Y=0416.280-0427.520 | nghiệp vụ Quân Khuyển đến Mũi tàu có hiện trạng là
P=0421 | X=0113.090-0248.860 | Y=0427.800-0439.040 | đường nhựa, bê tông xi măng:
P=0421 | X=0098.450-0104.050 | Y=0435.680-0445.000 | 5
P=0421 | X=0399.500-0424.550 | Y=0435.680-0445.000 | 4.000
P=0421 | X=0448.730-0473.780 | Y=0435.680-0445.000 | 2.800
P=0421 | X=0497.230-0522.280 | Y=0435.680-0445.000 | 2.400
