TABLE=015 | AREA=Xã Phước Thái | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=476-554 | LINES=5528 | HEADING=15. Xã Phước Thái ---
P=0476 | X=0090.020-0177.790 | Y=0654.670-0665.910 | 15. Xã Phước Thái
P=0476 | X=0465.770-0515.430 | Y=0672.670-0683.910 | Giá đất cơ
P=0476 | X=0124.370-0177.810 | Y=0684.190-0695.430 | Tên đường
P=0476 | X=0384.140-0518.580 | Y=0684.190-0695.430 | Giá đất thương sở sản xuất
P=0476 | X=0196.630-0241.940 | Y=0689.950-0701.190 | Điểm đầu
P=0476 | X=0261.220-0309.160 | Y=0689.950-0701.190 | Điểm cuối
P=0476 | X=0328.200-0372.110 | Y=0689.950-0701.190 | Giá đất ở
P=0476 | X=0097.010-0109.410 | Y=0691.830-0701.150 | TT
P=0476 | X=0125.570-0176.820 | Y=0697.590-0706.910 | giao thông
P=0476 | X=0391.580-0449.600 | Y=0697.590-0706.910 | mại, dịch vụ
P=0476 | X=0469.370-0511.730 | Y=0697.590-0706.910 | phi nông
P=0476 | X=0467.210-0514.110 | Y=0709.140-0718.460 | nghiệp và
P=0477 | X=0461.690-0519.700 | Y=0072.500-0083.740 | đất sử dụng
P=0477 | X=0469.610-0511.620 | Y=0085.900-0095.220 | cho hoạt
P=0477 | X=0459.050-0521.820 | Y=0095.540-0106.780 | động khoáng
P=0477 | X=0481.850-0499.070 | Y=0108.940-0118.260 | sản
P=0477 | X=0186.070-0293.690 | Y=0127.210-0136.530 | Giáp ranh xã Cầu Thái
P=0477 | X=0100.370-0105.970 | Y=0132.970-0142.290 | 1
P=0477 | X=0116.690-0165.250 | Y=0132.970-0142.290 | Quốc lộ 51
P=0477 | X=0357.260-0382.310 | Y=0132.970-0142.290 | 9.800
P=0477 | X=0433.610-0458.660 | Y=0132.970-0142.290 | 6.900
P=0477 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 5.900
P=0477 | X=0186.070-0278.340 | Y=0138.730-0148.050 | Long Phước Thiện
P=0477 | X=0116.690-0300.360 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực
P=0477 | X=0116.690-0293.220 | Y=0166.370-0177.610 | tiếp ra Quốc lộ 51 đoạn từ Giáp ranh xã
P=0477 | X=0116.690-0298.040 | Y=0177.650-0188.890 | Long Phước đến Cầu Thái Thiện có hiện
P=0477 | X=0116.690-0288.470 | Y=0189.170-0200.410 | trạng là đường nhựa, bê tông xi măng:
