TABLE=017 | AREA=Xã Đại Phước | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=554-584 | LINES=2129 | HEADING=17. Xã Đại Phước ---
P=0554 | X=0090.020-0172.950 | Y=0615.050-0626.290 | 17. Xã Đại Phước
P=0554 | X=0487.390-0521.470 | Y=0632.830-0644.070 | Giá đất
P=0554 | X=0490.270-0518.550 | Y=0644.350-0655.590 | cơ sở
P=0554 | X=0451.130-0485.210 | Y=0650.110-0661.350 | Giá đất
P=0554 | X=0495.790-0512.990 | Y=0657.750-0667.070 | sản
P=0554 | X=0424.970-0486.300 | Y=0661.630-0672.870 | Giá thương
P=0554 | X=0117.410-0224.560 | Y=0667.390-0678.630 | Tên đường giao thông
P=0554 | X=0256.180-0301.480 | Y=0667.390-0678.630 | Điểm đầu
P=0554 | X=0345.240-0393.180 | Y=0667.390-0678.630 | Điểm cuối
P=0554 | X=0092.180-0104.580 | Y=0669.270-0678.590 | TT
P=0554 | X=0494.110-0514.750 | Y=0669.270-0678.590 | xuất
P=0554 | X=0420.650-0478.170 | Y=0673.150-0684.390 | đất ở mại,
P=0554 | X=0496.750-0511.780 | Y=0680.790-0690.110 | phi
P=0554 | X=0450.650-0485.840 | Y=0686.550-0695.870 | dịch vụ
P=0554 | X=0492.190-0516.810 | Y=0692.310-0701.630 | nông
P=0554 | X=0487.870-0520.910 | Y=0703.860-0713.180 | nghiệp
P=0555 | X=0489.790-0518.830 | Y=0072.260-0083.500 | và đất
P=0555 | X=0497.950-0510.770 | Y=0085.660-0094.980 | sử
P=0555 | X=0492.190-0516.820 | Y=0097.180-0106.500 | dụng
P=0555 | X=0495.310-0513.220 | Y=0108.700-0118.020 | cho
P=0555 | X=0493.630-0514.990 | Y=0120.250-0129.570 | hoạt
P=0555 | X=0492.190-0516.820 | Y=0129.890-0141.130 | động
P=0555 | X=0486.670-0522.330 | Y=0143.050-0152.370 | khoáng
P=0555 | X=0495.790-0512.990 | Y=0154.570-0163.890 | sản
P=0555 | X=0322.200-0410.860 | Y=0170.690-0181.930 | Ngã ba đường Trần
P=0555 | X=0106.850-0320.810 | Y=0176.450-0187.690 | Đường Lý Thái Tổ (Đường Giáp ranh xã Nhơn
P=0555 | X=0322.200-0404.140 | Y=0182.210-0193.450 | Văn Trà và đường
P=0555 | X=0095.570-0101.170 | Y=0184.090-0193.410 | 1
P=0555 | X=0424.970-0450.020 | Y=0184.090-0193.410 | 7.500
P=0555 | X=0461.210-0486.260 | Y=0184.090-0193.410 | 5.300
P=0555 | X=0497.230-0522.280 | Y=0184.090-0193.410 | 4.500
P=0555 | X=0106.850-0159.410 | Y=0187.970-0199.210 | tỉnh 769 cũ)
P=0555 | X=0235.540-0261.300 | Y=0189.850-0199.170 | Trạch
P=0555 | X=0322.200-0369.830 | Y=0195.610-0204.930 | Lý Thái Tổ
P=0555 | X=0106.850-0405.340 | Y=0211.510-0222.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0555 | X=0106.850-0404.860 | Y=0223.030-0234.270 | (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn Trạch đến Ngã ba
