TABLE=018 | AREA=Xã Phước An | SECTION=non-agricultural | SEGMENTS=1
--- PAGES=584-611 | LINES=1935 | HEADING=18. Xã Phước An ---
P=0584 | X=0090.020-0170.600 | Y=0277.030-0288.270 | 18. Xã Phước An
P=0584 | X=0483.530-0517.630 | Y=0294.820-0306.060 | Giá đất
P=0584 | X=0486.430-0514.710 | Y=0306.340-0317.580 | cơ sở
P=0584 | X=0480.170-0520.980 | Y=0319.740-0329.060 | sản xuất
P=0584 | X=0479.450-0521.810 | Y=0331.260-0340.580 | phi nông
P=0584 | X=0437.930-0472.010 | Y=0335.140-0346.380 | Giá đất
P=0584 | X=0484.030-0517.070 | Y=0342.780-0352.100 | nghiệp
P=0584 | X=0393.980-0473.100 | Y=0346.660-0357.900 | Giá đất thương
P=0584 | X=0095.570-0221.680 | Y=0352.420-0363.660 | TT Tên đường giao thông
P=0584 | X=0241.060-0286.340 | Y=0352.420-0363.660 | Điểm đầu
P=0584 | X=0323.880-0371.820 | Y=0352.420-0363.660 | Điểm cuối
P=0584 | X=0485.950-0514.990 | Y=0352.420-0363.660 | và đất
P=0584 | X=0407.420-0414.590 | Y=0357.940-0369.180 | ở
P=0584 | X=0433.370-0476.980 | Y=0359.820-0369.140 | mại, dịch
P=0584 | X=0480.410-0520.660 | Y=0365.580-0374.900 | sử dụng
P=0584 | X=0449.210-0460.890 | Y=0371.360-0380.680 | vụ
P=0584 | X=0479.690-0521.700 | Y=0377.120-0386.440 | cho hoạt
P=0584 | X=0488.350-0512.980 | Y=0386.760-0398.000 | động
P=0584 | X=0482.570-0518.230 | Y=0400.160-0409.480 | khoáng
P=0584 | X=0491.950-0509.150 | Y=0411.680-0421.000 | sản
P=0584 | X=0113.570-0194.070 | Y=0427.800-0439.040 | Đường Quách Thị
P=0584 | X=0223.030-0290.970 | Y=0427.800-0439.040 | Đường Hà Huy
P=0584 | X=0304.680-0379.900 | Y=0427.800-0439.040 | Giáp ranh xã Đại
P=0584 | X=0098.930-0104.530 | Y=0435.440-0444.760 | 1
P=0584 | X=0405.980-0431.030 | Y=0435.440-0444.760 | 7.300
P=0584 | X=0453.770-0478.820 | Y=0435.440-0444.760 | 5.100
P=0584 | X=0497.230-0522.280 | Y=0435.440-0444.760 | 4.400
P=0584 | X=0304.680-0335.400 | Y=0439.320-0450.560 | Phước
P=0584 | X=0113.570-0139.810 | Y=0441.200-0450.520 | Trang
P=0584 | X=0223.030-0240.420 | Y=0441.200-0450.520 | Tập
P=0584 | X=0113.570-0361.890 | Y=0457.100-0468.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0584 | X=0113.570-0382.520 | Y=0468.620-0479.860 | Quách Thị Trang đoạn từ Đường Hà Huy Tập đến Giáp ranh
P=0584 | X=0113.570-0384.980 | Y=0480.140-0491.380 | xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0584 | X=0098.930-0104.530 | Y=0488.020-0497.340 | 2
P=0584 | X=0405.980-0431.030 | Y=0488.020-0497.340 | 3.500
P=0584 | X=0453.770-0478.820 | Y=0488.020-0497.340 | 2.500
P=0584 | X=0497.230-0522.280 | Y=0488.020-0497.340 | 2.100
P=0584 | X=0113.570-0344.650 | Y=0497.660-0508.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0584 | X=0113.570-0390.760 | Y=0515.180-0526.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0584 | X=0113.570-0361.890 | Y=0532.970-0544.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
